"","table_name","cohort_definition_id","cohort_name"
"1","lc_w1_july_basecohorts",1,"infection"
"2","lc_w1_july_basecohorts",2,"reinfection"
"3","lc_w1_july_basecohorts",3,"test_negative"
"4","lc_w1_july_lccohorts",1,"abdominal_pain"
"5","lc_w1_july_lccohorts",2,"allergy"
"6","lc_w1_july_lccohorts",3,"altered_smell_taste"
"7","lc_w1_july_lccohorts",4,"anxiety"
"8","lc_w1_july_lccohorts",5,"blurred_vision"
"9","lc_w1_july_lccohorts",6,"chest_pain_angina"
"10","lc_w1_july_lccohorts",7,"cognitive_dysfunction_brain_fog"
"11","lc_w1_july_lccohorts",8,"cough"
"12","lc_w1_july_lccohorts",9,"depression_wo_recurrence"
"13","lc_w1_july_lccohorts",10,"dizziness"
"14","lc_w1_july_lccohorts",11,"dyspnea"
"15","lc_w1_july_lccohorts",12,"fatigue_malaise"
"16","lc_w1_july_lccohorts",13,"gastrointestinal_issues"
"17","lc_w1_july_lccohorts",14,"headache"
"18","lc_w1_july_lccohorts",15,"intermittent_fever"
"19","lc_w1_july_lccohorts",16,"joint_pain"
"20","lc_w1_july_lccohorts",17,"memory_issues"
"21","lc_w1_july_lccohorts",18,"menstrual_problems"
"22","lc_w1_july_lccohorts",19,"muscle_spasms_and_pain"
"23","lc_w1_july_lccohorts",20,"neuralgia"
"24","lc_w1_july_lccohorts",21,"pins_and_needles_sensation"
"25","lc_w1_july_lccohorts",22,"postexertional_fatigue"
"26","lc_w1_july_lccohorts",23,"sleep_disorder"
"27","lc_w1_july_lccohorts",24,"tachycardia"
"28","lc_w1_july_lccohorts",25,"tinnitus_hearing_problems"
"29","lc_w1_july_lccohorts",26,"any_lc_symptom"
"30","lc_w1_july_lccohorts",27,"lc_code"
"31","lc_w1_july_pasccohorts",1,"venous_thrombosembolism"
"32","lc_w1_july_pasccohorts",2,"deep_vein_thrombosis"
"33","lc_w1_july_pasccohorts",3,"pulmonary_embolism"
"34","lc_w1_july_pasccohorts",4,"haemorrhagic_stroke"
"35","lc_w1_july_pasccohorts",5,"ischemic_stroke"
"36","lc_w1_july_pasccohorts",6,"transient_ischemic_attack"
"37","lc_w1_july_pasccohorts",7,"myocardial_infarction"
"38","lc_w1_july_pasccohorts",8,"myocarditis_pericarditis"
"39","lc_w1_july_pasccohorts",9,"ventricular_arrhythmia_cardiac_arrest"
"40","lc_w1_july_pasccohorts",10,"heart_failure"
"41","lc_w1_july_pasccohorts",11,"any_pasc_event"
"42","lc_w1_july_mccohorts",1,"dysautonomia"
"43","lc_w1_july_mccohorts",2,"ibd"
"44","lc_w1_july_mccohorts",3,"juvenile_arthritis"
"45","lc_w1_july_mccohorts",4,"me_cfs"
"46","lc_w1_july_mccohorts",5,"me_cfs_symptoms"
"47","lc_w1_july_mccohorts",6,"mis"
"48","lc_w1_july_mccohorts",7,"pots"
"49","lc_w1_july_mccohorts",8,"ra"
"50","lc_w1_july_mccohorts",9,"sle"
"51","lc_w1_july_mccohorts",10,"t1dm"
"52","lc_w1_july_overlapinfcohorts",1,"inf_abdominal_pain"
"53","lc_w1_july_overlapinfcohorts",2,"inf_allergy"
"54","lc_w1_july_overlapinfcohorts",3,"inf_altered_smell_taste"
"55","lc_w1_july_overlapinfcohorts",4,"inf_anxiety"
"56","lc_w1_july_overlapinfcohorts",5,"inf_blurred_vision"
"57","lc_w1_july_overlapinfcohorts",6,"inf_chest_pain_angina"
"58","lc_w1_july_overlapinfcohorts",7,"inf_cognitive_dysfunction_brain_fog"
"59","lc_w1_july_overlapinfcohorts",8,"inf_cough"
"60","lc_w1_july_overlapinfcohorts",9,"inf_depression_wo_recurrence"
"61","lc_w1_july_overlapinfcohorts",10,"inf_dizziness"
"62","lc_w1_july_overlapinfcohorts",11,"inf_dyspnea"
"63","lc_w1_july_overlapinfcohorts",12,"inf_fatigue_malaise"
"64","lc_w1_july_overlapinfcohorts",13,"inf_gastrointestinal_issues"
"65","lc_w1_july_overlapinfcohorts",14,"inf_headache"
"66","lc_w1_july_overlapinfcohorts",15,"inf_intermittent_fever"
"67","lc_w1_july_overlapinfcohorts",16,"inf_joint_pain"
"68","lc_w1_july_overlapinfcohorts",17,"inf_memory_issues"
"69","lc_w1_july_overlapinfcohorts",18,"inf_menstrual_problems"
"70","lc_w1_july_overlapinfcohorts",19,"inf_muscle_spasms_and_pain"
"71","lc_w1_july_overlapinfcohorts",20,"inf_neuralgia"
"72","lc_w1_july_overlapinfcohorts",21,"inf_pins_and_needles_sensation"
"73","lc_w1_july_overlapinfcohorts",22,"inf_postexertional_fatigue"
"74","lc_w1_july_overlapinfcohorts",23,"inf_sleep_disorder"
"75","lc_w1_july_overlapinfcohorts",24,"inf_tachycardia"
"76","lc_w1_july_overlapinfcohorts",25,"inf_tinnitus_hearing_problems"
"77","lc_w1_july_overlapinfcohorts",26,"inf_lc_code"
"78","lc_w1_july_overlapinfcohorts",27,"inf_any_lc"
"79","lc_w1_july_overlapinfcohorts",28,"inf_venous_thrombosembolism"
"80","lc_w1_july_overlapinfcohorts",29,"inf_deep_vein_thrombosis"
"81","lc_w1_july_overlapinfcohorts",30,"inf_pulmonary_embolism"
"82","lc_w1_july_overlapinfcohorts",31,"inf_haemorrhagic_stroke"
"83","lc_w1_july_overlapinfcohorts",32,"inf_ischemic_stroke"
"84","lc_w1_july_overlapinfcohorts",33,"inf_transient_ischemic_attack"
"85","lc_w1_july_overlapinfcohorts",34,"inf_myocardial_infarction"
"86","lc_w1_july_overlapinfcohorts",35,"inf_myocarditis_pericarditis"
"87","lc_w1_july_overlapinfcohorts",36,"inf_ventricular_arrhythmia_cardiac_arrest"
"88","lc_w1_july_overlapinfcohorts",37,"inf_heart_failure"
"89","lc_w1_july_overlapinfcohorts",38,"inf_any_pasc"
"90","lc_w1_july_overlapinfcohorts",39,"inf_dysautonomia"
"91","lc_w1_july_overlapinfcohorts",40,"inf_ibd"
"92","lc_w1_july_overlapinfcohorts",41,"inf_juvenile_arthritis"
"93","lc_w1_july_overlapinfcohorts",42,"inf_me_cfs"
"94","lc_w1_july_overlapinfcohorts",43,"inf_me_cfs_symptoms"
"95","lc_w1_july_overlapinfcohorts",44,"inf_mis"
"96","lc_w1_july_overlapinfcohorts",45,"inf_pots"
"97","lc_w1_july_overlapinfcohorts",46,"inf_ra"
"98","lc_w1_july_overlapinfcohorts",47,"inf_sle"
"99","lc_w1_july_overlapinfcohorts",48,"inf_t1dm"
"100","lc_w1_july_overlapreinfcohorts",1,"reinf_abdominal_pain"
"101","lc_w1_july_overlapreinfcohorts",2,"reinf_allergy"
"102","lc_w1_july_overlapreinfcohorts",3,"reinf_altered_smell_taste"
"103","lc_w1_july_overlapreinfcohorts",4,"reinf_anxiety"
"104","lc_w1_july_overlapreinfcohorts",5,"reinf_blurred_vision"
"105","lc_w1_july_overlapreinfcohorts",6,"reinf_chest_pain_angina"
"106","lc_w1_july_overlapreinfcohorts",7,"reinf_cognitive_dysfunction_brain_fog"
"107","lc_w1_july_overlapreinfcohorts",8,"reinf_cough"
"108","lc_w1_july_overlapreinfcohorts",9,"reinf_depression_wo_recurrence"
"109","lc_w1_july_overlapreinfcohorts",10,"reinf_dizziness"
"110","lc_w1_july_overlapreinfcohorts",11,"reinf_dyspnea"
"111","lc_w1_july_overlapreinfcohorts",12,"reinf_fatigue_malaise"
"112","lc_w1_july_overlapreinfcohorts",13,"reinf_gastrointestinal_issues"
"113","lc_w1_july_overlapreinfcohorts",14,"reinf_headache"
"114","lc_w1_july_overlapreinfcohorts",15,"reinf_intermittent_fever"
"115","lc_w1_july_overlapreinfcohorts",16,"reinf_joint_pain"
"116","lc_w1_july_overlapreinfcohorts",17,"reinf_memory_issues"
"117","lc_w1_july_overlapreinfcohorts",18,"reinf_menstrual_problems"
"118","lc_w1_july_overlapreinfcohorts",19,"reinf_muscle_spasms_and_pain"
"119","lc_w1_july_overlapreinfcohorts",20,"reinf_neuralgia"
"120","lc_w1_july_overlapreinfcohorts",21,"reinf_pins_and_needles_sensation"
"121","lc_w1_july_overlapreinfcohorts",22,"reinf_postexertional_fatigue"
"122","lc_w1_july_overlapreinfcohorts",23,"reinf_sleep_disorder"
"123","lc_w1_july_overlapreinfcohorts",24,"reinf_tachycardia"
"124","lc_w1_july_overlapreinfcohorts",25,"reinf_tinnitus_hearing_problems"
"125","lc_w1_july_overlapreinfcohorts",26,"reinf_lc_code"
