"","cohort_name","n"
"1","test_negative",27703
"2","infection",13939
"3","reinfection",1858
"4","abdominal_pain",84098
"5","allergy",105887
"6","altered_smell_taste",584
"7","anxiety",62688
"8","blurred_vision",4706
"9","chest_pain_angina",43077
"10","cognitive_dysfunction_brain_fog",4845
"11","cough",5743
"12","depression_wo_recurrence",110619
"13","dizziness",7038
"14","dyspnea",8544
"15","fatigue_malaise",11494
"16","gastrointestinal_issues",64166
"17","headache",34031
"18","intermittent_fever",17231
"19","joint_pain",27190
"20","memory_issues",1033
"21","menstrual_problems",6794
"22","muscle_spasms_and_pain",10088
"23","neuralgia",14429
"24","pins_and_needles_sensation",621
"25","sleep_disorder",30971
"26","tachycardia",91258
"27","tinnitus_hearing_problems",16161
"28","any_lc_symptom",763296
"29","lc_code",98
"30","postexertional_fatigue",NA
"31","venous_thrombosembolism",8481
"32","deep_vein_thrombosis",5067
"33","pulmonary_embolism",3939
"34","haemorrhagic_stroke",2308
"35","ischemic_stroke",12614
"36","transient_ischemic_attack",3469
"37","myocardial_infarction",11992
"38","myocarditis_pericarditis",1184
"39","ventricular_arrhythmia_cardiac_arrest",4446
"40","heart_failure",51542
"41","any_pasc_event",105042
"42","ra",2655
"43","t1dm",1450
"44","sle",1010
"45","pots",4858
"46","dysautonomia",29173
"47","me_cfs_symptoms",23369
"48","me_cfs",510
"49","ibd",1940
"50","juvenile_arthritis",38
"51","mis",NA
"52","inf_t1dm",NA
"53","inf_intermittent_fever",84
"54","inf_joint_pain",140
"55","inf_fatigue_malaise",113
"56","inf_dizziness",64
"57","inf_ibd",NA
"58","inf_ventricular_arrhythmia_cardiac_arrest",16
"59","inf_abdominal_pain",329
"60","inf_myocarditis_pericarditis",9
"61","inf_anxiety",215
"62","inf_pots",32
"63","inf_cough",32
"64","inf_transient_ischemic_attack",12
"65","inf_muscle_spasms_and_pain",20
"66","inf_depression_wo_recurrence",371
"67","inf_gastrointestinal_issues",393
"68","inf_deep_vein_thrombosis",48
"69","inf_me_cfs_symptoms",116
"70","inf_headache",161
"71","inf_altered_smell_taste",14
"72","inf_memory_issues",11
"73","inf_me_cfs",9
"74","inf_cognitive_dysfunction_brain_fog",60
"75","inf_heart_failure",238
"76","inf_myocardial_infarction",43
"77","inf_dysautonomia",111
"78","inf_any_lc",2236
"79","inf_menstrual_problems",35
"80","inf_neuralgia",83
"81","inf_tinnitus_hearing_problems",120
"82","inf_chest_pain_angina",184
"83","inf_blurred_vision",42
"84","inf_venous_thrombosembolism",78
"85","inf_allergy",592
"86","inf_dyspnea",59
"87","inf_pins_and_needles_sensation",12
"88","inf_haemorrhagic_stroke",18
"89","inf_sleep_disorder",303
"90","inf_lc_code",6
"91","inf_tachycardia",465
"92","inf_ra",8
"93","inf_any_pasc",402
"94","inf_ischemic_stroke",59
"95","inf_pulmonary_embolism",34
"96","inf_sle",NA
"97","inf_postexertional_fatigue",NA
"98","inf_juvenile_arthritis",NA
"99","inf_mis",NA
"100","reinf_intermittent_fever",15
"101","reinf_joint_pain",19
"102","reinf_fatigue_malaise",22
"103","reinf_dizziness",7
"104","reinf_ibd",NA
"105","reinf_ventricular_arrhythmia_cardiac_arrest",NA
"106","reinf_abdominal_pain",33
"107","reinf_myocarditis_pericarditis",NA
"108","reinf_anxiety",21
"109","reinf_pots",NA
"110","reinf_cough",NA
"111","reinf_transient_ischemic_attack",NA
"112","reinf_muscle_spasms_and_pain",NA
"113","reinf_depression_wo_recurrence",41
"114","reinf_gastrointestinal_issues",56
"115","reinf_deep_vein_thrombosis",NA
"116","reinf_me_cfs_symptoms",18
"117","reinf_headache",8
"118","reinf_altered_smell_taste",NA
"119","reinf_memory_issues",NA
"120","reinf_me_cfs",NA
"121","reinf_cognitive_dysfunction_brain_fog",10
"122","reinf_heart_failure",43
"123","reinf_myocardial_infarction",NA
"124","reinf_dysautonomia",14
"125","reinf_any_lc",319
"126","reinf_menstrual_problems",NA
"127","reinf_neuralgia",20
"128","reinf_tinnitus_hearing_problems",16
