"","analysis_id","n_persons","person_days","n_events","incidence_start_date","incidence_end_date","person_years","incidence_100000_pys","incidence_100000_pys_95CI_lower","incidence_100000_pys_95CI_upper","cohort_obscured","result_obscured","outcome_cohort_id","outcome_cohort_name","analysis_repeated_events","analysis_interval","analysis_complete_database_intervals","denominator_cohort_id","analysis_outcome_washout","analysis_min_cell_count","denominator_cohort_name","denominator_age_group","denominator_sex","denominator_days_prior_history","denominator_start_date","denominator_end_date","denominator_strata_cohort_definition_id","denominator_strata_cohort_name","denominator_closed_cohort","cdm_name"
"1","1",5116,556453,10,2020-09-01,2020-12-31,1523.48528405202,656.389668130103,314.764359480921,1207.12396992145,"FALSE","FALSE",1,"abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 6","Both",365,2020-09-01,2022-12-10,NA,NA,FALSE,"Institut Municipal Assistència Sanitària Information System"
"2","1",5510,1493235,49,2021-01-01,2021-12-31,4088.2546201232,1198.55548523843,886.697946120995,1584.5539138892,"FALSE","FALSE",1,"abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 6","Both",365,2020-09-01,2022-12-10,NA,NA,FALSE,"Institut Municipal Assistència Sanitària Information System"
"3","1",4148,792267,89,2022-01-01,2022-12-10,2169.10882956879,4103.06752647782,3295.10014288032,5049.17765769867,"FALSE","FALSE",1,"abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 6","Both",365,2020-09-01,2022-12-10,NA,NA,FALSE,"Institut Municipal Assistència Sanitària Information System"
"4","10",32787,3707489,246,2020-09-01,2020-12-31,10150.5516769336,2423.51359639907,2130.10094051924,2746.04972064349,"FALSE","FALSE",1,"abdominal_pain",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-10,NA,NA,FALSE,"Institut Municipal Assistència Sanitària Information System"
"5","10",33597,9518113,776,2021-01-01,2021-12-31,26059.1731690623,2977.83814922138,2771.97957571829,3194.93768699781,"FALSE","FALSE",1,"abdominal_pain",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-10,NA,NA,FALSE,"Institut Municipal Assistència Sanitària Information System"
"6","10",23747,4716333,808,2022-01-01,2022-12-10,12912.6160164271,6257.44619813741,5833.36847877711,6704.20410922772,"FALSE","FALSE",1,"abdominal_pain",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-10,NA,NA,FALSE,"Institut Municipal Assistència Sanitària Information System"
"7","100",36665,4162918,52,2020-09-01,2020-12-31,11397.4483230664,456.242472227414,340.743700691881,598.301302256105,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-10,NA,NA,FALSE,"Institut Municipal Assistència Sanitària Information System"
"8","100",37563,10758953,235,2021-01-01,2021-12-31,29456.4079397673,797.789059957786,699.041078505921,906.577673340458,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-10,NA,NA,FALSE,"Institut Municipal Assistència Sanitària Information System"
"9","100",26887,5410490,269,2022-01-01,2022-12-10,14813.1143052704,1815.95844368994,1605.41242014919,2046.44297772107,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-10,NA,NA,FALSE,"Institut Municipal Assistència Sanitària Information System"
"10","101",35300,1041203,15,2020-09-01,2020-09-30,2850.65845311431,526.194219571015,294.506910275816,867.877344073173,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-10,NA,NA,FALSE,"Institut Municipal Assistència Sanitària Information System"
"11","101",34929,1062899,11,2020-10-01,2020-10-31,2910.05886379192,377.999226643359,188.69585201729,676.345030617541,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-10,NA,NA,FALSE,"Institut Municipal Assistència Sanitària Information System"
"12","101",34540,1018188,15,2020-11-01,2020-11-30,2787.64681724846,538.088250892762,301.163909317248,887.494739950795,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-10,NA,NA,FALSE,"Institut Municipal Assistència Sanitària Information System"
"13","101",34183,1040628,11,2020-12-01,2020-12-31,2849.0841889117,386.088977040787,192.734226268489,690.819828698011,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-10,NA,NA,FALSE,"Institut Municipal Assistència Sanitària Information System"
"14","101",33881,1030682,14,2021-01-01,2021-01-31,2821.85352498289,496.127806636771,271.237688580842,832.418157564646,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-10,NA,NA,FALSE,"Institut Municipal Assistència Sanitària Information System"
"15","101",33477,920121,17,2021-02-01,2021-02-28,2519.15400410678,674.82972348202,393.113182181915,1080.46775907841,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-10,NA,NA,FALSE,"Institut Municipal Assistència Sanitària Information System"
"16","101",33012,1004328,18,2021-03-01,2021-03-31,2749.70020533881,654.616818409922,387.967414036144,1034.57679540096,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-10,NA,NA,FALSE,"Institut Municipal Assistència Sanitària Information System"
"17","101",32272,950217,12,2021-04-01,2021-04-30,2601.5523613963,461.263058859187,238.341353444612,805.733736488258,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-10,NA,NA,FALSE,"Institut Municipal Assistència Sanitària Information System"
"18","101",31560,959607,22,2021-05-01,2021-05-31,2627.26078028747,837.374050001719,524.777858965375,1267.79437492614,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-10,NA,NA,FALSE,"Institut Municipal Assistència Sanitària Information System"
"19","101",30894,904483,16,2021-06-01,2021-06-30,2476.3394934976,646.114962912515,369.31052780346,1049.250220569,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-10,NA,NA,FALSE,"Institut Municipal Assistència Sanitària Information System"
"20","101",30015,903746,22,2021-07-01,2021-07-31,2474.32169746749,889.132566008591,557.214645385082,1346.15739017351,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-10,NA,NA,FALSE,"Institut Municipal Assistència Sanitària Information System"
"21","101",28973,878082,21,2021-08-01,2021-08-31,2404.05749486653,873.523201705535,540.724629582867,1335.27300422262,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-10,NA,NA,FALSE,"Institut Municipal Assistència Sanitària Information System"
"22","101",28382,829068,35,2021-09-01,2021-09-30,2269.86447638604,1541.9422773524,1074.019293052,2144.46844185973,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-10,NA,NA,FALSE,"Institut Municipal Assistència Sanitària Information System"
"23","101",27560,831115,24,2021-10-01,2021-10-31,2275.4688569473,1054.72768509773,675.78392944108,1569.35119040306,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-10,NA,NA,FALSE,"Institut Municipal Assistència Sanitària Information System"
"24","101",26643,775634,16,2021-11-01,2021-11-30,2123.57015742642,753.448146935281,430.660716419415,1223.55258698164,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-10,NA,NA,FALSE,"Institut Municipal Assistència Sanitària Information System"
"25","101",25640,771870,18,2021-12-01,2021-12-31,2113.26488706365,851.762602510786,504.808500141336,1346.15212894848,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-10,NA,NA,FALSE,"Institut Municipal Assistència Sanitària Information System"
"26","101",24631,739711,34,2022-01-01,2022-01-31,2025.21834360027,1678.83132736974,1162.639498056,2345.99850654822,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-10,NA,NA,FALSE,"Institut Municipal Assistència Sanitària Information System"
"27","101",23580,637621,22,2022-02-01,2022-02-28,1745.71115674196,1260.23139137513,789.780303516017,1908.00547149443,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-10,NA,NA,FALSE,"Institut Municipal Assistència Sanitària Information System"
"28","101",22507,669712,26,2022-03-01,2022-03-31,1833.57152635181,1417.99758702248,926.283102213573,2077.69500865468,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-10,NA,NA,FALSE,"Institut Municipal Assistència Sanitària Information System"
"29","101",21166,608540,26,2022-04-01,2022-04-30,1666.09171800137,1560.53833766063,1019.39545296884,2286.55023439074,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-10,NA,NA,FALSE,"Institut Municipal Assistència Sanitària Information System"
