"","analysis_id","n_persons","person_days","n_events","incidence_start_date","incidence_end_date","person_years","incidence_100000_pys","incidence_100000_pys_95CI_lower","incidence_100000_pys_95CI_upper","cohort_obscured","result_obscured","outcome_cohort_id","outcome_cohort_name","analysis_repeated_events","analysis_interval","analysis_complete_database_intervals","denominator_cohort_id","analysis_outcome_washout","analysis_min_cell_count","denominator_cohort_name","denominator_age_group","denominator_sex","denominator_days_prior_history","denominator_start_date","denominator_end_date","denominator_strata_cohort_definition_id","denominator_strata_cohort_name","denominator_closed_cohort","cdm_name"
"1","1",66124,7704349,314,2020-09-01,2020-12-31,21093.3579739904,1488.62025850594,1328.50342766387,1662.71849208288,"FALSE","FALSE",1,"abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-10,NA,NA,FALSE,"Institut Municipal Assistència Sanitària Information System"
"2","1",65420,20315307,977,2021-01-01,2021-12-31,55620.2792607803,1756.55356820352,1648.1218776419,1870.24505560339,"FALSE","FALSE",1,"abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-10,NA,NA,FALSE,"Institut Municipal Assistència Sanitària Information System"
"3","1",50369,11353353,1052,2022-01-01,2022-12-10,31083.7864476386,3384.40106636339,3182.95147798805,3595.25872963678,"FALSE","FALSE",1,"abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-10,NA,NA,FALSE,"Institut Municipal Assistència Sanitària Information System"
"4","10",67395,7853130,251,2020-09-01,2020-12-31,21500.6981519507,1167.40395230946,1027.43667148054,1321.11766812468,"FALSE","FALSE",2,"allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-10,NA,NA,FALSE,"Institut Municipal Assistència Sanitària Information System"
"5","10",66665,20652304,943,2021-01-01,2021-12-31,56542.9267624914,1667.75944223947,1562.99922554969,1777.69460962854,"FALSE","FALSE",2,"allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-10,NA,NA,FALSE,"Institut Municipal Assistència Sanitària Information System"
"6","10",50925,11390713,851,2022-01-01,2022-12-10,31186.0725530459,2728.78221056048,2548.50008172148,2918.45228910419,"FALSE","FALSE",2,"allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-10,NA,NA,FALSE,"Institut Municipal Assistència Sanitària Information System"
"7","100",72651,8483076,112,2020-09-01,2020-12-31,23225.3963039014,482.230738001168,397.067297909001,580.248885869376,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-10,NA,NA,FALSE,"Institut Municipal Assistència Sanitària Information System"
"8","100",71854,22459069,319,2021-01-01,2021-12-31,61489.5797399042,518.787087746157,463.412640469605,578.957013667117,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-10,NA,NA,FALSE,"Institut Municipal Assistència Sanitària Information System"
"9","100",55698,12615298,406,2022-01-01,2022-12-10,34538.803559206,1175.48947317772,1063.91448834629,1295.58411266423,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-10,NA,NA,FALSE,"Institut Municipal Assistència Sanitària Information System"
"10","101",71311,2119447,28,2020-09-01,2020-09-30,5802.72963723477,482.53152827129,320.638696251992,697.392407938425,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-10,NA,NA,FALSE,"Institut Municipal Assistència Sanitària Information System"
"11","101",70762,2167107,30,2020-10-01,2020-10-31,5933.21560574949,505.62801006134,341.145095111778,721.815424224715,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-10,NA,NA,FALSE,"Institut Municipal Assistència Sanitària Information System"
"12","101",69927,2074628,33,2020-11-01,2020-11-30,5680.0219028063,580.983675145616,399.922429198853,815.917087331516,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-10,NA,NA,FALSE,"Institut Municipal Assistència Sanitària Information System"
"13","101",69216,2121894,21,2020-12-01,2020-12-31,5809.42915811088,361.481299254345,223.762621598149,552.56256443244,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-10,NA,NA,FALSE,"Institut Municipal Assistència Sanitària Information System"
"14","101",68638,2103668,20,2021-01-01,2021-01-31,5759.52908966461,347.250611788552,212.109694997917,536.300406192988,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-10,NA,NA,FALSE,"Institut Municipal Assistència Sanitària Information System"
"15","101",67877,1878078,22,2021-02-01,2021-02-28,5141.89733059548,427.857628916371,268.136098132339,647.781591999773,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-10,NA,NA,FALSE,"Institut Municipal Assistència Sanitària Information System"
"16","101",67042,2051842,26,2021-03-01,2021-03-31,5617.6372347707,462.828034517278,302.334638315063,678.150305742909,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-10,NA,NA,FALSE,"Institut Municipal Assistència Sanitària Information System"
"17","101",65762,1952078,25,2021-04-01,2021-04-30,5344.49828884326,467.770755062042,302.716568954707,690.521910626674,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-10,NA,NA,FALSE,"Institut Municipal Assistència Sanitària Information System"
