"","analysis_id","n_persons","person_days","n_events","incidence_start_date","incidence_end_date","person_years","incidence_100000_pys","incidence_100000_pys_95CI_lower","incidence_100000_pys_95CI_upper","cohort_obscured","result_obscured","outcome_cohort_id","outcome_cohort_name","analysis_repeated_events","analysis_interval","analysis_complete_database_intervals","denominator_cohort_id","analysis_outcome_washout","analysis_min_cell_count","denominator_cohort_name","denominator_age_group","denominator_sex","denominator_days_prior_history","denominator_start_date","denominator_end_date","denominator_strata_cohort_definition_id","denominator_strata_cohort_name","denominator_closed_cohort","cdm_name"
"1","1",5375,585901,NA,2020-09-01,2020-12-31,1604.10951403149,NA,NA,NA,"FALSE","TRUE",1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 6","Both",365,2020-09-01,2022-12-10,NA,NA,FALSE,"Institut Municipal Assistència Sanitària Information System"
"2","1",5757,1566847,NA,2021-01-01,2021-12-31,4289.79329226557,NA,NA,NA,"FALSE","TRUE",1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 6","Both",365,2020-09-01,2022-12-10,NA,NA,FALSE,"Institut Municipal Assistència Sanitària Information System"
"3","1",4329,831740,NA,2022-01-01,2022-12-10,2277.18001368925,NA,NA,NA,"FALSE","TRUE",1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 6","Both",365,2020-09-01,2022-12-10,NA,NA,FALSE,"Institut Municipal Assistència Sanitària Information System"
"4","10",36936,4191865,49,2020-09-01,2020-12-31,11476.7008898015,426.951965294684,315.86141432894,564.453140453316,"FALSE","FALSE",1,"dysautonomia",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-10,NA,NA,FALSE,"Institut Municipal Assistència Sanitària Information System"
"5","10",37788,10837445,139,2021-01-01,2021-12-31,29671.3073237509,468.466045271741,393.826906325872,553.136258925751,"FALSE","FALSE",1,"dysautonomia",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-10,NA,NA,FALSE,"Institut Municipal Assistència Sanitària Information System"
"6","10",27061,5444407,196,2022-01-01,2022-12-10,14905.9739904175,1314.90904335403,1137.25932699196,1512.44040088879,"FALSE","FALSE",1,"dysautonomia",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-10,NA,NA,FALSE,"Institut Municipal Assistència Sanitària Information System"
"7","100",37882,4304484,18,2020-09-01,2020-12-31,11785.0349075975,152.736077076834,90.521079182567,241.388850271359,"FALSE","FALSE",7,"pots",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-10,NA,NA,FALSE,"Institut Municipal Assistència Sanitària Information System"
"8","100",38744,11131789,47,2021-01-01,2021-12-31,30477.1772758385,154.213756656724,113.310467877362,205.071604154744,"FALSE","FALSE",7,"pots",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-10,NA,NA,FALSE,"Institut Municipal Assistència Sanitària Information System"
"9","100",27797,5609970,48,2022-01-01,2022-12-10,15359.2607802875,312.515040187381,230.423920328937,414.349603750501,"FALSE","FALSE",7,"pots",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-10,NA,NA,FALSE,"Institut Municipal Assistència Sanitària Information System"
"10","101",36501,1076783,NA,2020-09-01,2020-09-30,2948.07118412047,NA,NA,NA,"FALSE","TRUE",7,"pots",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-10,NA,NA,FALSE,"Institut Municipal Assistència Sanitària Information System"
"11","101",36107,1098851,6,2020-10-01,2020-10-31,3008.4900752909,199.435592268652,73.1893474263147,434.087322733014,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-10,NA,NA,FALSE,"Institut Municipal Assistència Sanitària Information System"
"12","101",35702,1052773,NA,2020-11-01,2020-11-30,2882.33538672142,NA,NA,NA,"FALSE","TRUE",7,"pots",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-10,NA,NA,FALSE,"Institut Municipal Assistència Sanitària Information System"
"13","101",35335,1076077,NA,2020-12-01,2020-12-31,2946.13826146475,NA,NA,NA,"FALSE","TRUE",7,"pots",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-10,NA,NA,FALSE,"Institut Municipal Assistència Sanitària Information System"
"14","101",35014,1065550,NA,2021-01-01,2021-01-31,2917.31690622861,NA,NA,NA,"FALSE","TRUE",7,"pots",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-10,NA,NA,FALSE,"Institut Municipal Assistència Sanitària Information System"
"15","101",34600,951249,NA,2021-02-01,2021-02-28,2604.37782340862,NA,NA,NA,"FALSE","TRUE",7,"pots",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-10,NA,NA,FALSE,"Institut Municipal Assistència Sanitària Information System"
"16","101",34124,1038321,6,2021-03-01,2021-03-31,2842.76796714579,211.0618970434,77.45599637179,459.392893596966,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-10,NA,NA,FALSE,"Institut Municipal Assistència Sanitària Information System"
"17","101",33373,982702,NA,2021-04-01,2021-04-30,2690.49144421629,NA,NA,NA,"FALSE","TRUE",7,"pots",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-10,NA,NA,FALSE,"Institut Municipal Assistència Sanitària Information System"
"18","101",32639,992866,NA,2021-05-01,2021-05-31,2718.3189596167,NA,NA,NA,"FALSE","TRUE",7,"pots",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-10,NA,NA,FALSE,"Institut Municipal Assistència Sanitària Information System"
"19","101",31961,936265,9,2021-06-01,2021-06-30,2563.35386721424,351.102519051764,160.546429036377,666.501947699727,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-10,NA,NA,FALSE,"Institut Municipal Assistència Sanitària Information System"
"20","101",31061,935508,5,2021-07-01,2021-07-31,2561.28131416838,195.214792390872,63.3857117192748,455.566204882546,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-10,NA,NA,FALSE,"Institut Municipal Assistència Sanitària Information System"
"21","101",29981,908832,NA,2021-08-01,2021-08-31,2488.24640657084,NA,NA,NA,"FALSE","TRUE",7,"pots",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-10,NA,NA,FALSE,"Institut Municipal Assistència Sanitària Information System"
"22","101",29357,857782,5,2021-09-01,2021-09-30,2348.47912388775,212.903744774313,69.1292664092687,496.846318991609,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-10,NA,NA,FALSE,"Institut Municipal Assistència Sanitària Information System"
"23","101",28508,860353,NA,2021-10-01,2021-10-31,2355.51813826146,NA,NA,NA,"FALSE","TRUE",7,"pots",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-10,NA,NA,FALSE,"Institut Municipal Assistència Sanitària Information System"
"24","101",27581,803208,5,2021-11-01,2021-11-30,2199.0636550308,227.36949831177,73.8262572074423,530.604562202145,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-10,NA,NA,FALSE,"Institut Municipal Assistència Sanitària Information System"
