"","analysis_id","n_persons","person_days","n_events","incidence_start_date","incidence_end_date","person_years","incidence_100000_pys","incidence_100000_pys_95CI_lower","incidence_100000_pys_95CI_upper","cohort_obscured","result_obscured","outcome_cohort_id","outcome_cohort_name","analysis_repeated_events","analysis_interval","analysis_complete_database_intervals","denominator_cohort_id","analysis_outcome_washout","analysis_min_cell_count","denominator_cohort_name","denominator_age_group","denominator_sex","denominator_days_prior_history","denominator_start_date","denominator_end_date","denominator_strata_cohort_definition_id","denominator_strata_cohort_name","denominator_closed_cohort","cdm_name"
"1","1",255,23940,NA,2021-04-25,2021-12-31,65.5441478439425,NA,NA,NA,"FALSE","TRUE",1,"reinf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2022-12-10,2,"reinfection",FALSE,"Institut Municipal Assistència Sanitària Information System"
"2","1",858,132069,13,2022-01-01,2022-12-10,361.58521560575,3595.27974013584,1914.33504254529,6148.03785075039,"FALSE","FALSE",1,"reinf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2022-12-10,2,"reinfection",FALSE,"Institut Municipal Assistència Sanitària Information System"
"3","10",255,23820,NA,2021-04-25,2021-12-31,65.2156057494867,NA,NA,NA,"FALSE","TRUE",2,"reinf_allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2022-12-10,2,"reinfection",FALSE,"Institut Municipal Assistència Sanitària Information System"
"4","10",857,130567,22,2022-01-01,2022-12-10,357.472963723477,6154.31157949558,3856.87430137927,9317.70169139024,"FALSE","FALSE",2,"reinf_allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2022-12-10,2,"reinfection",FALSE,"Institut Municipal Assistència Sanitària Information System"
"5","100",255,23917,NA,2021-04-25,2021-12-31,65.4811772758385,NA,NA,NA,"FALSE","TRUE",12,"reinf_fatigue_malaise",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2022-12-10,2,"reinfection",FALSE,"Institut Municipal Assistència Sanitària Information System"
"6","100",858,131976,9,2022-01-01,2022-12-10,361.330595482546,2490.7937806874,1138.94952401758,4728.30246456238,"FALSE","FALSE",12,"reinf_fatigue_malaise",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2022-12-10,2,"reinfection",FALSE,"Institut Municipal Assistència Sanitària Information System"
"7","101",NA,NA,NA,2021-04-25,2021-04-30,NA,NA,NA,NA,"TRUE","TRUE",12,"reinf_fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2022-12-10,2,"reinfection",FALSE,"Institut Municipal Assistència Sanitària Information System"
"8","101",15,213,NA,2021-05-01,2021-05-31,0.583162217659138,NA,NA,NA,"FALSE","TRUE",12,"reinf_fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2022-12-10,2,"reinfection",FALSE,"Institut Municipal Assistència Sanitària Information System"
"9","101",35,864,NA,2021-06-01,2021-06-30,2.36550308008214,NA,NA,NA,"FALSE","TRUE",12,"reinf_fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2022-12-10,2,"reinfection",FALSE,"Institut Municipal Assistència Sanitària Information System"
"10","101",62,1451,NA,2021-07-01,2021-07-31,3.97262149212868,NA,NA,NA,"FALSE","TRUE",12,"reinf_fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2022-12-10,2,"reinfection",FALSE,"Institut Municipal Assistència Sanitària Information System"
