"","group_name","group_level","strata_name","strata_level","variable","variable_level","variable_type","estimate_type","estimate"
"1","Overall","Overall","Overall","Overall","number subjects",NA,NA,"count","166450"
"2","Overall","Overall","Overall","Overall","number records",NA,NA,"count","166450"
"3","Overall","Overall","Overall","Overall","age",NA,"numeric","median","49"
"4","Overall","Overall","Overall","Overall","age",NA,"numeric","q25","33"
"5","Overall","Overall","Overall","Overall","age",NA,"numeric","q75","67"
"6","Overall","Overall","Overall","Overall","future_observation",NA,"numeric","median","645"
"7","Overall","Overall","Overall","Overall","future_observation",NA,"numeric","q25","379"
"8","Overall","Overall","Overall","Overall","future_observation",NA,"numeric","q75","783"
"9","Overall","Overall","Overall","Overall","prior_history",NA,"numeric","median","4505.5"
"10","Overall","Overall","Overall","Overall","prior_history",NA,"numeric","q25","1603"
"11","Overall","Overall","Overall","Overall","prior_history",NA,"numeric","q75","8315"
"12","Overall","Overall","Overall","Overall","cohort_end_date",NA,"date","median","2022-07-07"
"13","Overall","Overall","Overall","Overall","cohort_end_date",NA,"date","q25","2021-11-24"
"14","Overall","Overall","Overall","Overall","cohort_end_date",NA,"date","q75","2022-11-02"
"15","Overall","Overall","Overall","Overall","cohort_start_date",NA,"date","median","2020-09-01"
"16","Overall","Overall","Overall","Overall","cohort_start_date",NA,"date","q25","2020-09-01"
"17","Overall","Overall","Overall","Overall","cohort_start_date",NA,"date","q75","2020-09-01"
"18","Overall","Overall","Overall","Overall","sex","Female","categorical","count","86523"
"19","Overall","Overall","Overall","Overall","sex","Female","categorical","%","51.9813757885251"
"20","Overall","Overall","Overall","Overall","sex","Male","categorical","count","79927"
"21","Overall","Overall","Overall","Overall","sex","Male","categorical","%","48.0186242114749"
