"","group_name","group_level","strata_name","strata_level","variable","variable_level","variable_type","estimate_type","estimate"
"1","Overall","Overall","Overall","Overall","number subjects",NA,NA,"count","31651"
"2","Overall","Overall","Overall","Overall","number records",NA,NA,"count","43500"
"3","Overall","Overall","Overall","Overall","age",NA,"numeric","median","59"
"4","Overall","Overall","Overall","Overall","age",NA,"numeric","q25","42"
"5","Overall","Overall","Overall","Overall","age",NA,"numeric","q75","74"
"6","Overall","Overall","Overall","Overall","future_observation",NA,"numeric","median","322"
"7","Overall","Overall","Overall","Overall","future_observation",NA,"numeric","q25","168"
"8","Overall","Overall","Overall","Overall","future_observation",NA,"numeric","q75","504"
"9","Overall","Overall","Overall","Overall","prior_history",NA,"numeric","median","6094"
"10","Overall","Overall","Overall","Overall","prior_history",NA,"numeric","q25","2972"
"11","Overall","Overall","Overall","Overall","prior_history",NA,"numeric","q75","9673"
"12","Overall","Overall","Overall","Overall","cohort_end_date",NA,"date","median","2022-04-19"
"13","Overall","Overall","Overall","Overall","cohort_end_date",NA,"date","q25","2021-11-19"
"14","Overall","Overall","Overall","Overall","cohort_end_date",NA,"date","q75","2022-09-20"
"15","Overall","Overall","Overall","Overall","cohort_start_date",NA,"date","median","2021-08-26"
"16","Overall","Overall","Overall","Overall","cohort_start_date",NA,"date","q25","2021-03-18"
"17","Overall","Overall","Overall","Overall","cohort_start_date",NA,"date","q75","2022-02-22"
"18","Overall","Overall","Overall","Overall","sex","Female","categorical","count","23306"
"19","Overall","Overall","Overall","Overall","sex","Female","categorical","%","53.5770114942529"
"20","Overall","Overall","Overall","Overall","sex","Male","categorical","count","20194"
"21","Overall","Overall","Overall","Overall","sex","Male","categorical","%","46.4229885057471"
"22","Overall","Overall","base_id","1","number subjects",NA,NA,"count","13939"
"23","Overall","Overall","base_id","1","number records",NA,NA,"count","13939"
"24","Overall","Overall","base_id","1","age",NA,"numeric","median","58"
"25","Overall","Overall","base_id","1","age",NA,"numeric","q25","42"
"26","Overall","Overall","base_id","1","age",NA,"numeric","q75","72"
"27","Overall","Overall","base_id","1","future_observation",NA,"numeric","median","302"
"28","Overall","Overall","base_id","1","future_observation",NA,"numeric","q25","152.5"
"29","Overall","Overall","base_id","1","future_observation",NA,"numeric","q75","488"
"30","Overall","Overall","base_id","1","prior_history",NA,"numeric","median","5988"
"31","Overall","Overall","base_id","1","prior_history",NA,"numeric","q25","2954"
"32","Overall","Overall","base_id","1","prior_history",NA,"numeric","q75","9599"
"33","Overall","Overall","base_id","1","cohort_end_date",NA,"date","median","2022-05-17"
"34","Overall","Overall","base_id","1","cohort_end_date",NA,"date","q25","2021-12-07"
"35","Overall","Overall","base_id","1","cohort_end_date",NA,"date","q75","2022-10-06"
"36","Overall","Overall","base_id","1","cohort_start_date",NA,"date","median","2021-09-28"
"37","Overall","Overall","base_id","1","cohort_start_date",NA,"date","q25","2021-04-13"
"38","Overall","Overall","base_id","1","cohort_start_date",NA,"date","q75","2022-04-04"
"39","Overall","Overall","base_id","1","sex","Female","categorical","count","7300"
"40","Overall","Overall","base_id","1","sex","Female","categorical","%","52.3710452686706"
"41","Overall","Overall","base_id","1","sex","Male","categorical","count","6639"
"42","Overall","Overall","base_id","1","sex","Male","categorical","%","47.6289547313294"
"43","Overall","Overall","base_id","2","number subjects",NA,NA,"count","1713"
"44","Overall","Overall","base_id","2","number records",NA,NA,"count","1858"
"45","Overall","Overall","base_id","2","age",NA,"numeric","median","62"
"46","Overall","Overall","base_id","2","age",NA,"numeric","q25","50"
"47","Overall","Overall","base_id","2","age",NA,"numeric","q75","73"
"48","Overall","Overall","base_id","2","future_observation",NA,"numeric","median","192"
"49","Overall","Overall","base_id","2","future_observation",NA,"numeric","q25","101.25"
"50","Overall","Overall","base_id","2","future_observation",NA,"numeric","q75","304"
"51","Overall","Overall","base_id","2","prior_history",NA,"numeric","median","6551.5"
"52","Overall","Overall","base_id","2","prior_history",NA,"numeric","q25","3617.25"
"53","Overall","Overall","base_id","2","prior_history",NA,"numeric","q75","10213"
"54","Overall","Overall","base_id","2","cohort_end_date",NA,"date","median","2022-10-18"
"55","Overall","Overall","base_id","2","cohort_end_date",NA,"date","q25","2022-07-08"
"56","Overall","Overall","base_id","2","cohort_end_date",NA,"date","q75","2022-11-22"
"57","Overall","Overall","base_id","2","cohort_start_date",NA,"date","median","2022-04-12"
"58","Overall","Overall","base_id","2","cohort_start_date",NA,"date","q25","2021-12-19"
"59","Overall","Overall","base_id","2","cohort_start_date",NA,"date","q75","2022-07-12"
"60","Overall","Overall","base_id","2","sex","Female","categorical","count","918"
"61","Overall","Overall","base_id","2","sex","Female","categorical","%","49.4079655543595"
"62","Overall","Overall","base_id","2","sex","Male","categorical","count","940"
"63","Overall","Overall","base_id","2","sex","Male","categorical","%","50.5920344456405"
"64","Overall","Overall","base_id","3","number subjects",NA,NA,"count","27703"
"65","Overall","Overall","base_id","3","number records",NA,NA,"count","27703"
"66","Overall","Overall","base_id","3","age",NA,"numeric","median","60"
"67","Overall","Overall","base_id","3","age",NA,"numeric","q25","41"
"68","Overall","Overall","base_id","3","age",NA,"numeric","q75","75"
"69","Overall","Overall","base_id","3","future_observation",NA,"numeric","median","345"
"70","Overall","Overall","base_id","3","future_observation",NA,"numeric","q25","185"
"71","Overall","Overall","base_id","3","future_observation",NA,"numeric","q75","521"
"72","Overall","Overall","base_id","3","prior_history",NA,"numeric","median","6116"
"73","Overall","Overall","base_id","3","prior_history",NA,"numeric","q25","2941"
"74","Overall","Overall","base_id","3","prior_history",NA,"numeric","q75","9662"
"75","Overall","Overall","base_id","3","cohort_end_date",NA,"date","median","2022-03-18"
"76","Overall","Overall","base_id","3","cohort_end_date",NA,"date","q25","2021-11-09"
"77","Overall","Overall","base_id","3","cohort_end_date",NA,"date","q75","2022-08-17"
"78","Overall","Overall","base_id","3","cohort_start_date",NA,"date","median","2021-07-28"
"79","Overall","Overall","base_id","3","cohort_start_date",NA,"date","q25","2021-03-02"
"80","Overall","Overall","base_id","3","cohort_start_date",NA,"date","q75","2022-01-20"
"81","Overall","Overall","base_id","3","sex","Female","categorical","count","15088"
"82","Overall","Overall","base_id","3","sex","Female","categorical","%","54.4634155145652"
"83","Overall","Overall","base_id","3","sex","Male","categorical","count","12615"
"84","Overall","Overall","base_id","3","sex","Male","categorical","%","45.5365844854348"
