"","analysis_id","n_persons","person_days","n_events","incidence_start_date","incidence_end_date","person_years","incidence_100000_pys","incidence_100000_pys_95CI_lower","incidence_100000_pys_95CI_upper","cohort_obscured","result_obscured","outcome_cohort_id","outcome_cohort_name","analysis_repeated_events","analysis_interval","analysis_complete_database_intervals","denominator_cohort_id","analysis_outcome_washout","analysis_min_cell_count","denominator_cohort_name","denominator_age_group","denominator_sex","denominator_days_prior_history","denominator_start_date","denominator_end_date","denominator_strata_cohort_definition_id","denominator_strata_cohort_name","denominator_closed_cohort","cdm_name"
"1","1",75498,8382964,610,2020-09-01,2020-12-31,22951.3045859001,2657.8009878129,2451.0435120289,2877.34096317652,"FALSE","FALSE",1,"abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 6","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"2","1",89453,25488447,2628,2021-01-01,2021-12-31,69783.5646817248,3765.92971709889,3623.30995125859,3912.72434740698,"FALSE","FALSE",1,"abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 6","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"3","1",87457,22640918,3213,2022-01-01,2022-12-31,61987.4551676934,5183.30683411335,5005.61423248296,5365.69643665634,"FALSE","FALSE",1,"abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 6","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"4","10",261603,29881553,3107,2020-09-01,2020-12-31,81811.2334017796,3797.76697014375,3665.39016394501,3933.7029969589,"FALSE","FALSE",1,"abdominal_pain",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"5","10",300245,90790905,9752,2021-01-01,2021-12-31,248571.950718686,3923.21014973912,3845.72679037688,4001.86186916231,"FALSE","FALSE",1,"abdominal_pain",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"6","10",295170,81754634,9001,2022-01-01,2022-12-31,223831.989048597,4021.31975785006,3938.6685325995,4105.26866173835,"FALSE","FALSE",1,"abdominal_pain",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"7","100",332109,38413082,6,2020-09-01,2020-12-31,105169.28678987,5.70508765737672,2.09366662140656,12.4175740096172,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"8","100",376405,117239887,23,2021-01-01,2021-12-31,320985.316906229,7.16543679370827,4.54227226889136,10.7516733872643,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"9","100",374064,106124259,20,2022-01-01,2022-12-31,290552.386036961,6.88344028861488,4.20458415504111,10.6309152452616,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"10","101",318629,9242852,NA,2020-09-01,2020-09-30,25305.5496235455,NA,NA,NA,"FALSE","TRUE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"11","101",318520,9789010,NA,2020-10-01,2020-10-31,26800.848733744,NA,NA,NA,"FALSE","TRUE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"12","101",319709,9507460,NA,2020-11-01,2020-11-30,26030.006844627,NA,NA,NA,"FALSE","TRUE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"13","101",322411,9873760,NA,2020-12-01,2020-12-31,27032.8815879535,NA,NA,NA,"FALSE","TRUE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"14","101",319919,9817573,NA,2021-01-01,2021-01-31,26879.0499657769,NA,NA,NA,"FALSE","TRUE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"15","101",317378,8886557,NA,2021-02-01,2021-02-28,24330.0670773443,NA,NA,NA,"FALSE","TRUE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"16","101",317889,9854512,NA,2021-03-01,2021-03-31,26980.1834360027,NA,NA,NA,"FALSE","TRUE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"17","101",319827,9594737,5,2021-04-01,2021-04-30,26268.9582477755,19.0338724240175,6.18024656632853,44.4187088397796,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"18","101",329723,10221407,NA,2021-05-01,2021-05-31,27984.6872005476,NA,NA,NA,"FALSE","TRUE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"19","101",331094,9932785,NA,2021-06-01,2021-06-30,27194.4832306639,NA,NA,NA,"FALSE","TRUE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"20","101",320029,9920837,NA,2021-07-01,2021-07-31,27161.7713894593,NA,NA,NA,"FALSE","TRUE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
