"","analysis_id","n_persons","person_days","n_events","incidence_start_date","incidence_end_date","person_years","incidence_100000_pys","incidence_100000_pys_95CI_lower","incidence_100000_pys_95CI_upper","cohort_obscured","result_obscured","outcome_cohort_id","outcome_cohort_name","analysis_repeated_events","analysis_interval","analysis_complete_database_intervals","denominator_cohort_id","analysis_outcome_washout","analysis_min_cell_count","denominator_cohort_name","denominator_age_group","denominator_sex","denominator_days_prior_history","denominator_start_date","denominator_end_date","denominator_strata_cohort_definition_id","denominator_strata_cohort_name","denominator_closed_cohort","cdm_name"
"1","1",511921,60039205,4458,2020-09-01,2020-12-31,164378.384668036,2712.03541086195,2633.00210964904,2792.83838037122,"FALSE","FALSE",1,"abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"2","1",559840,181250978,13999,2021-01-01,2021-12-31,496238.132785763,2821.02464020911,2774.48464925007,2868.14954766669,"FALSE","FALSE",1,"abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"3","1",552085,162186240,13217,2022-01-01,2022-12-31,444041.724845996,2976.52208350104,2925.99101419921,3027.70687957443,"FALSE","FALSE",1,"abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"4","10",543398,63999524,1566,2020-09-01,2020-12-31,175221.14715948,893.727740850072,850.006050464014,939.115314879857,"FALSE","FALSE",2,"allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"5","10",593425,193534364,8887,2021-01-01,2021-12-31,529868.210814511,1677.20950580125,1642.51812994839,1712.44907188128,"FALSE","FALSE",2,"allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"6","10",586842,174172006,6219,2022-01-01,2022-12-31,476856.963723477,1304.16466007746,1271.95066370955,1336.98821248308,"FALSE","FALSE",2,"allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"7","100",501955,58914515,3691,2020-09-01,2020-12-31,161299.151266256,2288.29474366376,2215.06131150183,2363.332524258,"FALSE","FALSE",13,"gastrointestinal_issues",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"8","100",550285,178545164,12544,2021-01-01,2021-12-31,488830.01779603,2566.12719009292,2521.41486158383,2611.43339472321,"FALSE","FALSE",13,"gastrointestinal_issues",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"9","100",543496,160107637,12146,2022-01-01,2022-12-31,438350.819986311,2770.84003182184,2721.77961200275,2820.56274915629,"FALSE","FALSE",13,"gastrointestinal_issues",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"10","101",488761,14221672,979,2020-09-01,2020-09-30,38936.8158795346,2514.32989032513,2359.27692578293,2676.8962631501,"FALSE","FALSE",13,"gastrointestinal_issues",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
