"","analysis_id","n_persons","person_days","n_events","incidence_start_date","incidence_end_date","person_years","incidence_100000_pys","incidence_100000_pys_95CI_lower","incidence_100000_pys_95CI_upper","cohort_obscured","result_obscured","outcome_cohort_id","outcome_cohort_name","analysis_repeated_events","analysis_interval","analysis_complete_database_intervals","denominator_cohort_id","analysis_outcome_washout","analysis_min_cell_count","denominator_cohort_name","denominator_age_group","denominator_sex","denominator_days_prior_history","denominator_start_date","denominator_end_date","denominator_strata_cohort_definition_id","denominator_strata_cohort_name","denominator_closed_cohort","cdm_name"
"1","1",78791,8774217,236,2020-09-01,2020-12-31,24022.4969199179,982.4124477432,861.06165744864,1116.07451717703,"FALSE","FALSE",1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 6","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"2","1",92811,26656541,892,2021-01-01,2021-12-31,72981.6317590691,1222.22534424103,1143.32305977411,1305.13817136101,"FALSE","FALSE",1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 6","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"3","1",91185,23943863,1038,2022-01-01,2022-12-31,65554.7241615332,1583.40991175902,1488.53694691679,1682.74416780648,"FALSE","FALSE",1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 6","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"4","10",243410,27700221,3170,2020-09-01,2020-12-31,75839.0718685832,4179.90347441632,4035.6490947177,4327.99712526276,"FALSE","FALSE",1,"dysautonomia",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"5","10",281393,84440963,10713,2021-01-01,2021-12-31,231186.757015743,4633.91594669521,4546.57765438147,4722.51026299357,"FALSE","FALSE",1,"dysautonomia",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"6","10",276655,76017860,10945,2022-01-01,2022-12-31,208125.557837098,5258.84476358582,5160.77924114454,5358.30543448317,"FALSE","FALSE",1,"dysautonomia",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"7","100",331197,38300792,72,2020-09-01,2020-12-31,104861.853524983,68.6617655321592,53.7236028130731,86.4681302081464,"FALSE","FALSE",7,"pots",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"8","100",375399,116891334,138,2021-01-01,2021-12-31,320031.030800821,43.1208185202164,36.2267719439447,50.9449759905272,"FALSE","FALSE",7,"pots",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"9","100",373042,105805498,137,2022-01-01,2022-12-31,289679.665982204,47.2936198457286,39.7061126274789,55.9087929554651,"FALSE","FALSE",7,"pots",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"10","101",317732,9215844,22,2020-09-01,2020-09-30,25231.6057494867,87.1922311184955,54.6429070314327,132.010085754463,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"11","101",317612,9760844,15,2020-10-01,2020-10-31,26723.7344284736,56.1298797522018,31.4154676070953,92.5777006866435,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"12","101",318789,9479644,17,2020-11-01,2020-11-30,25953.8507871321,65.5008774591113,38.1566749028135,104.873249981855,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"13","101",321473,9844460,18,2020-12-01,2020-12-31,26952.6625598905,66.7837545177694,39.5802854604613,105.547124349275,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"14","101",318981,9788370,11,2021-01-01,2021-01-31,26799.0965092402,41.0461598815737,20.4900951244513,73.4429181465713,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"15","101",316440,8860176,8,2021-02-01,2021-02-28,24257.839835729,32.9790288590204,14.2380038789003,64.9818340253693,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
