"","analysis_id","n_persons","person_days","n_events","incidence_start_date","incidence_end_date","person_years","incidence_100000_pys","incidence_100000_pys_95CI_lower","incidence_100000_pys_95CI_upper","cohort_obscured","result_obscured","outcome_cohort_id","outcome_cohort_name","analysis_repeated_events","analysis_interval","analysis_complete_database_intervals","denominator_cohort_id","analysis_outcome_washout","analysis_min_cell_count","denominator_cohort_name","denominator_age_group","denominator_sex","denominator_days_prior_history","denominator_start_date","denominator_end_date","denominator_strata_cohort_definition_id","denominator_strata_cohort_name","denominator_closed_cohort","cdm_name"
"1","1",493686,57813629,4927,2020-09-01,2020-12-31,158285.089664613,3112.73791513762,3026.42191145665,3200.89126124606,"FALSE","FALSE",1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"2","1",541827,174896231,16227,2021-01-01,2021-12-31,478839.783709788,3388.81616608422,3336.87353366123,3441.36484473947,"FALSE","FALSE",1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"3","1",534384,156554652,15868,2022-01-01,2022-12-31,428623.277207392,3702.08545447758,3644.70529514903,3760.14268315054,"FALSE","FALSE",1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"4","10",615960,72843677,103,2020-09-01,2020-12-31,199435.118412047,51.6458690024667,42.1550321799995,62.6356363120276,"FALSE","FALSE",2,"ibd",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"5","10",667526,220779906,338,2021-01-01,2021-12-31,604462.439425051,55.9174529225499,50.1144124101598,62.2080640940078,"FALSE","FALSE",2,"ibd",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"6","10",664018,198710946,271,2022-01-01,2022-12-31,544040.919917864,49.8124295578564,44.0577632081404,56.109940661052,"FALSE","FALSE",2,"ibd",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"7","11",602078,17619508,27,2020-09-01,2020-09-30,48239.5838466804,55.9706320971051,36.8849992328224,81.4343311294246,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"8","11",601999,18542468,24,2020-10-01,2020-10-31,50766.5106091718,47.2752602296523,30.2901512634361,70.3418398571234,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"9","11",604205,18001807,20,2020-11-01,2020-11-30,49286.2614647502,40.5792596265475,24.7868659994455,62.6713753177773,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"10","11",608047,18679894,32,2020-12-01,2020-12-31,51142.7624914442,62.5699482020615,42.797798251407,88.3300977083078,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"11","11",603587,18562394,25,2021-01-01,2021-01-31,50821.0650239562,49.1922001009137,31.8345981930976,72.6173913910187,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"12","11",600485,16813170,28,2021-02-01,2021-02-28,46031.9507186858,60.8273157292765,40.4193095564487,87.9124071681825,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"13","11",600466,18614088,25,2021-03-01,2021-03-31,50962.5954825462,49.0555862849687,31.7461889345299,72.415722449163,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"14","11",604141,18123815,31,2021-04-01,2021-04-30,49620.3011635866,62.4744293626921,42.4483436924376,88.6774656167126,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"15","11",621719,19273018,16,2021-05-01,2021-05-31,52766.6475017112,30.3221841021474,17.3317481527417,49.241327292431,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"16","11",623868,18715598,32,2021-06-01,2021-06-30,51240.514715948,62.4505826637225,42.7161523115462,88.1615891835694,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"17","11",601424,18643571,39,2021-07-01,2021-07-31,51043.3155373032,76.4056950248426,54.3319182884367,104.449100346685,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"18","11",599184,18574386,21,2021-08-01,2021-08-31,50853.8973305955,41.2947701205305,25.5621135575293,63.1234426857398,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
