"","analysis_id","n_persons","person_days","n_events","incidence_start_date","incidence_end_date","person_years","incidence_100000_pys","incidence_100000_pys_95CI_lower","incidence_100000_pys_95CI_upper","cohort_obscured","result_obscured","outcome_cohort_id","outcome_cohort_name","analysis_repeated_events","analysis_interval","analysis_complete_database_intervals","denominator_cohort_id","analysis_outcome_washout","analysis_min_cell_count","denominator_cohort_name","denominator_age_group","denominator_sex","denominator_days_prior_history","denominator_start_date","denominator_end_date","denominator_strata_cohort_definition_id","denominator_strata_cohort_name","denominator_closed_cohort","cdm_name"
"1","1",81655,9114439,NA,2020-09-01,2020-12-31,24953.9739904175,NA,NA,NA,"FALSE","TRUE",1,"venous_thrombosembolism",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 6","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"2","1",95746,27634249,NA,2021-01-01,2021-12-31,75658.4503764545,NA,NA,NA,"FALSE","TRUE",1,"venous_thrombosembolism",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 6","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"3","1",94055,24846073,NA,2022-01-01,2022-12-31,68024.8405201916,NA,NA,NA,"FALSE","TRUE",1,"venous_thrombosembolism",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 6","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"4","10",330545,38221007,114,2020-09-01,2020-12-31,104643.414099932,108.941399686303,89.8632207012604,130.87189935838,"FALSE","FALSE",1,"venous_thrombosembolism",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"5","10",374760,116656729,318,2021-01-01,2021-12-31,319388.717316906,99.5651952490456,88.9215540933959,111.132101453008,"FALSE","FALSE",1,"venous_thrombosembolism",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"6","10",372374,105608826,289,2022-01-01,2022-12-31,289141.207392197,99.9511631726689,88.7585826902909,112.164507349732,"FALSE","FALSE",1,"venous_thrombosembolism",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"7","100",332026,38402921,13,2020-09-01,2020-12-31,105141.467488022,12.3642938515016,6.58346574037724,21.1433190436413,"FALSE","FALSE",6,"transient_ischemic_attack",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"8","100",376317,117209619,40,2021-01-01,2021-12-31,320902.447638604,12.4648472750347,8.90506964096814,16.973584142096,"FALSE","FALSE",6,"transient_ischemic_attack",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"9","100",373974,106095578,28,2022-01-01,2022-12-31,290473.861738535,9.63942154120693,6.4053256098496,13.9316479978824,"FALSE","FALSE",6,"transient_ischemic_attack",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"10","101",318546,9240343,NA,2020-09-01,2020-09-30,25298.6803559206,NA,NA,NA,"FALSE","TRUE",6,"transient_ischemic_attack",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
