"","analysis_id","n_persons","person_days","n_events","incidence_start_date","incidence_end_date","person_years","incidence_100000_pys","incidence_100000_pys_95CI_lower","incidence_100000_pys_95CI_upper","cohort_obscured","result_obscured","outcome_cohort_id","outcome_cohort_name","analysis_repeated_events","analysis_interval","analysis_complete_database_intervals","denominator_cohort_id","analysis_outcome_washout","analysis_min_cell_count","denominator_cohort_name","denominator_age_group","denominator_sex","denominator_days_prior_history","denominator_start_date","denominator_end_date","denominator_strata_cohort_definition_id","denominator_strata_cohort_name","denominator_closed_cohort","cdm_name"
"1","1",81660,9114899,NA,2020-09-01,2020-12-31,24955.2334017796,NA,NA,NA,"FALSE","TRUE",1,"inf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 6","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"2","1",95753,27634747,24,2021-01-01,2021-12-31,75659.8138261465,31.7209345176925,20.3242012860629,47.1982361413273,"FALSE","FALSE",1,"inf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 6","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"3","1",94046,24824421,144,2022-01-01,2022-12-31,67965.5605749487,211.872011033007,178.680820360404,249.440321706151,"FALSE","FALSE",1,"inf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 6","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"4","10",332203,38424336,NA,2020-09-01,2020-12-31,105200.098562628,NA,NA,NA,"FALSE","TRUE",1,"inf_abdominal_pain",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"5","10",376475,117133902,908,2021-01-01,2021-12-31,320695.145790554,283.134937313025,265.015895830672,302.16658130166,"FALSE","FALSE",1,"inf_abdominal_pain",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"6","10",373237,105689631,1271,2022-01-01,2022-12-31,289362.439425051,439.241527865681,415.422636755914,464.070115799916,"FALSE","FALSE",1,"inf_abdominal_pain",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"7","100",332203,38424360,NA,2020-09-01,2020-12-31,105200.164271047,NA,NA,NA,"FALSE","TRUE",6,"inf_chest_pain_angina",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"8","100",376501,117273827,NA,2021-01-01,2021-12-31,321078.239561944,NA,NA,NA,"FALSE","TRUE",6,"inf_chest_pain_angina",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"9","100",374152,106151386,NA,2022-01-01,2022-12-31,290626.655715264,NA,NA,NA,"FALSE","TRUE",6,"inf_chest_pain_angina",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"10","101",318722,9245647,NA,2020-09-01,2020-09-30,25313.2019164956,NA,NA,NA,"FALSE","TRUE",6,"inf_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"11","101",318613,9791893,NA,2020-10-01,2020-10-31,26808.7419575633,NA,NA,NA,"FALSE","TRUE",6,"inf_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"12","101",319801,9510220,NA,2020-11-01,2020-11-30,26037.5633127995,NA,NA,NA,"FALSE","TRUE",6,"inf_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"13","101",322500,9876600,NA,2020-12-01,2020-12-31,27040.6570841889,NA,NA,NA,"FALSE","TRUE",6,"inf_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"14","101",320012,9820472,NA,2021-01-01,2021-01-31,26886.9869952088,NA,NA,NA,"FALSE","TRUE",6,"inf_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"15","101",317472,8889216,NA,2021-02-01,2021-02-28,24337.3470225873,NA,NA,NA,"FALSE","TRUE",6,"inf_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"16","101",317984,9857504,NA,2021-03-01,2021-03-31,26988.3750855578,NA,NA,NA,"FALSE","TRUE",6,"inf_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"17","101",319923,9597690,NA,2021-04-01,2021-04-30,26277.0431211499,NA,NA,NA,"FALSE","TRUE",6,"inf_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"18","101",329820,10224420,NA,2021-05-01,2021-05-31,27992.9363449692,NA,NA,NA,"FALSE","TRUE",6,"inf_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"19","101",331191,9935724,NA,2021-06-01,2021-06-30,27202.5297741273,NA,NA,NA,"FALSE","TRUE",6,"inf_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"20","101",320121,9923726,NA,2021-07-01,2021-07-31,27169.6810403833,NA,NA,NA,"FALSE","TRUE",6,"inf_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"21","101",318439,9871597,NA,2021-08-01,2021-08-31,27026.9596167009,NA,NA,NA,"FALSE","TRUE",6,"inf_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"22","101",320134,9604020,NA,2021-09-01,2021-09-30,26294.3737166324,NA,NA,NA,"FALSE","TRUE",6,"inf_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"23","101",318967,9887977,NA,2021-10-01,2021-10-31,27071.8056125941,NA,NA,NA,"FALSE","TRUE",6,"inf_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
