"","analysis_id","n_persons","person_days","n_events","incidence_start_date","incidence_end_date","person_years","incidence_100000_pys","incidence_100000_pys_95CI_lower","incidence_100000_pys_95CI_upper","cohort_obscured","result_obscured","outcome_cohort_id","outcome_cohort_name","analysis_repeated_events","analysis_interval","analysis_complete_database_intervals","denominator_cohort_id","analysis_outcome_washout","analysis_min_cell_count","denominator_cohort_name","denominator_age_group","denominator_sex","denominator_days_prior_history","denominator_start_date","denominator_end_date","denominator_strata_cohort_definition_id","denominator_strata_cohort_name","denominator_closed_cohort","cdm_name"
"1","1",619241,73245540,NA,2020-09-01,2020-12-31,200535.359342916,NA,NA,NA,"FALSE","TRUE",1,"testneg_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"2","1",670904,222003098,24,2021-01-01,2021-12-31,607811.356605065,3.94859354620358,2.52993839084814,5.87519420387474,"FALSE","FALSE",1,"testneg_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"3","1",667479,199791518,NA,2022-01-01,2022-12-31,546999.364818617,NA,NA,NA,"FALSE","TRUE",1,"testneg_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"4","10",619241,73245540,NA,2020-09-01,2020-12-31,200535.359342916,NA,NA,NA,"FALSE","TRUE",2,"testneg_allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"5","10",670904,222003352,26,2021-01-01,2021-12-31,607812.052019165,4.27763811422091,2.79429523636047,6.26773094685589,"FALSE","FALSE",2,"testneg_allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"6","10",667475,199793048,NA,2022-01-01,2022-12-31,547003.553730322,NA,NA,NA,"FALSE","TRUE",2,"testneg_allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"7","100",619241,73245540,NA,2020-09-01,2020-12-31,200535.359342916,NA,NA,NA,"FALSE","TRUE",13,"testneg_gastrointestinal_issues",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"8","100",670904,222002236,34,2021-01-01,2021-12-31,607808.996577687,5.59386257713188,3.8739124490012,7.81686226474446,"FALSE","FALSE",13,"testneg_gastrointestinal_issues",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"9","100",667472,199792136,NA,2022-01-01,2022-12-31,547001.056810404,NA,NA,NA,"FALSE","TRUE",13,"testneg_gastrointestinal_issues",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"10","101",605347,17717580,NA,2020-09-01,2020-09-30,48508.090349076,NA,NA,NA,"FALSE","TRUE",13,"testneg_gastrointestinal_issues",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"11","101",605279,18644369,NA,2020-10-01,2020-10-31,51045.5003422313,NA,NA,NA,"FALSE","TRUE",13,"testneg_gastrointestinal_issues",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"12","101",607496,18100847,NA,2020-11-01,2020-11-30,49557.4182067077,NA,NA,NA,"FALSE","TRUE",13,"testneg_gastrointestinal_issues",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"13","101",611354,18782744,NA,2020-12-01,2020-12-31,51424.3504449008,NA,NA,NA,"FALSE","TRUE",13,"testneg_gastrointestinal_issues",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"14","101",606896,18665006,NA,2021-01-01,2021-01-31,51102.0013689254,NA,NA,NA,"FALSE","TRUE",13,"testneg_gastrointestinal_issues",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"15","101",603804,16906497,NA,2021-02-01,2021-02-28,46287.4661190965,NA,NA,NA,"FALSE","TRUE",13,"testneg_gastrointestinal_issues",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
"16","101",603788,18717393,NA,2021-03-01,2021-03-31,51245.4291581109,NA,NA,NA,"FALSE","TRUE",13,"testneg_gastrointestinal_issues",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"IPCI"
