"","analysis_id","n_persons","person_days","n_events","incidence_start_date","incidence_end_date","person_years","incidence_100000_pys","incidence_100000_pys_95CI_lower","incidence_100000_pys_95CI_upper","cohort_obscured","result_obscured","outcome_cohort_id","outcome_cohort_name","analysis_repeated_events","analysis_interval","analysis_complete_database_intervals","denominator_cohort_id","analysis_outcome_washout","analysis_min_cell_count","denominator_cohort_name","denominator_age_group","denominator_sex","denominator_days_prior_history","denominator_start_date","denominator_end_date","denominator_strata_cohort_definition_id","denominator_strata_cohort_name","denominator_closed_cohort","cdm_name"
"1","1",1150,13300,NA,2020-12-01,2020-12-31,36.4134154688569,NA,NA,NA,"FALSE","TRUE",1,"inf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2022-12-31,1,"infection",FALSE,"IPCI"
"2","1",34054,7078618,814,2021-01-01,2021-12-31,19380.1998631075,4200.16308268083,3916.54361082528,4498.89323509639,"FALSE","FALSE",1,"inf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2022-12-31,1,"infection",FALSE,"IPCI"
"3","1",67567,12138680,1197,2022-01-01,2022-12-31,33233.8945927447,3601.74458837369,3400.56998245759,3811.71296756955,"FALSE","FALSE",1,"inf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2022-12-31,1,"infection",FALSE,"IPCI"
"4","10",1150,13267,NA,2020-12-01,2020-12-31,36.3230663928816,NA,NA,NA,"FALSE","TRUE",2,"inf_allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2022-12-31,1,"infection",FALSE,"IPCI"
"5","10",34052,7099799,541,2021-01-01,2021-12-31,19438.1902806297,2783.18090413546,2553.56497112079,3027.90202045299,"FALSE","FALSE",2,"inf_allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2022-12-31,1,"infection",FALSE,"IPCI"
"6","10",67708,12187177,679,2022-01-01,2022-12-31,33366.6721423682,2034.9647010132,1884.75984055204,2193.9558875196,"FALSE","FALSE",2,"inf_allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2022-12-31,1,"infection",FALSE,"IPCI"
"7","100",1150,13300,NA,2020-12-01,2020-12-31,36.4134154688569,NA,NA,NA,"FALSE","TRUE",13,"inf_gastrointestinal_issues",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2022-12-31,1,"infection",FALSE,"IPCI"
"8","100",34056,7111412,589,2021-01-01,2021-12-31,19469.9849418207,3025.16926315055,2785.76036184018,3279.6497890058,"FALSE","FALSE",13,"inf_gastrointestinal_issues",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2022-12-31,1,"infection",FALSE,"IPCI"
"9","100",67650,12161835,984,2022-01-01,2022-12-31,33297.2895277207,2955.19549475881,2773.41161938614,3145.76507930369,"FALSE","FALSE",13,"inf_gastrointestinal_issues",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2022-12-31,1,"infection",FALSE,"IPCI"
"10","101",1150,13300,NA,2020-12-01,2020-12-31,36.4134154688569,NA,NA,NA,"FALSE","TRUE",13,"inf_gastrointestinal_issues",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2022-12-31,1,"infection",FALSE,"IPCI"
"11","101",6002,102365,15,2021-01-01,2021-01-31,280.260095824778,5352.1711522493,2995.56956479178,8827.59238295336,"FALSE","FALSE",13,"inf_gastrointestinal_issues",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2022-12-31,1,"infection",FALSE,"IPCI"
"12","101",9454,220146,13,2021-02-01,2021-02-28,602.726899383984,2156.86408110981,1148.43928453805,3688.30326651746,"FALSE","FALSE",13,"inf_gastrointestinal_issues",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2022-12-31,1,"infection",FALSE,"IPCI"
"13","101",14733,367188,31,2021-03-01,2021-03-31,1005.30595482546,3083.63835419458,2095.18265340413,4376.97850013116,"FALSE","FALSE",13,"inf_gastrointestinal_issues",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2022-12-31,1,"infection",FALSE,"IPCI"
"14","101",18336,500372,31,2021-04-01,2021-04-30,1369.94387405886,2262.86642737803,1537.50795036124,3211.95826606237,"FALSE","FALSE",13,"inf_gastrointestinal_issues",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2022-12-31,1,"infection",FALSE,"IPCI"
"15","101",20551,599357,47,2021-05-01,2021-05-31,1640.95003422313,2864.19446173149,2104.50235819733,3808.77144563612,"FALSE","FALSE",13,"inf_gastrointestinal_issues",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2022-12-31,1,"infection",FALSE,"IPCI"
"16","101",24098,660144,49,2021-06-01,2021-06-30,1807.37577002053,2711.11302988439,2005.69634439756,3584.23520263206,"FALSE","FALSE",13,"inf_gastrointestinal_issues",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2022-12-31,1,"infection",FALSE,"IPCI"
"17","101",27266,782328,57,2021-07-01,2021-07-31,2141.89733059548,2661.19198085713,2015.56081826398,3447.88288159598,"FALSE","FALSE",13,"inf_gastrointestinal_issues",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2022-12-31,1,"infection",FALSE,"IPCI"
"18","101",28568,864431,78,2021-08-01,2021-08-31,2366.68309377139,3295.75177197486,2605.15501071036,4113.24736746833,"FALSE","FALSE",13,"inf_gastrointestinal_issues",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2022-12-31,1,"infection",FALSE,"IPCI"
"19","101",28836,848329,91,2021-09-01,2021-09-30,2322.59822039699,3918.02590740149,3154.55005749156,4810.46760198803,"FALSE","FALSE",13,"inf_gastrointestinal_issues",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2022-12-31,1,"infection",FALSE,"IPCI"
"20","101",29296,830570,77,2021-10-01,2021-10-31,2273.97672826831,3386.13843505063,2672.28749964923,4232.09205722213,"FALSE","FALSE",13,"inf_gastrointestinal_issues",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2022-12-31,1,"infection",FALSE,"IPCI"
"21","101",25815,707738,55,2021-11-01,2021-11-30,1937.6810403833,2838.44445260817,2138.30481425583,3694.62561092087,"FALSE","FALSE",13,"inf_gastrointestinal_issues",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2022-12-31,1,"infection",FALSE,"IPCI"
