"","analysis_id","n_persons","person_days","n_events","incidence_start_date","incidence_end_date","person_years","incidence_100000_pys","incidence_100000_pys_95CI_lower","incidence_100000_pys_95CI_upper","cohort_obscured","result_obscured","outcome_cohort_id","outcome_cohort_name","analysis_repeated_events","analysis_interval","analysis_complete_database_intervals","denominator_cohort_id","analysis_outcome_washout","analysis_min_cell_count","denominator_cohort_name","denominator_age_group","denominator_sex","denominator_days_prior_history","denominator_start_date","denominator_end_date","denominator_strata_cohort_definition_id","denominator_strata_cohort_name","denominator_closed_cohort","cdm_name"
"1","1",5,59,NA,2020-12-14,2020-12-31,0.161533196440794,NA,NA,NA,"FALSE","TRUE",1,"testneg_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 6","Both",0,2020-09-01,2022-12-31,3,"test_negative",FALSE,"IPCI"
"2","1",16,3172,NA,2021-01-01,2021-12-31,8.68446269678303,NA,NA,NA,"FALSE","TRUE",1,"testneg_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 6","Both",0,2020-09-01,2022-12-31,3,"test_negative",FALSE,"IPCI"
"3","1",7,179,NA,2022-01-01,2022-01-31,0.490075290896646,NA,NA,NA,"FALSE","TRUE",1,"testneg_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 6","Both",0,2020-09-01,2022-12-31,3,"test_negative",FALSE,"IPCI"
"4","10",48,509,NA,2020-12-02,2020-12-31,1.39356605065024,NA,NA,NA,"FALSE","TRUE",1,"testneg_abdominal_pain",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-12-31,3,"test_negative",FALSE,"IPCI"
"5","10",266,56788,22,2021-01-01,2021-12-31,155.477070499658,14149.9964781292,8867.72745840999,21423.2647168372,"FALSE","FALSE",1,"testneg_abdominal_pain",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-12-31,3,"test_negative",FALSE,"IPCI"
"6","10",88,3024,NA,2022-01-01,2022-12-31,8.27926078028747,NA,NA,NA,"FALSE","TRUE",1,"testneg_abdominal_pain",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-12-31,3,"test_negative",FALSE,"IPCI"
"7","100",48,509,NA,2020-12-02,2020-12-31,1.39356605065024,NA,NA,NA,"FALSE","TRUE",6,"testneg_chest_pain_angina",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-12-31,3,"test_negative",FALSE,"IPCI"
"8","100",266,60110,NA,2021-01-01,2021-12-31,164.572210814511,NA,NA,NA,"FALSE","TRUE",6,"testneg_chest_pain_angina",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-12-31,3,"test_negative",FALSE,"IPCI"
"9","100",92,3133,NA,2022-01-01,2022-12-31,8.57768651608487,NA,NA,NA,"FALSE","TRUE",6,"testneg_chest_pain_angina",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-12-31,3,"test_negative",FALSE,"IPCI"
"10","101",48,509,NA,2020-12-02,2020-12-31,1.39356605065024,NA,NA,NA,"FALSE","TRUE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-12-31,3,"test_negative",FALSE,"IPCI"
"11","101",112,2568,NA,2021-01-01,2021-01-31,7.03080082135524,NA,NA,NA,"FALSE","TRUE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-12-31,3,"test_negative",FALSE,"IPCI"
"12","101",128,3407,NA,2021-02-01,2021-02-28,9.32785763175907,NA,NA,NA,"FALSE","TRUE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-12-31,3,"test_negative",FALSE,"IPCI"
"13","101",160,4462,NA,2021-03-01,2021-03-31,12.2162902121834,NA,NA,NA,"FALSE","TRUE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-12-31,3,"test_negative",FALSE,"IPCI"
"14","101",181,5105,NA,2021-04-01,2021-04-30,13.9767282683094,NA,NA,NA,"FALSE","TRUE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-12-31,3,"test_negative",FALSE,"IPCI"
"15","101",187,5660,NA,2021-05-01,2021-05-31,15.4962354551677,NA,NA,NA,"FALSE","TRUE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-12-31,3,"test_negative",FALSE,"IPCI"
"16","101",211,5986,NA,2021-06-01,2021-06-30,16.3887748117728,NA,NA,NA,"FALSE","TRUE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-12-31,3,"test_negative",FALSE,"IPCI"
"17","101",222,6760,NA,2021-07-01,2021-07-31,18.507871321013,NA,NA,NA,"FALSE","TRUE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-12-31,3,"test_negative",FALSE,"IPCI"
"18","101",231,6958,NA,2021-08-01,2021-08-31,19.0499657768652,NA,NA,NA,"FALSE","TRUE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-12-31,3,"test_negative",FALSE,"IPCI"
"19","101",241,6709,NA,2021-09-01,2021-09-30,18.3682409308693,NA,NA,NA,"FALSE","TRUE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-12-31,3,"test_negative",FALSE,"IPCI"
"20","101",208,5300,NA,2021-10-01,2021-10-31,14.5106091718001,NA,NA,NA,"FALSE","TRUE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-12-31,3,"test_negative",FALSE,"IPCI"
"21","101",149,3918,NA,2021-11-01,2021-11-30,10.7268993839836,NA,NA,NA,"FALSE","TRUE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-12-31,3,"test_negative",FALSE,"IPCI"
"22","101",124,3277,NA,2021-12-01,2021-12-31,8.9719370294319,NA,NA,NA,"FALSE","TRUE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-12-31,3,"test_negative",FALSE,"IPCI"
"23","101",90,2470,NA,2022-01-01,2022-01-31,6.76249144421629,NA,NA,NA,"FALSE","TRUE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-12-31,3,"test_negative",FALSE,"IPCI"
"24","101",5,124,NA,2022-02-01,2022-02-28,0.339493497604381,NA,NA,NA,"FALSE","TRUE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-12-31,3,"test_negative",FALSE,"IPCI"
"25","101",5,126,NA,2022-03-01,2022-03-31,0.344969199178645,NA,NA,NA,"FALSE","TRUE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-12-31,3,"test_negative",FALSE,"IPCI"
"26","101",NA,NA,NA,2022-04-01,2022-04-30,NA,NA,NA,NA,"TRUE","TRUE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-12-31,3,"test_negative",FALSE,"IPCI"
"27","101",NA,NA,NA,2022-05-01,2022-05-31,NA,NA,NA,NA,"TRUE","TRUE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-12-31,3,"test_negative",FALSE,"IPCI"
"28","101",NA,NA,NA,2022-06-01,2022-06-30,NA,NA,NA,NA,"TRUE","TRUE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-12-31,3,"test_negative",FALSE,"IPCI"
"29","101",NA,NA,NA,2022-07-01,2022-07-31,NA,NA,NA,NA,"TRUE","TRUE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-12-31,3,"test_negative",FALSE,"IPCI"
"30","101",NA,NA,NA,2022-08-01,2022-08-31,NA,NA,NA,NA,"TRUE","TRUE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-12-31,3,"test_negative",FALSE,"IPCI"
"31","101",NA,NA,NA,2022-09-01,2022-09-30,NA,NA,NA,NA,"TRUE","TRUE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-12-31,3,"test_negative",FALSE,"IPCI"
"32","101",NA,NA,NA,2022-10-01,2022-10-31,NA,NA,NA,NA,"TRUE","TRUE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-12-31,3,"test_negative",FALSE,"IPCI"
"33","101",NA,NA,NA,2022-11-01,2022-11-30,NA,NA,NA,NA,"TRUE","TRUE",6,"testneg_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-12-31,3,"test_negative",FALSE,"IPCI"
