"","table_name","cohort_definition_id","cohort_name"
"1","lcpascw1_basecohorts",1,"infection"
"2","lcpascw1_basecohorts",2,"reinfection"
"3","lcpascw1_basecohorts",3,"test_negative"
"4","lcpascw1_lccohorts",1,"abdominal_pain"
"5","lcpascw1_lccohorts",2,"allergy"
"6","lcpascw1_lccohorts",3,"altered_smell_taste"
"7","lcpascw1_lccohorts",4,"anxiety"
"8","lcpascw1_lccohorts",5,"blurred_vision"
"9","lcpascw1_lccohorts",6,"chest_pain_angina"
"10","lcpascw1_lccohorts",7,"cognitive_dysfunction_brain_fog"
"11","lcpascw1_lccohorts",8,"cough"
"12","lcpascw1_lccohorts",9,"depression_wo_recurrence"
"13","lcpascw1_lccohorts",10,"dizziness"
"14","lcpascw1_lccohorts",11,"dyspnea"
"15","lcpascw1_lccohorts",12,"fatigue_malaise"
"16","lcpascw1_lccohorts",13,"gastrointestinal_issues"
"17","lcpascw1_lccohorts",14,"headache"
"18","lcpascw1_lccohorts",15,"intermittent_fever"
"19","lcpascw1_lccohorts",16,"joint_pain"
"20","lcpascw1_lccohorts",17,"memory_issues"
"21","lcpascw1_lccohorts",18,"menstrual_problems"
"22","lcpascw1_lccohorts",19,"muscle_spasms_and_pain"
"23","lcpascw1_lccohorts",20,"neuralgia"
"24","lcpascw1_lccohorts",21,"pins_and_needles_sensation"
"25","lcpascw1_lccohorts",22,"postexertional_fatigue"
"26","lcpascw1_lccohorts",23,"sleep_disorder"
"27","lcpascw1_lccohorts",24,"tachycardia"
"28","lcpascw1_lccohorts",25,"tinnitus_hearing_problems"
"29","lcpascw1_lccohorts",26,"any_lc_symptom"
"30","lcpascw1_lccohorts",27,"lc_code"
"31","lcpascw1_pasccohorts",1,"venous_thrombosembolism"
"32","lcpascw1_pasccohorts",2,"deep_vein_thrombosis"
"33","lcpascw1_pasccohorts",3,"pulmonary_embolism"
"34","lcpascw1_pasccohorts",4,"haemorrhagic_stroke"
"35","lcpascw1_pasccohorts",5,"ischemic_stroke"
"36","lcpascw1_pasccohorts",6,"transient_ischemic_attack"
"37","lcpascw1_pasccohorts",7,"myocardial_infarction"
"38","lcpascw1_pasccohorts",8,"myocarditis_pericarditis"
"39","lcpascw1_pasccohorts",9,"ventricular_arrhythmia_cardiac_arrest"
"40","lcpascw1_pasccohorts",10,"heart_failure"
"41","lcpascw1_pasccohorts",11,"any_pasc_event"
