"","cohort_name","n"
"1","test_negative",1459
"2","infection",181815
"3","reinfection",11812
"4","abdominal_pain",1776240
"5","allergy",925118
"6","altered_smell_taste",12557
"7","anxiety",2054264
"8","blurred_vision",26867
"9","chest_pain_angina",302278
"10","cough",1094000
"11","depression_wo_recurrence",1072991
"12","dizziness",434081
"13","dyspnea",385445
"14","fatigue_malaise",978008
"15","gastrointestinal_issues",1566627
"16","headache",664413
"17","intermittent_fever",311248
"18","memory_issues",217094
"19","menstrual_problems",159612
"20","muscle_spasms_and_pain",139582
"21","neuralgia",19057
"22","pins_and_needles_sensation",62008
"23","sleep_disorder",637353
"24","tachycardia",700356
"25","tinnitus_hearing_problems",344536
"26","any_lc_symptom",13883735
"27","cognitive_dysfunction_brain_fog",NA
"28","joint_pain",NA
"29","postexertional_fatigue",NA
"30","lc_code",NA
"31","venous_thrombosembolism",60841
"32","deep_vein_thrombosis",40073
"33","pulmonary_embolism",21992
"34","haemorrhagic_stroke",4621
"35","ischemic_stroke",32633
"36","transient_ischemic_attack",81517
"37","myocardial_infarction",114328
"38","myocarditis_pericarditis",2441
"39","ventricular_arrhythmia_cardiac_arrest",5291
"40","heart_failure",90392
"41","any_pasc_event",454129
"42","dysautonomia",644786
"43","ibd",13979
"44","juvenile_arthritis",454
"45","me_cfs",3767
"46","me_cfs_symptoms",407422
"47","pots",15270
"48","ra",20232
"49","t1dm",5593
"50","mis",NA
"51","sle",NA
"52","inf_t1dm",17
"53","inf_intermittent_fever",1398
"54","inf_fatigue_malaise",6956
"55","inf_dizziness",2506
"56","inf_ibd",57
"57","inf_ventricular_arrhythmia_cardiac_arrest",17
"58","inf_abdominal_pain",9472
"59","inf_myocarditis_pericarditis",16
"60","inf_anxiety",10342
"61","inf_pots",86
"62","inf_cough",5368
"63","inf_transient_ischemic_attack",252
"64","inf_muscle_spasms_and_pain",620
"65","inf_depression_wo_recurrence",3404
"66","inf_gastrointestinal_issues",5870
"67","inf_deep_vein_thrombosis",208
"68","inf_me_cfs_symptoms",3044
"69","inf_headache",3623
"70","inf_altered_smell_taste",231
"71","inf_memory_issues",837
"72","inf_me_cfs",15
"73","inf_heart_failure",265
"74","inf_myocardial_infarction",281
"75","inf_dysautonomia",4461
"76","inf_any_lc",36637
"77","inf_menstrual_problems",1301
"78","inf_neuralgia",43
"79","inf_tinnitus_hearing_problems",1858
"80","inf_chest_pain_angina",457
"81","inf_blurred_vision",130
"82","inf_venous_thrombosembolism",300
"83","inf_allergy",3910
"84","inf_dyspnea",1939
"85","inf_juvenile_arthritis",NA
"86","inf_pins_and_needles_sensation",537
"87","inf_haemorrhagic_stroke",7
"88","inf_sleep_disorder",2089
"89","inf_tachycardia",2937
"90","inf_ra",65
"91","inf_any_pasc",1130
"92","inf_ischemic_stroke",71
"93","inf_pulmonary_embolism",97
"94","inf_cognitive_dysfunction_brain_fog",NA
"95","inf_joint_pain",NA
"96","inf_postexertional_fatigue",NA
"97","inf_lc_code",NA
"98","inf_mis",NA
"99","inf_sle",NA
"100","reinf_fatigue_malaise",451
"101","reinf_dizziness",150
"102","reinf_ibd",NA
"103","reinf_ventricular_arrhythmia_cardiac_arrest",NA
"104","reinf_abdominal_pain",625
"105","reinf_anxiety",688
"106","reinf_pots",NA
"107","reinf_cough",396
"108","reinf_transient_ischemic_attack",12
"109","reinf_muscle_spasms_and_pain",36
"110","reinf_depression_wo_recurrence",233
"111","reinf_gastrointestinal_issues",408
"112","reinf_deep_vein_thrombosis",11
"113","reinf_me_cfs_symptoms",180
"114","reinf_headache",193
"115","reinf_altered_smell_taste",8
"116","reinf_memory_issues",23
"117","reinf_me_cfs",NA
"118","reinf_heart_failure",9
"119","reinf_myocardial_infarction",13
"120","reinf_dysautonomia",240
"121","reinf_any_lc",2320
"122","reinf_menstrual_problems",109
"123","reinf_neuralgia",NA
"124","reinf_tinnitus_hearing_problems",84
"125","reinf_chest_pain_angina",29
"126","reinf_blurred_vision",7
"127","reinf_venous_thrombosembolism",19
"128","reinf_allergy",187
"129","reinf_dyspnea",125
"130","reinf_juvenile_arthritis",NA
"131","reinf_pins_and_needles_sensation",44
"132","reinf_haemorrhagic_stroke",NA
"133","reinf_sleep_disorder",103
"134","reinf_tachycardia",148
"135","reinf_ra",NA
"136","reinf_any_pasc",55
"137","reinf_ischemic_stroke",NA
"138","reinf_pulmonary_embolism",8
"139","reinf_t1dm",NA
"140","reinf_intermittent_fever",70
"141","reinf_cognitive_dysfunction_brain_fog",NA
"142","reinf_joint_pain",NA
"143","reinf_postexertional_fatigue",NA
"144","reinf_lc_code",NA
"145","reinf_myocarditis_pericarditis",NA
"146","reinf_mis",NA
"147","reinf_sle",NA
"148","testneg_deep_vein_thrombosis",10
"149","testneg_headache",63
"150","testneg_altered_smell_taste",NA
"151","testneg_heart_failure",41
"152","testneg_menstrual_problems",20
"153","testneg_pins_and_needles_sensation",8
"154","testneg_haemorrhagic_stroke",NA
"155","testneg_sleep_disorder",107
"156","testneg_tachycardia",97
"157","testneg_abdominal_pain",268
"158","testneg_anxiety",334
"159","testneg_depression_wo_recurrence",112
"160","testneg_gastrointestinal_issues",246
"161","testneg_any_lc",634
"162","testneg_chest_pain_angina",41
"163","testneg_ra",NA
"164","testneg_dizziness",84
"165","testneg_cough",111
"166","testneg_muscle_spasms_and_pain",11
"167","testneg_memory_issues",50
"168","testneg_myocardial_infarction",18
"169","testneg_dysautonomia",34
"170","testneg_tinnitus_hearing_problems",51
"171","testneg_venous_thrombosembolism",17
"172","testneg_allergy",97
"173","testneg_dyspnea",132
"174","testneg_pulmonary_embolism",8
"175","testneg_intermittent_fever",22
"176","testneg_fatigue_malaise",162
"177","testneg_ibd",NA
"178","testneg_me_cfs_symptoms",30
"179","testneg_blurred_vision",8
"180","testneg_any_pasc",84
"181","testneg_ischemic_stroke",NA
"182","testneg_ventricular_arrhythmia_cardiac_arrest",NA
"183","testneg_myocarditis_pericarditis",NA
"184","testneg_transient_ischemic_attack",14
"185","testneg_cognitive_dysfunction_brain_fog",NA
"186","testneg_joint_pain",NA
"187","testneg_neuralgia",NA
"188","testneg_postexertional_fatigue",NA
"189","testneg_lc_code",NA
"190","testneg_juvenile_arthritis",NA
"191","testneg_me_cfs",NA
"192","testneg_mis",NA
"193","testneg_pots",NA
"194","testneg_sle",NA
"195","testneg_t1dm",NA
