"","group_name","group_level","strata_name","strata_level","variable","variable_level","variable_type","estimate_type","estimate"
"1","Overall","Overall","Overall","Overall","number subjects",NA,NA,"count","1533819"
"2","Overall","Overall","Overall","Overall","number records",NA,NA,"count","1533819"
"3","Overall","Overall","Overall","Overall","age",NA,"numeric","median","42"
"4","Overall","Overall","Overall","Overall","age",NA,"numeric","q25","22"
"5","Overall","Overall","Overall","Overall","age",NA,"numeric","q75","60"
"6","Overall","Overall","Overall","Overall","future_observation",NA,"numeric","median","851"
"7","Overall","Overall","Overall","Overall","future_observation",NA,"numeric","q25","517"
"8","Overall","Overall","Overall","Overall","future_observation",NA,"numeric","q75","851"
"9","Overall","Overall","Overall","Overall","prior_history",NA,"numeric","median","1980"
"10","Overall","Overall","Overall","Overall","prior_history",NA,"numeric","q25","489"
"11","Overall","Overall","Overall","Overall","prior_history",NA,"numeric","q75","3014"
"12","Overall","Overall","Overall","Overall","cohort_end_date",NA,"date","median","2022-12-31"
"13","Overall","Overall","Overall","Overall","cohort_end_date",NA,"date","q25","2022-07-31"
"14","Overall","Overall","Overall","Overall","cohort_end_date",NA,"date","q75","2022-12-31"
"15","Overall","Overall","Overall","Overall","cohort_start_date",NA,"date","median","2020-09-01"
"16","Overall","Overall","Overall","Overall","cohort_start_date",NA,"date","q25","2020-09-01"
"17","Overall","Overall","Overall","Overall","cohort_start_date",NA,"date","q75","2020-09-01"
"18","Overall","Overall","Overall","Overall","sex","Female","categorical","count","781452"
"19","Overall","Overall","Overall","Overall","sex","Female","categorical","%","50.9481236051972"
"20","Overall","Overall","Overall","Overall","sex","Male","categorical","count","752367"
"21","Overall","Overall","Overall","Overall","sex","Male","categorical","%","49.0518763948028"
