"","group_name","group_level","strata_name","strata_level","variable","variable_level","variable_type","estimate_type","estimate"
"1","Overall","Overall","Overall","Overall","number subjects",NA,NA,"count","183800"
"2","Overall","Overall","Overall","Overall","number records",NA,NA,"count","195086"
"3","Overall","Overall","Overall","Overall","age",NA,"numeric","mean","39.2101944783326"
"4","Overall","Overall","Overall","Overall","age",NA,"numeric","median","39"
"5","Overall","Overall","Overall","Overall","age",NA,"numeric","q25","21"
"6","Overall","Overall","Overall","Overall","age",NA,"numeric","q75","55"
"7","Overall","Overall","Overall","Overall","age",NA,"numeric","sd","20.5732330259446"
"8","Overall","Overall","Overall","Overall","age",NA,"numeric","iqr","34"
"9","Overall","Overall","Overall","Overall","age",NA,"numeric","min","1"
"10","Overall","Overall","Overall","Overall","age",NA,"numeric","max","103"
"11","Overall","Overall","Overall","Overall","future_observation",NA,"numeric","mean","428.331412812811"
"12","Overall","Overall","Overall","Overall","future_observation",NA,"numeric","median","347"
"13","Overall","Overall","Overall","Overall","future_observation",NA,"numeric","q25","299"
"14","Overall","Overall","Overall","Overall","future_observation",NA,"numeric","q75","610"
"15","Overall","Overall","Overall","Overall","future_observation",NA,"numeric","sd","191.166443534526"
"16","Overall","Overall","Overall","Overall","future_observation",NA,"numeric","iqr","311"
"17","Overall","Overall","Overall","Overall","future_observation",NA,"numeric","min","120"
"18","Overall","Overall","Overall","Overall","future_observation",NA,"numeric","max","850"
"19","Overall","Overall","Overall","Overall","prior_history",NA,"numeric","mean","2398.98447351425"
"20","Overall","Overall","Overall","Overall","prior_history",NA,"numeric","median","2442"
"21","Overall","Overall","Overall","Overall","prior_history",NA,"numeric","q25","1174"
"22","Overall","Overall","Overall","Overall","prior_history",NA,"numeric","q75","3525"
"23","Overall","Overall","Overall","Overall","prior_history",NA,"numeric","sd","1284.53297479426"
"24","Overall","Overall","Overall","Overall","prior_history",NA,"numeric","iqr","2351"
"25","Overall","Overall","Overall","Overall","prior_history",NA,"numeric","min","365"
"26","Overall","Overall","Overall","Overall","prior_history",NA,"numeric","max","5961"
"27","Overall","Overall","Overall","Overall","cohort_end_date",NA,"date","mean","2022-08-05"
"28","Overall","Overall","Overall","Overall","cohort_end_date",NA,"date","median","2022-11-30"
"29","Overall","Overall","Overall","Overall","cohort_end_date",NA,"date","q25","2022-02-01"
"30","Overall","Overall","Overall","Overall","cohort_end_date",NA,"date","q75","2022-12-31"
"31","Overall","Overall","Overall","Overall","cohort_end_date",NA,"date","min","2021-01-11"
"32","Overall","Overall","Overall","Overall","cohort_end_date",NA,"date","max","2022-12-31"
"33","Overall","Overall","Overall","Overall","cohort_start_date",NA,"date","mean","2021-09-23"
"34","Overall","Overall","Overall","Overall","cohort_start_date",NA,"date","median","2022-01-02"
"35","Overall","Overall","Overall","Overall","cohort_start_date",NA,"date","q25","2021-03-15"
"36","Overall","Overall","Overall","Overall","cohort_start_date",NA,"date","q75","2022-02-15"
"37","Overall","Overall","Overall","Overall","cohort_start_date",NA,"date","min","2020-09-02"
"38","Overall","Overall","Overall","Overall","cohort_start_date",NA,"date","max","2022-09-02"
"39","Overall","Overall","Overall","Overall","sex","Female","categorical","count","105549"
"40","Overall","Overall","Overall","Overall","sex","Female","categorical","%","54.1038311308859"
"41","Overall","Overall","Overall","Overall","sex","Male","categorical","count","89537"
"42","Overall","Overall","Overall","Overall","sex","Male","categorical","%","45.8961688691141"
"43","Overall","Overall","base_id","1","number subjects",NA,NA,"count","181815"
"44","Overall","Overall","base_id","1","number records",NA,NA,"count","181815"
"45","Overall","Overall","base_id","1","age",NA,"numeric","mean","39.2206473613288"
"46","Overall","Overall","base_id","1","age",NA,"numeric","median","39"
"47","Overall","Overall","base_id","1","age",NA,"numeric","q25","21"
"48","Overall","Overall","base_id","1","age",NA,"numeric","q75","55"
"49","Overall","Overall","base_id","1","age",NA,"numeric","sd","20.6883131076174"
"50","Overall","Overall","base_id","1","age",NA,"numeric","iqr","34"
"51","Overall","Overall","base_id","1","age",NA,"numeric","min","1"
"52","Overall","Overall","base_id","1","age",NA,"numeric","max","102"
"53","Overall","Overall","base_id","1","future_observation",NA,"numeric","mean","436.205797101449"
"54","Overall","Overall","base_id","1","future_observation",NA,"numeric","median","352"
"55","Overall","Overall","base_id","1","future_observation",NA,"numeric","q25","302"
"56","Overall","Overall","base_id","1","future_observation",NA,"numeric","q75","621"
"57","Overall","Overall","base_id","1","future_observation",NA,"numeric","sd","193.229648180148"
"58","Overall","Overall","base_id","1","future_observation",NA,"numeric","iqr","319"
"59","Overall","Overall","base_id","1","future_observation",NA,"numeric","min","120"
"60","Overall","Overall","base_id","1","future_observation",NA,"numeric","max","850"
