"","analysis_id","n_persons","person_days","n_events","incidence_start_date","incidence_end_date","person_years","incidence_100000_pys","incidence_100000_pys_95CI_lower","incidence_100000_pys_95CI_upper","cohort_obscured","result_obscured","outcome_cohort_id","outcome_cohort_name","analysis_repeated_events","analysis_interval","analysis_complete_database_intervals","denominator_cohort_id","analysis_outcome_washout","analysis_min_cell_count","denominator_cohort_name","denominator_age_group","denominator_sex","denominator_days_prior_history","denominator_start_date","denominator_end_date","denominator_strata_cohort_definition_id","denominator_strata_cohort_name","cdm_name"
"1","1",414762,47012739,2670,2020-09-01,2020-12-31,128713.864476386,2074.36860889981,1996.42448995105,2154.57605756178,"FALSE","FALSE",1,"abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;6","Both",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"2","1",497705,136000342,10158,2021-01-01,2021-12-31,372348.643394935,2728.08836024839,2675.29110883586,2781.66553007223,"FALSE","FALSE",1,"abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;6","Both",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"3","1",377231,40686177,3369,2022-01-01,2022-06-30,111392.681724846,3024.43567012944,2923.16127401355,3128.32347701462,"FALSE","FALSE",1,"abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;6","Both",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"4","10",1929806,215465610,36402,2020-09-01,2020-12-31,589912.689938398,6170.74367459383,6107.51406070311,6234.46479146891,"FALSE","FALSE",1,"abdominal_pain",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"5","10",2543871,661446131,119129,2021-01-01,2021-12-31,1810940.81040383,6578.29341056347,6540.99040924206,6615.75639193524,"FALSE","FALSE",1,"abdominal_pain",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"6","10",2000817,200890165,34710,2022-01-01,2022-06-30,550007.296372348,6310.82537066959,6244.60709144208,6377.57083599303,"FALSE","FALSE",1,"abdominal_pain",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"7","100",2020376,226616954,27398,2020-09-01,2020-12-31,620443.405886379,4415.87415388171,4363.73857887557,4468.47717222766,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"8","100",2635962,695662945,87648,2021-01-01,2021-12-31,1904621.34154689,4601.85959739454,4571.44370694396,4632.42762383156,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"9","100",2093831,211244979,25896,2022-01-01,2022-06-30,578357.232032854,4477.50949858079,4423.13933471574,4532.38115014312,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"10","101",1864639,55843825,6734,2020-09-01,2020-09-30,152892.060232717,4404.41445406005,4299.83919110387,4510.89055312643,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
