"","analysis_id","n_persons","person_days","n_events","incidence_start_date","incidence_end_date","person_years","incidence_100000_pys","incidence_100000_pys_95CI_lower","incidence_100000_pys_95CI_upper","cohort_obscured","result_obscured","outcome_cohort_id","outcome_cohort_name","analysis_repeated_events","analysis_interval","analysis_complete_database_intervals","denominator_cohort_id","analysis_outcome_washout","analysis_min_cell_count","denominator_cohort_name","denominator_age_group","denominator_sex","denominator_days_prior_history","denominator_start_date","denominator_end_date","denominator_strata_cohort_definition_id","denominator_strata_cohort_name","cdm_name"
"1","1",3460000,396973838,49967,2020-09-01,2020-12-31,1086855.13483915,4597.3928261741,4557.16955397163,4637.88280247607,"FALSE","FALSE",1,"abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"2","1",4236911,1214509424,166486,2021-01-01,2021-12-31,3325145.58247775,5006.87852217111,4982.85639885885,5030.98776067114,"FALSE","FALSE",1,"abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"3","1",3556526,358005423,47348,2022-01-01,2022-06-30,980165.429158111,4830.61313850545,4787.19880433294,4874.32321935292,"FALSE","FALSE",1,"abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"4","10",3397999,389598089,44896,2020-09-01,2020-12-31,1066661.43463381,4209.02064537591,4170.17584924045,4248.13721733103,"FALSE","FALSE",2,"allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"5","10",4182888,1195286826,165009,2021-01-01,2021-12-31,3272516.97741273,5042.2656670358,5017.96586121718,5066.65398935582,"FALSE","FALSE",2,"allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"6","10",3508751,354576966,40755,2022-01-01,2022-06-30,970778.825462012,4198.17562260939,4157.51477158574,4239.13511599677,"FALSE","FALSE",2,"allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"7","100",3503336,402085202,53883,2020-09-01,2020-12-31,1100849.28678987,4894.67546980254,4853.43341163181,4936.18082696633,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"8","100",4275987,1227475768,172873,2021-01-01,2021-12-31,3360645.49760438,5144.04152783243,5119.82099519549,5168.34825409095,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"9","100",3588737,362991561,46180,2022-01-01,2022-06-30,993816.73100616,4646.73199386032,4604.4466177505,4689.30905988647,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"10","101",3314115,99240155,12653,2020-09-01,2020-09-30,271704.736481862,4656.89342182104,4576.10021872321,4738.75506675465,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"11","101",3307864,102338229,13551,2020-10-01,2020-10-31,280186.800821355,4836.41626239203,4755.324520628,4918.54399663535,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"12","101",3298062,98730769,13857,2020-11-01,2020-11-30,270310.113620808,5126.33427376627,5041.33189008215,5212.41046889636,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"13","101",3290265,101776049,13822,2020-12-01,2020-12-31,278647.635865845,4960.38660333533,4878.03224254785,5043.78264941793,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"14","101",3362873,104005481,15811,2021-01-01,2021-01-31,284751.488021903,5552.56097512784,5466.34513731815,5639.7959790926,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"15","101",3352908,93695597,12838,2021-02-01,2021-02-28,256524.563997262,5004.58895629855,4918.38869096149,5091.92086539983,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"16","101",3353776,103732533,15233,2021-03-01,2021-03-31,284004.197125257,5363.65312702814,5278.81134851279,5449.51680485814,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"17","101",3348624,100255196,14495,2021-04-01,2021-04-30,274483.767282683,5280.82230271636,5195.19915361163,5367.50286812402,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
