"","analysis_id","n_persons","person_days","n_events","incidence_start_date","incidence_end_date","person_years","incidence_100000_pys","incidence_100000_pys_95CI_lower","incidence_100000_pys_95CI_upper","cohort_obscured","result_obscured","outcome_cohort_id","outcome_cohort_name","analysis_repeated_events","analysis_interval","analysis_complete_database_intervals","denominator_cohort_id","analysis_outcome_washout","analysis_min_cell_count","denominator_cohort_name","denominator_age_group","denominator_sex","denominator_days_prior_history","denominator_start_date","denominator_end_date","denominator_strata_cohort_definition_id","denominator_strata_cohort_name","cdm_name"
"1","1",3309163,377764323,70783,2020-09-01,2020-12-31,1034262.34907598,6843.8148273732,6793.48890335641,6894.42094987063,"FALSE","FALSE",1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"2","1",4080081,1150541586,230723,2021-01-01,2021-12-31,3150011.18685832,7324.51367038201,7294.65681079016,7354.46247712314,"FALSE","FALSE",1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"3","1",3378172,340859615,63597,2022-01-01,2022-06-30,933222.765229295,6814.7716032596,6761.90913178595,6867.94463184887,"FALSE","FALSE",1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"4","10",3871661,448932478,1986,2020-09-01,2020-12-31,1229110.13826146,161.58031230701,154.551328267794,168.846559515945,"FALSE","FALSE",2,"ibd",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"5","10",4658197,1381844921,7518,2021-01-01,2021-12-31,3783285.20465435,198.716184303289,194.249370747281,203.259798567306,"FALSE","FALSE",2,"ibd",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"6","10",4023880,407295289,2376,2022-01-01,2022-06-30,1115113.72758385,213.072437476683,204.59022782079,221.815997315079,"FALSE","FALSE",2,"ibd",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"7","11",3680999,110422437,526,2020-09-01,2020-09-30,302320.156057495,173.987737655165,159.434739165579,189.512144442452,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"8","11",3680976,114101954,558,2020-10-01,2020-10-31,312394.124572211,178.620516875636,164.105516738371,194.075206818149,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"9","11",3679053,110364784,433,2020-11-01,2020-11-30,302162.310746064,143.300466206684,130.119155536113,157.455117566455,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"10","11",3679068,114043303,469,2020-12-01,2020-12-31,312233.546885695,150.208074909931,136.919677459955,164.437835420842,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"11","11",3737380,115847013,774,2021-01-01,2021-01-31,317171.835728953,244.031755915882,227.140397862974,261.846697640465,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"12","11",3735871,104594749,656,2021-02-01,2021-02-28,286364.815879535,229.078421518082,211.881542627875,247.299291676455,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"13","11",3743352,116032467,723,2021-03-01,2021-03-31,317679.58110883,227.587809539549,211.298644394851,244.799462453205,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"14","11",3746259,112378417,639,2021-04-01,2021-04-30,307675.33744011,207.686454597416,191.893507468536,224.432630689238,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"15","11",3751916,116300491,559,2021-05-01,2021-05-31,318413.3908282,175.557943259242,161.304308650264,190.733492326041,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"16","11",3763468,112894524,634,2021-06-01,2021-06-30,309088.361396304,205.119337763451,189.461433618362,221.726161882949,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"17","11",3783173,117269708,583,2021-07-01,2021-07-31,321066.962354552,181.582058684754,167.139605726635,196.938541448268,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"18","11",3812261,118170769,614,2021-08-01,2021-08-31,323533.932922656,189.779166115099,175.062931108385,205.402144499879,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"19","11",3831968,114950954,611,2021-09-01,2021-09-30,314718.559890486,194.141711951342,179.051020886903,210.16457502404,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"20","11",3837336,118948467,582,2021-10-01,2021-10-31,325663.154004107,178.712265371188,164.486113472352,193.839557641024,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"21","11",3841577,115238101,579,2021-11-01,2021-11-30,315504.725530459,183.515476361416,168.869960373232,199.091179987975,"FALSE","FALSE",2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
