"","analysis_id","n_persons","person_days","n_events","incidence_start_date","incidence_end_date","person_years","incidence_100000_pys","incidence_100000_pys_95CI_lower","incidence_100000_pys_95CI_upper","cohort_obscured","result_obscured","outcome_cohort_id","outcome_cohort_name","analysis_repeated_events","analysis_interval","analysis_complete_database_intervals","denominator_cohort_id","analysis_outcome_washout","analysis_min_cell_count","denominator_cohort_name","denominator_age_group","denominator_sex","denominator_days_prior_history","denominator_start_date","denominator_end_date","denominator_strata_cohort_definition_id","denominator_strata_cohort_name","cdm_name"
"1","1",432152,49243058,13,2020-09-01,2020-12-31,134820.145106092,9.64247589985171,5.13421231341713,16.488927452693,"FALSE","FALSE",1,"venous_thrombosembolism",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;6","Both",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"2","1",510515,141770822,53,2021-01-01,2021-12-31,388147.356605065,13.6546079982523,10.2282383885335,17.8605634559923,"FALSE","FALSE",1,"venous_thrombosembolism",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;6","Both",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"3","1",390270,42303887,21,2022-01-01,2022-06-30,115821.730321697,18.1313126143704,11.2235682785694,27.7156373383327,"FALSE","FALSE",1,"venous_thrombosembolism",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;6","Both",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"4","10",2191456,248294818,885,2020-09-01,2020-12-31,679794.162902122,130.186466477122,121.749498676917,139.054018689834,"FALSE","FALSE",1,"venous_thrombosembolism",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"5","10",2807265,764044664,3128,2021-01-01,2021-12-31,2091840.28473648,149.53340476441,144.338567880357,154.867438866105,"FALSE","FALSE",1,"venous_thrombosembolism",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"6","10",2278135,232622123,889,2022-01-01,2022-06-30,636884.662559891,139.585713436207,130.559644972272,149.071364994917,"FALSE","FALSE",1,"venous_thrombosembolism",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"7","100",2195172,248771902,218,2020-09-01,2020-12-31,681100.34770705,32.007031083438,27.8989660263571,36.5496877377211,"FALSE","FALSE",6,"transient_ischemic_attack",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"8","100",2810939,765596924,617,2021-01-01,2021-12-31,2096090.14099932,29.4357569806537,27.1586348623099,31.8528314485779,"FALSE","FALSE",6,"transient_ischemic_attack",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"9","100",2282279,233111842,164,2022-01-01,2022-06-30,638225.440109514,25.6962492707685,21.9139435278891,29.9438959365006,"FALSE","FALSE",6,"transient_ischemic_attack",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"10","101",2037796,61133199,44,2020-09-01,2020-09-30,167373.577002053,26.2884983329598,19.101263132921,35.2910819845734,"FALSE","FALSE",6,"transient_ischemic_attack",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"11","101",2039124,63211923,69,2020-10-01,2020-10-31,173064.813141684,39.8694562733046,31.0208167577619,50.4573486139874,"FALSE","FALSE",6,"transient_ischemic_attack",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"12","101",2038885,61165732,51,2020-11-01,2020-11-30,167462.647501711,30.4545525589394,22.6754147296655,40.0421123020395,"FALSE","FALSE",6,"transient_ischemic_attack",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"13","101",2040706,63261048,54,2020-12-01,2020-12-31,173199.310061602,31.1779532959998,23.4218380882213,40.680465972209,"FALSE","FALSE",6,"transient_ischemic_attack",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"14","101",2050652,63569405,52,2021-01-01,2021-01-31,174043.545516769,29.8775802605042,22.3140060064562,39.1804714954526,"FALSE","FALSE",6,"transient_ischemic_attack",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
