"","analysis_id","n_persons","person_days","n_events","incidence_start_date","incidence_end_date","person_years","incidence_100000_pys","incidence_100000_pys_95CI_lower","incidence_100000_pys_95CI_upper","cohort_obscured","result_obscured","outcome_cohort_id","outcome_cohort_name","analysis_repeated_events","analysis_interval","analysis_complete_database_intervals","denominator_cohort_id","analysis_outcome_washout","analysis_min_cell_count","denominator_cohort_name","denominator_age_group","denominator_sex","denominator_days_prior_history","denominator_start_date","denominator_end_date","denominator_strata_cohort_definition_id","denominator_strata_cohort_name","cdm_name"
"1","1",3848904,445980890,6480,2020-09-01,2020-12-31,1221029.13073238,530.699869225338,517.856213428862,543.781558530494,"FALSE","FALSE",1,"venous_thrombosembolism",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"2","1",4634048,1371599938,22859,2021-01-01,2021-12-31,3755235.96988364,608.723398032116,600.857515446855,616.666526937125,"FALSE","FALSE",1,"venous_thrombosembolism",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"3","1",3994198,404356191,6741,2022-01-01,2022-06-30,1107066.91581109,608.906282332648,594.456311335554,623.618768744879,"FALSE","FALSE",1,"venous_thrombosembolism",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"4","10",3859096,447286687,4694,2020-09-01,2020-12-31,1224604.20807666,383.307518383618,372.419680703845,394.432867905301,"FALSE","FALSE",2,"deep_vein_thrombosis",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"5","10",4644718,1376060141,16409,2021-01-01,2021-12-31,3767447.34017796,435.546897364859,428.907966385624,442.26285524102,"FALSE","FALSE",2,"deep_vein_thrombosis",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"6","10",4006920,405693803,4792,2022-01-01,2022-06-30,1110729.09787817,431.428330198083,419.298688520963,443.819820926345,"FALSE","FALSE",2,"deep_vein_thrombosis",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"7","11",3668429,110035175,1225,2020-09-01,2020-09-30,301259.890485968,406.625654023816,384.17104527226,430.050252667652,"FALSE","FALSE",2,"deep_vein_thrombosis",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"8","11",3667982,113689307,1190,2020-10-01,2020-10-31,311264.358658453,382.311680376414,360.895937089982,404.666366958157,"FALSE","FALSE",2,"deep_vein_thrombosis",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"9","11",3665718,109954402,1103,2020-11-01,2020-11-30,301038.746064339,366.398018334909,345.091470073696,388.675765643481,"FALSE","FALSE",2,"deep_vein_thrombosis",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"10","11",3665386,113607803,1176,2020-12-01,2020-12-31,311041.212867899,378.084945450446,356.782091662069,400.327469890268,"FALSE","FALSE",2,"deep_vein_thrombosis",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"11","11",3723878,115415858,1576,2021-01-01,2021-01-31,315991.397672827,498.747754403039,474.425286046989,523.993951169812,"FALSE","FALSE",2,"deep_vein_thrombosis",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
