"","analysis_id","n_persons","person_days","n_events","incidence_start_date","incidence_end_date","person_years","incidence_100000_pys","incidence_100000_pys_95CI_lower","incidence_100000_pys_95CI_upper","cohort_obscured","result_obscured","outcome_cohort_id","outcome_cohort_name","analysis_repeated_events","analysis_interval","analysis_complete_database_intervals","denominator_cohort_id","analysis_outcome_washout","analysis_min_cell_count","denominator_cohort_name","denominator_age_group","denominator_sex","denominator_days_prior_history","denominator_start_date","denominator_end_date","denominator_strata_cohort_definition_id","denominator_strata_cohort_name","cdm_name"
"1","1",3894788,451815499,NA,2020-09-01,2020-12-31,1237003.41957563,NA,NA,NA,"FALSE","TRUE",1,"reinf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"2","1",4681292,1390878576,34,2021-01-01,2021-12-31,3808018.00410678,0.892852921476015,0.618326603476637,1.24767246488761,"FALSE","FALSE",1,"reinf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"3","1",4048520,409886950,30,2022-01-01,2022-06-30,1122209.30869268,2.67329808865591,1.80366299447299,3.81629924676877,"FALSE","FALSE",1,"reinf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"4","10",3894788,451815499,NA,2020-09-01,2020-12-31,1237003.41957563,NA,NA,NA,"FALSE","TRUE",2,"reinf_allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"5","10",4681292,1390878407,35,2021-01-01,2021-12-31,3808017.54140999,0.919113413197161,0.640196168673452,1.27826426322237,"FALSE","FALSE",2,"reinf_allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"6","10",4048520,409887169,37,2022-01-01,2022-06-30,1122209.908282,3.29706588107421,2.32143865197095,4.54457100811083,"FALSE","FALSE",2,"reinf_allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"7","100",3894788,451815499,NA,2020-09-01,2020-12-31,1237003.41957563,NA,NA,NA,"FALSE","TRUE",12,"reinf_fatigue_malaise",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"8","100",4681292,1390878180,36,2021-01-01,2021-12-31,3808016.91991786,0.94537395072227,0.662128292693066,1.30879603576738,"FALSE","FALSE",12,"reinf_fatigue_malaise",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"9","100",4048521,409887330,30,2022-01-01,2022-06-30,1122210.34907598,2.67329561028393,1.80366132232582,3.81629570873867,"FALSE","FALSE",12,"reinf_fatigue_malaise",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"10","101",3704026,111120780,NA,2020-09-01,2020-09-30,304232.114989733,NA,NA,NA,"FALSE","TRUE",12,"reinf_fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"11","101",3704231,114831161,NA,2020-10-01,2020-10-31,314390.584531143,NA,NA,NA,"FALSE","TRUE",12,"reinf_fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"12","101",3702602,111078060,NA,2020-11-01,2020-11-30,304115.154004107,NA,NA,NA,"FALSE","TRUE",12,"reinf_fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"13","101",3702758,114785498,NA,2020-12-01,2020-12-31,314265.56605065,NA,NA,NA,"FALSE","TRUE",12,"reinf_fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"14","101",3759903,116556993,NA,2021-01-01,2021-01-31,319115.655030801,NA,NA,NA,"FALSE","TRUE",12,"reinf_fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"15","101",3758844,105247632,NA,2021-02-01,2021-02-28,288152.31211499,NA,NA,NA,"FALSE","TRUE",12,"reinf_fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"16","101",3766734,116768725,NA,2021-03-01,2021-03-31,319695.345653662,NA,NA,NA,"FALSE","TRUE",12,"reinf_fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"17","101",3770056,113101653,NA,2021-04-01,2021-04-30,309655.449691992,NA,NA,NA,"FALSE","TRUE",12,"reinf_fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"18","101",3776020,117056570,NA,2021-05-01,2021-05-31,320483.422313484,NA,NA,NA,"FALSE","TRUE",12,"reinf_fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"19","101",3787812,113634286,5,2021-06-01,2021-06-30,311113.719370294,1.60712938346794,0.521830536243923,3.75050386814821,"FALSE","FALSE",12,"reinf_fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"20","101",3807792,118041516,NA,2021-07-01,2021-07-31,323180.057494867,NA,NA,NA,"FALSE","TRUE",12,"reinf_fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"21","101",3837207,118953367,NA,2021-08-01,2021-08-31,325676.569472964,NA,NA,NA,"FALSE","TRUE",12,"reinf_fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"22","101",3857178,115715312,NA,2021-09-01,2021-09-30,316811.258042437,NA,NA,NA,"FALSE","TRUE",12,"reinf_fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"23","101",3862798,119746715,NA,2021-10-01,2021-10-31,327848.637919233,NA,NA,NA,"FALSE","TRUE",12,"reinf_fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"24","101",3867314,116019395,NA,2021-11-01,2021-11-30,317643.79192334,NA,NA,NA,"FALSE","TRUE",12,"reinf_fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"25","101",3872134,120036016,10,2021-12-01,2021-12-31,328640.700889801,3.04283674326545,1.45915849228316,5.59588510863856,"FALSE","FALSE",12,"reinf_fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
"26","101",3855519,119520985,6,2022-01-01,2022-01-31,327230.622861054,1.83356922635803,0.672887590482569,3.99090828001873,"FALSE","FALSE",12,"reinf_fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0;150","Male",0,2020-09-01,2022-07-01,NA,NA,"PharMetrics Plus"
