"","analysis_id","n_persons","person_days","n_events","incidence_start_date","incidence_end_date","person_years","incidence_100000_pys","incidence_100000_pys_95CI_lower","incidence_100000_pys_95CI_upper","cohort_obscured","result_obscured","outcome_cohort_id","outcome_cohort_name","analysis_repeated_events","analysis_interval","analysis_complete_database_intervals","denominator_cohort_id","analysis_outcome_washout","analysis_min_cell_count","denominator_cohort_name","denominator_age_group","denominator_sex","denominator_days_prior_history","denominator_start_date","denominator_end_date","denominator_strata_cohort_definition_id","denominator_strata_cohort_name","denominator_closed_cohort","cdm_name"
"1","1",2735916,279266881,32357,2020-09-01,2020-12-31,764591.049965777,4231.93549040998,4185.94865523974,4278.30158055642,"FALSE","FALSE",1,"abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"2","1",2801561,852067381,104921,2021-01-01,2021-12-31,2332833.34976044,4497.57802076923,4470.40444357747,4524.87579585992,"FALSE","FALSE",1,"abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"3","1",2408021,252239363,29628,2022-01-01,2022-06-30,690593.73853525,4290.22134820409,4241.50728712564,4339.35533700965,"FALSE","FALSE",1,"abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"4","10",2677635,273074224,26738,2020-09-01,2020-12-31,747636.479123888,3576.33699620071,3533.59692389105,3619.46499686331,"FALSE","FALSE",2,"allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"5","10",2748455,835538667,95813,2021-01-01,2021-12-31,2287580.19712526,4188.39960760308,4161.9203971193,4215.00547901969,"FALSE","FALSE",2,"allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"6","10",2365215,249237334,22718,2022-01-01,2022-06-30,682374.631074606,3329.25624216475,3286.10295059726,3372.83463769982,"FALSE","FALSE",2,"allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"7","100",2775971,283748878,35964,2020-09-01,2020-12-31,776862.088980151,4629.393107239,4581.66996798295,4677.48947485234,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"8","100",2836825,863760198,111565,2021-01-01,2021-12-31,2364846.53798768,4717.64227436653,4689.99960498653,4745.40745650024,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"9","100",2436493,256789644,29347,2022-01-01,2022-06-30,703051.728952772,4174.23054256814,4126.60778625724,4222.26578939973,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"10","101",2372832,69641890,8294,2020-09-01,2020-09-30,190669.103353867,4349.94440845876,4256.82621096175,4444.58621402211,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"11","101",2365290,72036962,9086,2020-10-01,2020-10-31,197226.453114305,4606.88708665976,4512.6422132933,4702.60466897338,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"12","101",2373344,69688017,9307,2020-11-01,2020-11-30,190795.392197125,4878.00040285262,4779.39515265902,4978.12793781092,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"13","101",2646950,72382009,9277,2020-12-01,2020-12-31,198171.140314853,4681.3072707059,4586.5259210213,4777.55425536934,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"14","101",2440146,74048096,9919,2021-01-01,2021-01-31,202732.637919233,4892.6507847008,4796.83388594678,4989.90017689559,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"15","101",2392622,66877188,8023,2021-02-01,2021-02-28,183099.761806982,4381.7643020517,4286.40248316173,4478.71281306532,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"16","101",2394988,74095898,9676,2021-03-01,2021-03-31,202863.51266256,4769.70938391218,4675.14027371563,4865.71012375052,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"17","101",2389416,71551479,9346,2021-04-01,2021-04-30,195897.273100616,4770.86783908408,4674.62860768793,4868.5896985877,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"18","101",2378985,73609418,8819,2021-05-01,2021-05-31,201531.603011636,4375.98861330489,4285.1292545857,4468.28929714889,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"19","101",2371395,71005298,9338,2021-06-01,2021-06-30,194401.911019849,4803.45072278973,4706.51293259819,4901.88254786297,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"20","101",2372943,73427475,9322,2021-07-01,2021-07-31,201033.470225873,4637.0387923594,4543.37947012553,4732.14286955467,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"21","101",2371839,73367855,10670,2021-08-01,2021-08-31,200870.239561944,5311.88692922807,5211.56991592992,5413.64954249692,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"22","101",2360525,70674238,9915,2021-09-01,2021-09-30,193495.518138261,5124.14969369744,5023.77901588382,5226.02125057401,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"23","101",2350136,72718145,8823,2021-10-01,2021-10-31,199091.430527036,4431.63222879241,4339.63828468214,4525.08516250475,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"24","101",2340269,70076274,8358,2021-11-01,2021-11-30,191858.381930185,4356.33820942021,4263.43896158137,4450.75159944026,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"25","101",2337205,72308834,9356,2021-12-01,2021-12-31,197970.798083504,4725.94952920967,4630.66710642991,4822.69904847939,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"26","101",2344622,72525928,10110,2022-01-01,2022-01-31,198565.169062286,5091.52740520604,4992.75752783474,5191.75979416875,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"27","101",2333188,65218602,7780,2022-02-01,2022-02-28,178558.800821355,4357.10811464496,4260.82152837398,4455.02183914358,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"28","101",2331075,72129173,8834,2022-03-01,2022-03-31,197478.913073238,4473.38901279237,4380.58579392924,4567.66313138185,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"29","101",516421,15480156,858,2022-04-01,2022-04-30,42382.3572895277,2024.42727321353,1891.21710182593,2164.5450284649,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"30","101",515928,15978072,1011,2022-05-01,2022-05-31,43745.5770020534,2311.09078742416,2170.8092557787,2458.05867946883,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"31","101",515718,15457713,754,2022-06-01,2022-06-30,42320.9117043121,1781.62513432615,1656.70947448515,1913.46362810493,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"32","102",3540532,1404298720,176876,2020-09-01,2022-06-30,3844760.3559206,4600.44277473955,4579.02798854035,4621.93290075161,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"overall",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"33","103",2790648,285283061,50915,2020-09-01,2020-12-31,781062.453114305,6518.68487558047,6462.18423785759,6575.55662911284,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"years",FALSE,2,NA,5,"Denominator cohort 2","0 to 150","Female",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"34","103",2849569,863828437,157599,2021-01-01,2021-12-31,2365033.36618754,6663.71148302449,6630.85218208516,6696.69326737577,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"years",FALSE,2,NA,5,"Denominator cohort 2","0 to 150","Female",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"35","103",2420696,256344652,41975,2022-01-01,2022-06-30,701833.407255305,5980.76403403961,5923.68417279295,6038.25696850757,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"years",FALSE,2,NA,5,"Denominator cohort 2","0 to 150","Female",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"36","104",2391440,70084292,12087,2020-09-01,2020-09-30,191880.334017796,6299.23856546914,6187.43373627209,6412.55642528727,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0 to 150","Female",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"37","104",2381500,72505496,13301,2020-10-01,2020-10-31,198509.229295003,6700.44412909057,6587.05195449436,6815.29859979744,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0 to 150","Female",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"38","104",2385164,70046733,12931,2020-11-01,2020-11-30,191777.503080082,6742.70954221377,6626.98805834984,6859.94471413012,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0 to 150","Female",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"39","104",2656549,72646540,12596,2020-12-01,2020-12-31,198895.386721424,6332.9774549483,6222.85835603359,6444.5561285483,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0 to 150","Female",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"40","104",2451821,74345390,13536,2021-01-01,2021-01-31,203546.584531143,6650.07473899861,6538.51204936076,6763.06349964769,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0 to 150","Female",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"41","104",2401801,67087537,11245,2021-02-01,2021-02-28,183675.665982204,6122.20456088588,6009.56546842346,6236.42444796933,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0 to 150","Female",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"42","104",2404797,74329991,14242,2021-03-01,2021-03-31,203504.424366872,6998.37364436113,6883.90280608672,7114.27074544233,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0 to 150","Female",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"43","104",2396791,71712526,13727,2021-04-01,2021-04-30,196338.195756331,6991.50766213423,6875.03249855297,7109.46122382421,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0 to 150","Female",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"44","104",2383664,73696190,12551,2021-05-01,2021-05-31,201769.171800137,6220.47455913257,6112.11879684501,6330.26911521049,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0 to 150","Female",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"45","104",2373743,71013091,13485,2021-06-01,2021-06-30,194423.247091034,6935.89897389483,6819.32235019729,7053.96859534553,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0 to 150","Female",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"46","104",2373878,73400458,13109,2021-07-01,2021-07-31,200959.501711157,6523.20486883065,6412.01006294462,6635.84417202233,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0 to 150","Female",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"47","104",2371635,73295779,14985,2021-08-01,2021-08-31,200672.906228611,7467.37578162584,7348.28796735419,7587.90988094045,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0 to 150","Female",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"48","104",2357029,70520337,13616,2021-09-01,2021-09-30,193074.160164271,7052.21247028357,6934.25007423676,7171.67827523433,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0 to 150","Female",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"49","104",2346430,72541655,12743,2021-10-01,2021-10-31,198608.227241615,6416.14910770922,6305.22638062866,6528.53349444609,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0 to 150","Female",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"50","104",2335386,69875269,11824,2021-11-01,2021-11-30,191308.060232717,6180.60733333277,6069.70021227561,6293.03206245078,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0 to 150","Female",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"51","104",2329271,72010214,12536,2021-12-01,2021-12-31,197153.221081451,6358.50630856339,6247.68018467591,6470.80491538441,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0 to 150","Female",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"52","104",2328548,71977843,13455,2022-01-01,2022-01-31,197064.594113621,6827.71050807955,6712.82495768136,6944.06904965799,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0 to 150","Female",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
