"","analysis_id","n_persons","person_days","n_events","incidence_start_date","incidence_end_date","person_years","incidence_100000_pys","incidence_100000_pys_95CI_lower","incidence_100000_pys_95CI_upper","cohort_obscured","result_obscured","outcome_cohort_id","outcome_cohort_name","analysis_repeated_events","analysis_interval","analysis_complete_database_intervals","denominator_cohort_id","analysis_outcome_washout","analysis_min_cell_count","denominator_cohort_name","denominator_age_group","denominator_sex","denominator_days_prior_history","denominator_start_date","denominator_end_date","denominator_strata_cohort_definition_id","denominator_strata_cohort_name","denominator_closed_cohort","cdm_name"
"1","1",295523,29435000,815,2020-09-01,2020-12-31,80588.6379192334,1011.30881603533,943.060532756161,1083.19093568098,"FALSE","FALSE",1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 6","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"2","1",288911,83571889,3488,2021-01-01,2021-12-31,228807.362080767,1524.42647311705,1474.2514963279,1575.8736376648,"FALSE","FALSE",1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 6","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"3","1",221374,25103876,1093,2022-01-01,2022-06-30,68730.6666666667,1590.26538372003,1497.37351998341,1687.41127126087,"FALSE","FALSE",1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 6","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"4","10",1365555,132657196,24842,2020-09-01,2020-12-31,363195.608487337,6839.84041091898,6755.04631115183,6925.43312110946,"FALSE","FALSE",1,"dysautonomia",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"5","10",1424108,400011036,72396,2021-01-01,2021-12-31,1095170.52977413,6610.47736692945,6562.41087883839,6658.80846642916,"FALSE","FALSE",1,"dysautonomia",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"6","10",1132877,121651771,20084,2022-01-01,2022-06-30,333064.396988364,6030.06511101265,5946.95389464431,6114.0473943825,"FALSE","FALSE",1,"dysautonomia",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"7","100",1614628,160817974,NA,2020-09-01,2020-12-31,440295.61670089,NA,NA,NA,"FALSE","TRUE",6,"mis",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"8","100",1685513,491659597,29,2021-01-01,2021-12-31,1346090.6146475,2.15438691009626,1.44282672549752,3.09405897235923,"FALSE","FALSE",6,"mis",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"9","100",1391613,150476037,10,2022-01-01,2022-06-30,411980.936344969,2.42729677948656,1.16398315385085,4.46388519944009,"FALSE","FALSE",6,"mis",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"10","101",1346204,39261268,NA,2020-09-01,2020-09-30,107491.493497604,NA,NA,NA,"FALSE","TRUE",6,"mis",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"11","101",1343300,40759430,NA,2020-10-01,2020-10-31,111593.237508556,NA,NA,NA,"FALSE","TRUE",6,"mis",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"12","101",1352885,39544000,NA,2020-11-01,2020-11-30,108265.571526352,NA,NA,NA,"FALSE","TRUE",6,"mis",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"13","101",1527246,41253276,NA,2020-12-01,2020-12-31,112945.314168378,NA,NA,NA,"FALSE","TRUE",6,"mis",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"14","101",1378864,41641054,NA,2021-01-01,2021-01-31,114006.99247091,NA,NA,NA,"FALSE","TRUE",6,"mis",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"15","101",1348869,37768283,NA,2021-02-01,2021-02-28,103403.923340178,NA,NA,NA,"FALSE","TRUE",6,"mis",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"16","101",1354980,42004344,NA,2021-03-01,2021-03-31,115001.626283368,NA,NA,NA,"FALSE","TRUE",6,"mis",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
