"","analysis_id","number_records","number_subjects","reason_id","reason","excluded_records","excluded_subjects","outcome_cohort_id","outcome_cohort_name","analysis_repeated_events","analysis_interval","analysis_complete_database_intervals","denominator_cohort_id","analysis_outcome_washout","analysis_min_cell_count","denominator_cohort_name","denominator_age_group","denominator_sex","denominator_days_prior_history","denominator_start_date","denominator_end_date","denominator_strata_cohort_definition_id","denominator_strata_cohort_name","denominator_closed_cohort","cdm_name"
"1","1",37145088,34808145,1,"Starting population",NA,NA,1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"2","1",37145088,34808145,2,"Missing year of birth",NA,NA,1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"3","1",37143653,34806847,3,"Missing sex",1435,1298,1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"4","1",37143653,34806847,4,"Cannot satisfy age criteria during the study period based on year of birth",NA,NA,1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"5","1",12017169,11755042,5,"No observation time available during study period",25126484,23051805,1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"6","1",12017169,11755042,6,"Doesn't satisfy age criteria during the study period",NA,NA,1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"7","1",8257952,8244168,7,"Prior history requirement not fulfilled during study period",3759217,3510874,1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"8","1",3982854,3976396,8,"Not Male",4275098,4267772,1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"9","1",3982854,3976396,10,"No observation time available after applying age, prior history and, if applicable, strata criteria",NA,NA,1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"10","1",4859260,3976396,11,"Starting analysis population",NA,NA,1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"11","1",3329890,3325027,12,"Excluded due to prior event (do not pass outcome washout during study period)",1529370,651369,1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"12","1",3329890,3325027,14,"Not observed during the complete database interval",NA,NA,1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"13","10",37145088,34808145,1,"Starting population",NA,NA,2,"ibd",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"14","10",37145088,34808145,2,"Missing year of birth",NA,NA,2,"ibd",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"15","10",37143653,34806847,3,"Missing sex",1435,1298,2,"ibd",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"16","10",37143653,34806847,4,"Cannot satisfy age criteria during the study period based on year of birth",NA,NA,2,"ibd",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"17","10",12017169,11755042,5,"No observation time available during study period",25126484,23051805,2,"ibd",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"18","10",12017169,11755042,6,"Doesn't satisfy age criteria during the study period",NA,NA,2,"ibd",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"19","10",8257952,8244168,7,"Prior history requirement not fulfilled during study period",3759217,3510874,2,"ibd",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"20","10",3982854,3976396,8,"Not Male",4275098,4267772,2,"ibd",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"21","10",3982854,3976396,10,"No observation time available after applying age, prior history and, if applicable, strata criteria",NA,NA,2,"ibd",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"22","10",4013644,3976396,11,"Starting analysis population",NA,NA,2,"ibd",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"23","10",3956911,3950497,12,"Excluded due to prior event (do not pass outcome washout during study period)",56733,25899,2,"ibd",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"24","10",3956911,3950497,14,"Not observed during the complete database interval",NA,NA,2,"ibd",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"25","11",37145088,34808145,1,"Starting population",NA,NA,2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"26","11",37145088,34808145,2,"Missing year of birth",NA,NA,2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"27","11",37143653,34806847,3,"Missing sex",1435,1298,2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"28","11",37143653,34806847,4,"Cannot satisfy age criteria during the study period based on year of birth",NA,NA,2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"29","11",12017169,11755042,5,"No observation time available during study period",25126484,23051805,2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"30","11",12017169,11755042,6,"Doesn't satisfy age criteria during the study period",NA,NA,2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"31","11",8257952,8244168,7,"Prior history requirement not fulfilled during study period",3759217,3510874,2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"32","11",3982854,3976396,8,"Not Male",4275098,4267772,2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"33","11",3982854,3976396,10,"No observation time available after applying age, prior history and, if applicable, strata criteria",NA,NA,2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"34","11",4013644,3976396,11,"Starting analysis population",NA,NA,2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"35","11",3956911,3950497,12,"Excluded due to prior event (do not pass outcome washout during study period)",56733,25899,2,"ibd",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
