"","analysis_id","number_records","number_subjects","reason_id","reason","excluded_records","excluded_subjects","outcome_cohort_id","outcome_cohort_name","analysis_repeated_events","analysis_interval","analysis_complete_database_intervals","denominator_cohort_id","analysis_outcome_washout","analysis_min_cell_count","denominator_cohort_name","denominator_age_group","denominator_sex","denominator_days_prior_history","denominator_start_date","denominator_end_date","denominator_strata_cohort_definition_id","denominator_strata_cohort_name","denominator_closed_cohort","cdm_name"
"1","1",37145088,34808145,1,"Starting population",NA,NA,1,"venous_thrombosembolism",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"2","1",37145088,34808145,2,"Missing year of birth",NA,NA,1,"venous_thrombosembolism",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"3","1",37143653,34806847,3,"Missing sex",1435,1298,1,"venous_thrombosembolism",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"4","1",37143653,34806847,4,"Cannot satisfy age criteria during the study period based on year of birth",NA,NA,1,"venous_thrombosembolism",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"5","1",12017169,11755042,5,"No observation time available during study period",25126484,23051805,1,"venous_thrombosembolism",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"6","1",12017169,11755042,6,"Doesn't satisfy age criteria during the study period",NA,NA,1,"venous_thrombosembolism",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"7","1",8257952,8244168,7,"Prior history requirement not fulfilled during study period",3759217,3510874,1,"venous_thrombosembolism",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"8","1",3982854,3976396,8,"Not Male",4275098,4267772,1,"venous_thrombosembolism",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"9","1",3982854,3976396,10,"No observation time available after applying age, prior history and, if applicable, strata criteria",NA,NA,1,"venous_thrombosembolism",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"10","1",4087366,3976396,11,"Starting analysis population",NA,NA,1,"venous_thrombosembolism",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"11","1",3931598,3925275,12,"Excluded due to prior event (do not pass outcome washout during study period)",155768,51121,1,"venous_thrombosembolism",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
