"","analysis_id","n_persons","person_days","n_events","incidence_start_date","incidence_end_date","person_years","incidence_100000_pys","incidence_100000_pys_95CI_lower","incidence_100000_pys_95CI_upper","cohort_obscured","result_obscured","outcome_cohort_id","outcome_cohort_name","analysis_repeated_events","analysis_interval","analysis_complete_database_intervals","denominator_cohort_id","analysis_outcome_washout","analysis_min_cell_count","denominator_cohort_name","denominator_age_group","denominator_sex","denominator_days_prior_history","denominator_start_date","denominator_end_date","denominator_strata_cohort_definition_id","denominator_strata_cohort_name","denominator_closed_cohort","cdm_name"
"1","1",3158406,328714283,8,2020-09-01,2020-12-31,899970.658453114,0.888917869139261,0.383771642364987,1.75152257155665,"FALSE","FALSE",1,"inf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"2","1",3238068,1012231801,2663,2021-01-01,2021-12-31,2771339.63312799,96.0907125264285,92.4754198693145,99.8111256053159,"FALSE","FALSE",1,"inf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"3","1",2864741,299790973,857,2022-01-01,2022-06-30,820782.951403148,104.412500105532,97.538071053314,111.643614952156,"FALSE","FALSE",1,"inf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"4","10",3158406,328714297,10,2020-09-01,2020-12-31,899970.696783025,1.11114728910011,0.532838314988889,2.0434394261674,"FALSE","FALSE",2,"inf_allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"5","10",3238066,1012188150,2852,2021-01-01,2021-12-31,2771220.12320329,102.914957066036,99.1722084655853,106.76280765264,"FALSE","FALSE",2,"inf_allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"6","10",2864587,299790946,829,2022-01-01,2022-06-30,820782.877481177,101.001132302374,94.2418603259483,108.117157716936,"FALSE","FALSE",2,"inf_allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"7","100",3158406,328714264,9,2020-09-01,2020-12-31,899970.606433949,1.00003266058451,0.457278611985465,1.89837349456513,"FALSE","FALSE",12,"inf_fatigue_malaise",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"8","100",3238067,1012241382,2638,2021-01-01,2021-12-31,2771365.86447639,95.187720748607,91.5896341057286,98.8909300394781,"FALSE","FALSE",12,"inf_fatigue_malaise",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"9","100",2864839,299812089,771,2022-01-01,2022-06-30,820840.76386037,93.9280837338084,87.4141721036742,100.798875181733,"FALSE","FALSE",12,"inf_fatigue_malaise",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"10","101",2730725,80418999,NA,2020-09-01,2020-09-30,220175.219712526,NA,NA,NA,"FALSE","TRUE",12,"inf_fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
