"","analysis_id","n_persons","person_days","n_events","incidence_start_date","incidence_end_date","person_years","incidence_100000_pys","incidence_100000_pys_95CI_lower","incidence_100000_pys_95CI_upper","cohort_obscured","result_obscured","outcome_cohort_id","outcome_cohort_name","analysis_repeated_events","analysis_interval","analysis_complete_database_intervals","denominator_cohort_id","analysis_outcome_washout","analysis_min_cell_count","denominator_cohort_name","denominator_age_group","denominator_sex","denominator_days_prior_history","denominator_start_date","denominator_end_date","denominator_strata_cohort_definition_id","denominator_strata_cohort_name","denominator_closed_cohort","cdm_name"
"1","1",3158406,328714370,NA,2020-09-01,2020-12-31,899970.896646133,NA,NA,NA,"FALSE","TRUE",1,"reinf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"2","1",3238076,1012610697,32,2021-01-01,2021-12-31,2772376.99383984,1.15424417642706,0.789502162221054,1.62944838237358,"FALSE","FALSE",1,"reinf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"3","1",2866995,300056669,29,2022-01-01,2022-06-30,821510.387405886,3.53008317905442,2.36415210754385,5.06978829203885,"FALSE","FALSE",1,"reinf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"4","10",3158406,328714370,NA,2020-09-01,2020-12-31,899970.896646133,NA,NA,NA,"FALSE","TRUE",2,"reinf_allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"5","10",3238076,1012610381,30,2021-01-01,2021-12-31,2772376.12867899,1.08210425308685,0.730091195492493,1.54477110633665,"FALSE","FALSE",2,"reinf_allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"6","10",2866998,300057144,34,2022-01-01,2022-06-30,821511.68788501,4.13871165820334,2.86617813621029,5.78343470894762,"FALSE","FALSE",2,"reinf_allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"7","100",3158406,328714370,NA,2020-09-01,2020-12-31,899970.896646133,NA,NA,NA,"FALSE","TRUE",12,"reinf_fatigue_malaise",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"8","100",3238076,1012609997,33,2021-01-01,2021-12-31,2772375.07734428,1.19031512978436,0.819358165435885,1.67164499666342,"FALSE","FALSE",12,"reinf_fatigue_malaise",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"9","100",2866995,300056941,29,2022-01-01,2022-06-30,821511.132101301,3.53007997905304,2.36414996445271,5.06978369630308,"FALSE","FALSE",12,"reinf_fatigue_malaise",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"10","101",2730725,80418999,NA,2020-09-01,2020-09-30,220175.219712526,NA,NA,NA,"FALSE","TRUE",12,"reinf_fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
