"","analysis_id","number_records","number_subjects","reason_id","reason","excluded_records","excluded_subjects","outcome_cohort_id","outcome_cohort_name","analysis_repeated_events","analysis_interval","analysis_complete_database_intervals","denominator_cohort_id","analysis_outcome_washout","analysis_min_cell_count","denominator_cohort_name","denominator_age_group","denominator_sex","denominator_days_prior_history","denominator_start_date","denominator_end_date","denominator_strata_cohort_definition_id","denominator_strata_cohort_name","denominator_closed_cohort","cdm_name"
"1","1",37145088,34808145,1,"Starting population",NA,NA,1,"reinf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"2","1",37145088,34808145,2,"Missing year of birth",NA,NA,1,"reinf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"3","1",37143653,34806847,3,"Missing sex",1435,1298,1,"reinf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"4","1",37143653,34806847,4,"Cannot satisfy age criteria during the study period based on year of birth",NA,NA,1,"reinf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"5","1",12017169,11755042,5,"No observation time available during study period",25126484,23051805,1,"reinf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"6","1",12017169,11755042,6,"Doesn't satisfy age criteria during the study period",NA,NA,1,"reinf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"7","1",8257952,8244168,7,"Prior history requirement not fulfilled during study period",3759217,3510874,1,"reinf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"8","1",3982854,3976396,8,"Not Male",4275098,4267772,1,"reinf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"9","1",3982854,3976396,10,"No observation time available after applying age, prior history and, if applicable, strata criteria",NA,NA,1,"reinf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"10","1",3982971,3976396,11,"Starting analysis population",NA,NA,1,"reinf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"11","1",3982854,3976396,12,"Excluded due to prior event (do not pass outcome washout during study period)",117,NA,1,"reinf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"12","1",3982854,3976396,14,"Not observed during the complete database interval",NA,NA,1,"reinf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"13","10",37145088,34808145,1,"Starting population",NA,NA,2,"reinf_allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"14","10",37145088,34808145,2,"Missing year of birth",NA,NA,2,"reinf_allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"15","10",37143653,34806847,3,"Missing sex",1435,1298,2,"reinf_allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"16","10",37143653,34806847,4,"Cannot satisfy age criteria during the study period based on year of birth",NA,NA,2,"reinf_allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"17","10",12017169,11755042,5,"No observation time available during study period",25126484,23051805,2,"reinf_allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"18","10",12017169,11755042,6,"Doesn't satisfy age criteria during the study period",NA,NA,2,"reinf_allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"19","10",8257952,8244168,7,"Prior history requirement not fulfilled during study period",3759217,3510874,2,"reinf_allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"20","10",3982854,3976396,8,"Not Male",4275098,4267772,2,"reinf_allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"21","10",3982854,3976396,10,"No observation time available after applying age, prior history and, if applicable, strata criteria",NA,NA,2,"reinf_allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"22","10",3982929,3976396,11,"Starting analysis population",NA,NA,2,"reinf_allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"23","10",3982854,3976396,12,"Excluded due to prior event (do not pass outcome washout during study period)",75,NA,2,"reinf_allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"24","10",3982854,3976396,14,"Not observed during the complete database interval",NA,NA,2,"reinf_allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"25","100",37145088,34808145,1,"Starting population",NA,NA,12,"reinf_fatigue_malaise",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"26","100",37145088,34808145,2,"Missing year of birth",NA,NA,12,"reinf_fatigue_malaise",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"27","100",37143653,34806847,3,"Missing sex",1435,1298,12,"reinf_fatigue_malaise",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"28","100",37143653,34806847,4,"Cannot satisfy age criteria during the study period based on year of birth",NA,NA,12,"reinf_fatigue_malaise",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"29","100",12017169,11755042,5,"No observation time available during study period",25126484,23051805,12,"reinf_fatigue_malaise",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"30","100",12017169,11755042,6,"Doesn't satisfy age criteria during the study period",NA,NA,12,"reinf_fatigue_malaise",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"31","100",8257952,8244168,7,"Prior history requirement not fulfilled during study period",3759217,3510874,12,"reinf_fatigue_malaise",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"32","100",3982854,3976396,8,"Not Male",4275098,4267772,12,"reinf_fatigue_malaise",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"33","100",3982854,3976396,10,"No observation time available after applying age, prior history and, if applicable, strata criteria",NA,NA,12,"reinf_fatigue_malaise",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"34","100",3982988,3976396,11,"Starting analysis population",NA,NA,12,"reinf_fatigue_malaise",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"35","100",3982854,3976396,12,"Excluded due to prior event (do not pass outcome washout during study period)",134,NA,12,"reinf_fatigue_malaise",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"36","100",3982854,3976396,14,"Not observed during the complete database interval",NA,NA,12,"reinf_fatigue_malaise",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"37","101",37145088,34808145,1,"Starting population",NA,NA,12,"reinf_fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"38","101",37145088,34808145,2,"Missing year of birth",NA,NA,12,"reinf_fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"39","101",37143653,34806847,3,"Missing sex",1435,1298,12,"reinf_fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"40","101",37143653,34806847,4,"Cannot satisfy age criteria during the study period based on year of birth",NA,NA,12,"reinf_fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"41","101",12017169,11755042,5,"No observation time available during study period",25126484,23051805,12,"reinf_fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"42","101",12017169,11755042,6,"Doesn't satisfy age criteria during the study period",NA,NA,12,"reinf_fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"43","101",8257952,8244168,7,"Prior history requirement not fulfilled during study period",3759217,3510874,12,"reinf_fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"44","101",3982854,3976396,8,"Not Male",4275098,4267772,12,"reinf_fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"45","101",3982854,3976396,10,"No observation time available after applying age, prior history and, if applicable, strata criteria",NA,NA,12,"reinf_fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"46","101",3982988,3976396,11,"Starting analysis population",NA,NA,12,"reinf_fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"47","101",3982854,3976396,12,"Excluded due to prior event (do not pass outcome washout during study period)",134,NA,12,"reinf_fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"48","101",3982854,3976396,14,"Not observed during the complete database interval",NA,NA,12,"reinf_fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"49","102",37145088,34808145,1,"Starting population",NA,NA,12,"reinf_fatigue_malaise",FALSE,"overall",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"50","102",37145088,34808145,2,"Missing year of birth",NA,NA,12,"reinf_fatigue_malaise",FALSE,"overall",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
"51","102",37143653,34806847,3,"Missing sex",1435,1298,12,"reinf_fatigue_malaise",FALSE,"overall",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-07-01,NA,NA,FALSE,"PharMetrics Plus"
