"","analysis_id","n_persons","person_days","n_events","incidence_start_date","incidence_end_date","person_years","incidence_100000_pys","incidence_100000_pys_95CI_lower","incidence_100000_pys_95CI_upper","cohort_obscured","result_obscured","outcome_cohort_id","outcome_cohort_name","analysis_repeated_events","analysis_interval","analysis_complete_database_intervals","denominator_cohort_id","analysis_outcome_washout","analysis_min_cell_count","denominator_cohort_name","denominator_age_group","denominator_sex","denominator_days_prior_history","denominator_start_date","denominator_end_date","denominator_strata_cohort_definition_id","denominator_strata_cohort_name","denominator_closed_cohort","cdm_name"
"1","1",85,1209,NA,2020-12-02,2020-12-31,3.31006160164271,NA,NA,NA,"FALSE","TRUE",1,"inf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 6","Both",0,2020-09-01,2022-07-01,1,"infection",FALSE,"PharMetrics Plus"
"2","1",3529,490659,61,2021-01-01,2021-12-31,1343.35112936345,4540.88277194549,3473.41551594873,5832.95388689372,"FALSE","FALSE",1,"inf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 6","Both",0,2020-09-01,2022-07-01,1,"infection",FALSE,"PharMetrics Plus"
"3","1",3689,310380,51,2022-01-01,2022-06-30,849.774127310062,6001.59481925382,4468.58154630959,7890.98881944859,"FALSE","FALSE",1,"inf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 6","Both",0,2020-09-01,2022-07-01,1,"infection",FALSE,"PharMetrics Plus"
"4","10",1842,28787,11,2020-12-01,2020-12-31,78.8145106091718,13956.8207871609,6967.19465082591,24972.6076596503,"FALSE","FALSE",1,"inf_abdominal_pain",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-07-01,1,"infection",FALSE,"PharMetrics Plus"
"5","10",50483,8686077,2231,2021-01-01,2021-12-31,23781.18275154,9381.36687022231,8996.08274041302,9778.90855247792,"FALSE","FALSE",1,"inf_abdominal_pain",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-07-01,1,"infection",FALSE,"PharMetrics Plus"
"6","10",36252,2693724,768,2022-01-01,2022-06-30,7375.01437371663,10413.53902627,9689.97640274102,11176.8233778585,"FALSE","FALSE",1,"inf_abdominal_pain",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-07-01,1,"infection",FALSE,"PharMetrics Plus"
"7","100",1842,28827,5,2020-12-01,2020-12-31,78.9240246406571,6335.20657716724,2057.02433132394,14784.2588266993,"FALSE","FALSE",6,"inf_chest_pain_angina",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-07-01,1,"infection",FALSE,"PharMetrics Plus"
"8","100",50489,8758726,1642,2021-01-01,2021-12-31,23980.0848733744,6847.34857558051,6520.12070815596,7186.74656147887,"FALSE","FALSE",6,"inf_chest_pain_angina",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-07-01,1,"infection",FALSE,"PharMetrics Plus"
"9","100",36460,2714456,475,2022-01-01,2022-06-30,7431.77549623545,6391.47401910364,5829.54196877177,6992.95205048778,"FALSE","FALSE",6,"inf_chest_pain_angina",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-07-01,1,"infection",FALSE,"PharMetrics Plus"
"10","101",1842,28827,5,2020-12-01,2020-12-31,78.9240246406571,6335.20657716724,2057.02433132394,14784.2588266993,"FALSE","FALSE",6,"inf_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-07-01,1,"infection",FALSE,"PharMetrics Plus"
"11","101",4636,93801,28,2021-01-01,2021-01-31,256.813141683778,10902.8688393514,7244.87716394491,15757.6811209675,"FALSE","FALSE",6,"inf_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-07-01,1,"infection",FALSE,"PharMetrics Plus"
"12","101",10620,214768,45,2021-02-01,2021-02-28,588.002737850787,7653.02559040453,5582.1693804024,10240.3503624908,"FALSE","FALSE",6,"inf_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-07-01,1,"infection",FALSE,"PharMetrics Plus"
"13","101",18064,441594,102,2021-03-01,2021-03-31,1209.01848049281,8436.59560591856,6879.03547676845,10241.4514424178,"FALSE","FALSE",6,"inf_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-07-01,1,"infection",FALSE,"PharMetrics Plus"
"14","101",25382,660608,172,2021-04-01,2021-04-30,1808.64613278576,9509.87575082348,8141.73449980215,11042.126888752,"FALSE","FALSE",6,"inf_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-07-01,1,"infection",FALSE,"PharMetrics Plus"
"15","101",28315,828935,140,2021-05-01,2021-05-31,2269.50034223135,6168.75870846327,5189.27312068433,7279.37719711215,"FALSE","FALSE",6,"inf_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-07-01,1,"infection",FALSE,"PharMetrics Plus"
"16","101",30458,865664,172,2021-06-01,2021-06-30,2370.05886379192,7257.20371876386,6213.1438346117,8426.49961154058,"FALSE","FALSE",6,"inf_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-07-01,1,"infection",FALSE,"PharMetrics Plus"
"17","101",32424,962033,147,2021-07-01,2021-07-31,2633.90280629706,5581.07154328386,4715.34301223754,6559.71686805144,"FALSE","FALSE",6,"inf_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-07-01,1,"infection",FALSE,"PharMetrics Plus"
"18","101",32900,999870,187,2021-08-01,2021-08-31,2737.49486652977,6831.06303819496,5887.03369841467,7883.40963322399,"FALSE","FALSE",6,"inf_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-07-01,1,"infection",FALSE,"PharMetrics Plus"
