"","analysis_id","n_persons","person_days","n_events","incidence_start_date","incidence_end_date","person_years","incidence_100000_pys","incidence_100000_pys_95CI_lower","incidence_100000_pys_95CI_upper","cohort_obscured","result_obscured","outcome_cohort_id","outcome_cohort_name","analysis_repeated_events","analysis_interval","analysis_complete_database_intervals","denominator_cohort_id","analysis_outcome_washout","analysis_min_cell_count","denominator_cohort_name","denominator_age_group","denominator_sex","denominator_days_prior_history","denominator_start_date","denominator_end_date","denominator_strata_cohort_definition_id","denominator_strata_cohort_name","denominator_closed_cohort","cdm_name"
"1","1",45,4249,NA,2021-01-02,2021-12-31,11.6331279945243,NA,NA,NA,"FALSE","TRUE",1,"reinf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 6","Both",0,2020-09-01,2022-07-01,2,"reinfection",FALSE,"PharMetrics Plus"
"2","1",47,3624,NA,2022-01-01,2022-06-30,9.92197125256673,NA,NA,NA,"FALSE","TRUE",1,"reinf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 6","Both",0,2020-09-01,2022-07-01,2,"reinfection",FALSE,"PharMetrics Plus"
"3","10",31,518,NA,2020-12-01,2020-12-31,1.41820670773443,NA,NA,NA,"FALSE","TRUE",1,"reinf_abdominal_pain",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-07-01,2,"reinfection",FALSE,"PharMetrics Plus"
"4","10",844,92968,28,2021-01-01,2021-12-31,254.532511978097,11000.5593322434,7309.79178701484,15898.8710828228,"FALSE","FALSE",1,"reinf_abdominal_pain",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-07-01,2,"reinfection",FALSE,"PharMetrics Plus"
"5","10",584,46326,15,2022-01-01,2022-06-30,126.833675564682,11826.5121098303,6619.2090510709,19506.0332055653,"FALSE","FALSE",1,"reinf_abdominal_pain",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-07-01,2,"reinfection",FALSE,"PharMetrics Plus"
"6","100",31,518,NA,2020-12-01,2020-12-31,1.41820670773443,NA,NA,NA,"FALSE","TRUE",6,"reinf_chest_pain_angina",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-07-01,2,"reinfection",FALSE,"PharMetrics Plus"
"7","100",844,93753,17,2021-01-01,2021-12-31,256.681724845996,6622.98806438194,3858.13461225141,10604.0454700222,"FALSE","FALSE",6,"reinf_chest_pain_angina",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-07-01,2,"reinfection",FALSE,"PharMetrics Plus"
"8","100",586,46427,15,2022-01-01,2022-06-30,127.110198494182,11800.7840265363,6604.8092381569,19463.5986447761,"FALSE","FALSE",6,"reinf_chest_pain_angina",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-07-01,2,"reinfection",FALSE,"PharMetrics Plus"
"9","101",31,518,NA,2020-12-01,2020-12-31,1.41820670773443,NA,NA,NA,"FALSE","TRUE",6,"reinf_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-07-01,2,"reinfection",FALSE,"PharMetrics Plus"
"10","101",69,1486,NA,2021-01-01,2021-01-31,4.0684462696783,NA,NA,NA,"FALSE","TRUE",6,"reinf_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-07-01,2,"reinfection",FALSE,"PharMetrics Plus"
"11","101",151,3054,NA,2021-02-01,2021-02-28,8.36139630390144,NA,NA,NA,"FALSE","TRUE",6,"reinf_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-07-01,2,"reinfection",FALSE,"PharMetrics Plus"
"12","101",230,5784,NA,2021-03-01,2021-03-31,15.8357289527721,NA,NA,NA,"FALSE","TRUE",6,"reinf_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-07-01,2,"reinfection",FALSE,"PharMetrics Plus"
"13","101",314,8130,NA,2021-04-01,2021-04-30,22.258726899384,NA,NA,NA,"FALSE","TRUE",6,"reinf_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-07-01,2,"reinfection",FALSE,"PharMetrics Plus"
"14","101",336,9679,NA,2021-05-01,2021-05-31,26.4996577686516,NA,NA,NA,"FALSE","TRUE",6,"reinf_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-07-01,2,"reinfection",FALSE,"PharMetrics Plus"
"15","101",350,9570,NA,2021-06-01,2021-06-30,26.2012320328542,NA,NA,NA,"FALSE","TRUE",6,"reinf_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-07-01,2,"reinfection",FALSE,"PharMetrics Plus"
"16","101",331,9517,NA,2021-07-01,2021-07-31,26.0561259411362,NA,NA,NA,"FALSE","TRUE",6,"reinf_chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-07-01,2,"reinfection",FALSE,"PharMetrics Plus"
