"","cohort_name","n"
"1","infection",201947
"2","reinfection",3868
"3","test_negative",NA
"4","abdominal_pain",8675870
"5","allergy",13498112
"6","altered_smell_taste",143260
"7","anxiety",26434453
"8","blurred_vision",3765596
"9","chest_pain_angina",11469045
"10","cognitive_dysfunction_brain_fog",506870
"11","cough",6211495
"12","depression_wo_recurrence",18611425
"13","dizziness",3189760
"14","dyspnea",5723560
"15","fatigue_malaise",9555983
"16","gastrointestinal_issues",17058073
"17","headache",7800320
"18","intermittent_fever",3245610
"19","joint_pain",27431545
"20","memory_issues",841025
"21","menstrual_problems",1488081
"22","muscle_spasms_and_pain",2345939
"23","neuralgia",5191621
"24","pins_and_needles_sensation",1019232
"25","sleep_disorder",9995792
"26","tachycardia",3913944
"27","tinnitus_hearing_problems",2224789
"28","any_lc_symptom",190341400
"29","lc_code",20268
"30","postexertional_fatigue",NA
"31","venous_thrombosembolism",472206
"32","deep_vein_thrombosis",332986
"33","pulmonary_embolism",200978
"34","haemorrhagic_stroke",91922
"35","ischemic_stroke",452933
"36","transient_ischemic_attack",260861
"37","myocardial_infarction",307800
"38","myocarditis_pericarditis",30634
"39","ventricular_arrhythmia_cardiac_arrest",274950
"40","heart_failure",1531558
"41","any_pasc_event",3956828
"42","dysautonomia",4468414
"43","ibd",163813
"44","juvenile_arthritis",6729
"45","me_cfs",286865
"46","me_cfs_symptoms",3500503
"47","mis",599
"48","pots",800032
"49","ra",235301
"50","sle",68802
"51","t1dm",148977
"52","inf_abdominal_pain",16290
"53","inf_allergy",14132
"54","inf_altered_smell_taste",975
"55","inf_anxiety",31433
"56","inf_blurred_vision",6298
"57","inf_chest_pain_angina",20892
"58","inf_cognitive_dysfunction_brain_fog",836
"59","inf_cough",11824
"60","inf_depression_wo_recurrence",20215
"61","inf_dizziness",6234
"62","inf_dyspnea",10431
"63","inf_fatigue_malaise",18245
"64","inf_gastrointestinal_issues",23492
"65","inf_headache",12916
"66","inf_intermittent_fever",4892
"67","inf_joint_pain",45242
"68","inf_memory_issues",1419
"69","inf_menstrual_problems",3246
"70","inf_muscle_spasms_and_pain",4188
"71","inf_neuralgia",8838
"72","inf_pins_and_needles_sensation",2426
"73","inf_sleep_disorder",14305
"74","inf_tachycardia",7208
"75","inf_tinnitus_hearing_problems",3832
"76","inf_lc_code",481
"77","inf_any_lc",79777
"78","inf_venous_thrombosembolism",788
"79","inf_deep_vein_thrombosis",552
"80","inf_pulmonary_embolism",350
"81","inf_haemorrhagic_stroke",127
"82","inf_ischemic_stroke",620
"83","inf_transient_ischemic_attack",423
"84","inf_myocardial_infarction",550
"85","inf_myocarditis_pericarditis",90
"86","inf_ventricular_arrhythmia_cardiac_arrest",389
"87","inf_heart_failure",1942
"88","inf_any_pasc",3845
"89","inf_dysautonomia",6435
"90","inf_ibd",150
"91","inf_juvenile_arthritis",NA
"92","inf_me_cfs",826
"93","inf_me_cfs_symptoms",5453
"94","inf_mis",NA
"95","inf_pots",1455
"96","inf_ra",170
"97","inf_sle",26
"98","inf_t1dm",71
"99","inf_postexertional_fatigue",NA
"100","reinf_fatigue_malaise",387
"101","reinf_dizziness",173
"102","reinf_ventricular_arrhythmia_cardiac_arrest",11
"103","reinf_abdominal_pain",303
"104","reinf_anxiety",499
"105","reinf_pots",38
"106","reinf_cough",220
"107","reinf_transient_ischemic_attack",13
"108","reinf_muscle_spasms_and_pain",71
"109","reinf_depression_wo_recurrence",313
"110","reinf_gastrointestinal_issues",434
"111","reinf_deep_vein_thrombosis",8
"112","reinf_me_cfs_symptoms",79
"113","reinf_headache",209
"114","reinf_altered_smell_taste",18
"115","reinf_memory_issues",22
"116","reinf_me_cfs",14
"117","reinf_cognitive_dysfunction_brain_fog",28
"118","reinf_heart_failure",58
"119","reinf_myocardial_infarction",9
"120","reinf_dysautonomia",85
"121","reinf_any_lc",1534
"122","reinf_menstrual_problems",27
"123","reinf_neuralgia",151
"124","reinf_tinnitus_hearing_problems",72
"125","reinf_chest_pain_angina",396
"126","reinf_blurred_vision",93
"127","reinf_venous_thrombosembolism",20
"128","reinf_allergy",234
"129","reinf_dyspnea",239
"130","reinf_pins_and_needles_sensation",36
"131","reinf_haemorrhagic_stroke",8
"132","reinf_sleep_disorder",302
"133","reinf_lc_code",33
"134","reinf_tachycardia",146
"135","reinf_ra",NA
"136","reinf_any_pasc",114
"137","reinf_ischemic_stroke",20
"138","reinf_pulmonary_embolism",13
"139","reinf_t1dm",NA
"140","reinf_intermittent_fever",86
"141","reinf_joint_pain",836
"142","reinf_postexertional_fatigue",NA
"143","reinf_myocarditis_pericarditis",NA
"144","reinf_ibd",NA
"145","reinf_juvenile_arthritis",NA
"146","reinf_mis",NA
"147","reinf_sle",NA
"148","testneg_abdominal_pain",NA
"149","testneg_allergy",NA
"150","testneg_altered_smell_taste",NA
"151","testneg_anxiety",NA
"152","testneg_blurred_vision",NA
"153","testneg_chest_pain_angina",NA
"154","testneg_cognitive_dysfunction_brain_fog",NA
"155","testneg_cough",NA
"156","testneg_depression_wo_recurrence",NA
"157","testneg_dizziness",NA
"158","testneg_dyspnea",NA
"159","testneg_fatigue_malaise",NA
"160","testneg_gastrointestinal_issues",NA
"161","testneg_headache",NA
"162","testneg_intermittent_fever",NA
"163","testneg_joint_pain",NA
"164","testneg_memory_issues",NA
"165","testneg_menstrual_problems",NA
"166","testneg_muscle_spasms_and_pain",NA
"167","testneg_neuralgia",NA
