"","group_name","group_level","strata_name","strata_level","variable","variable_level","variable_type","estimate_type","estimate"
"1","Overall","Overall","Overall","Overall","number subjects",NA,NA,"count","202595"
"2","Overall","Overall","Overall","Overall","number records",NA,NA,"count","205815"
"3","Overall","Overall","Overall","Overall","age",NA,"numeric","mean","43.2022787454753"
"4","Overall","Overall","Overall","Overall","age",NA,"numeric","median","43"
"5","Overall","Overall","Overall","Overall","age",NA,"numeric","q25","27"
"6","Overall","Overall","Overall","Overall","age",NA,"numeric","q75","59"
"7","Overall","Overall","Overall","Overall","age",NA,"numeric","sd","20.600980418345"
"8","Overall","Overall","Overall","Overall","age",NA,"numeric","iqr","32"
"9","Overall","Overall","Overall","Overall","age",NA,"numeric","min","1"
"10","Overall","Overall","Overall","Overall","age",NA,"numeric","max","85"
"11","Overall","Overall","Overall","Overall","future_observation",NA,"numeric","mean","323.709389500279"
"12","Overall","Overall","Overall","Overall","future_observation",NA,"numeric","median","313"
"13","Overall","Overall","Overall","Overall","future_observation",NA,"numeric","q25","194"
"14","Overall","Overall","Overall","Overall","future_observation",NA,"numeric","q75","449"
"15","Overall","Overall","Overall","Overall","future_observation",NA,"numeric","sd","141.891270123177"
"16","Overall","Overall","Overall","Overall","future_observation",NA,"numeric","iqr","255"
"17","Overall","Overall","Overall","Overall","future_observation",NA,"numeric","min","0"
"18","Overall","Overall","Overall","Overall","future_observation",NA,"numeric","max","666"
"19","Overall","Overall","Overall","Overall","prior_history",NA,"numeric","mean","1166.27200641353"
"20","Overall","Overall","Overall","Overall","prior_history",NA,"numeric","median","1342"
"21","Overall","Overall","Overall","Overall","prior_history",NA,"numeric","q25","729"
"22","Overall","Overall","Overall","Overall","prior_history",NA,"numeric","q75","1508"
"23","Overall","Overall","Overall","Overall","prior_history",NA,"numeric","sd","452.940554504217"
"24","Overall","Overall","Overall","Overall","prior_history",NA,"numeric","iqr","779"
"25","Overall","Overall","Overall","Overall","prior_history",NA,"numeric","min","365"
"26","Overall","Overall","Overall","Overall","prior_history",NA,"numeric","max","1886"
"27","Overall","Overall","Overall","Overall","cohort_end_date",NA,"date","mean","2022-02-07"
"28","Overall","Overall","Overall","Overall","cohort_end_date",NA,"date","median","2022-02-21"
"29","Overall","Overall","Overall","Overall","cohort_end_date",NA,"date","q25","2021-12-13"
"30","Overall","Overall","Overall","Overall","cohort_end_date",NA,"date","q75","2022-03-31"
"31","Overall","Overall","Overall","Overall","cohort_end_date",NA,"date","min","2020-12-31"
"32","Overall","Overall","Overall","Overall","cohort_end_date",NA,"date","max","2022-06-30"
"33","Overall","Overall","Overall","Overall","cohort_start_date",NA,"date","mean","2021-05-04"
"34","Overall","Overall","Overall","Overall","cohort_start_date",NA,"date","median","2021-03-29"
"35","Overall","Overall","Overall","Overall","cohort_start_date",NA,"date","q25","2020-12-24"
"36","Overall","Overall","Overall","Overall","cohort_start_date",NA,"date","q75","2021-09-15"
"37","Overall","Overall","Overall","Overall","cohort_start_date",NA,"date","min","2020-09-02"
"38","Overall","Overall","Overall","Overall","cohort_start_date",NA,"date","max","2022-03-02"
"39","Overall","Overall","Overall","Overall","sex","Female","categorical","count","108098"
"40","Overall","Overall","Overall","Overall","sex","Female","categorical","%","52.5219250297597"
"41","Overall","Overall","Overall","Overall","sex","Male","categorical","count","97716"
"42","Overall","Overall","Overall","Overall","sex","Male","categorical","%","47.4775890970046"
"43","Overall","Overall","Overall","Overall","sex","None","categorical","count","<5"
"44","Overall","Overall","Overall","Overall","sex","None","categorical","%","0.000485873235672813"
"45","Overall","Overall","base_id","1","number subjects",NA,NA,"count","201947"
"46","Overall","Overall","base_id","1","number records",NA,NA,"count","201947"
"47","Overall","Overall","base_id","1","age",NA,"numeric","mean","43.119932457526"
"48","Overall","Overall","base_id","1","age",NA,"numeric","median","43"
"49","Overall","Overall","base_id","1","age",NA,"numeric","q25","27"
"50","Overall","Overall","base_id","1","age",NA,"numeric","q75","59"
"51","Overall","Overall","base_id","1","age",NA,"numeric","sd","20.5841212187556"
"52","Overall","Overall","base_id","1","age",NA,"numeric","iqr","32"
"53","Overall","Overall","base_id","1","age",NA,"numeric","min","1"
"54","Overall","Overall","base_id","1","age",NA,"numeric","max","85"
"55","Overall","Overall","base_id","1","future_observation",NA,"numeric","mean","325.632680851907"
"56","Overall","Overall","base_id","1","future_observation",NA,"numeric","median","318"
"57","Overall","Overall","base_id","1","future_observation",NA,"numeric","q25","196"
"58","Overall","Overall","base_id","1","future_observation",NA,"numeric","q75","450"
"59","Overall","Overall","base_id","1","future_observation",NA,"numeric","sd","142.130333670348"
"60","Overall","Overall","base_id","1","future_observation",NA,"numeric","iqr","254"
"61","Overall","Overall","base_id","1","future_observation",NA,"numeric","min","0"
"62","Overall","Overall","base_id","1","future_observation",NA,"numeric","max","666"
"63","Overall","Overall","base_id","1","prior_history",NA,"numeric","mean","1164.87830470371"
"64","Overall","Overall","base_id","1","prior_history",NA,"numeric","median","1341"
"65","Overall","Overall","base_id","1","prior_history",NA,"numeric","q25","728"
"66","Overall","Overall","base_id","1","prior_history",NA,"numeric","q75","1506"
"67","Overall","Overall","base_id","1","prior_history",NA,"numeric","sd","452.843262594071"
"68","Overall","Overall","base_id","1","prior_history",NA,"numeric","iqr","778"
"69","Overall","Overall","base_id","1","prior_history",NA,"numeric","min","365"
"70","Overall","Overall","base_id","1","prior_history",NA,"numeric","max","1886"
"71","Overall","Overall","base_id","1","cohort_end_date",NA,"date","mean","2022-02-07"
"72","Overall","Overall","base_id","1","cohort_end_date",NA,"date","median","2022-02-18"
"73","Overall","Overall","base_id","1","cohort_end_date",NA,"date","q25","2021-12-13"
"74","Overall","Overall","base_id","1","cohort_end_date",NA,"date","q75","2022-03-31"
"75","Overall","Overall","base_id","1","cohort_end_date",NA,"date","min","2020-12-31"
"76","Overall","Overall","base_id","1","cohort_end_date",NA,"date","max","2022-06-30"
"77","Overall","Overall","base_id","1","cohort_start_date",NA,"date","mean","2021-05-03"
"78","Overall","Overall","base_id","1","cohort_start_date",NA,"date","median","2021-03-25"
"79","Overall","Overall","base_id","1","cohort_start_date",NA,"date","q25","2020-12-24"
"80","Overall","Overall","base_id","1","cohort_start_date",NA,"date","q75","2021-09-14"
"81","Overall","Overall","base_id","1","cohort_start_date",NA,"date","min","2020-09-02"
"82","Overall","Overall","base_id","1","cohort_start_date",NA,"date","max","2022-03-02"
"83","Overall","Overall","base_id","1","sex","Female","categorical","count","105983"
"84","Overall","Overall","base_id","1","sex","Female","categorical","%","52.4806013458977"
"85","Overall","Overall","base_id","1","sex","Male","categorical","count","95963"
"86","Overall","Overall","base_id","1","sex","Male","categorical","%","47.518903474674"
"87","Overall","Overall","base_id","1","sex","None","categorical","count","<5"
"88","Overall","Overall","base_id","1","sex","None","categorical","%","0.000495179428265832"
"89","Overall","Overall","base_id","2","number subjects",NA,NA,"count","3783"
"90","Overall","Overall","base_id","2","number records",NA,NA,"count","3868"
"91","Overall","Overall","base_id","2","age",NA,"numeric","mean","47.5015511892451"
"92","Overall","Overall","base_id","2","age",NA,"numeric","median","49"
"93","Overall","Overall","base_id","2","age",NA,"numeric","q25","30"
"94","Overall","Overall","base_id","2","age",NA,"numeric","q75","64"
"95","Overall","Overall","base_id","2","age",NA,"numeric","sd","21.0220923277705"
"96","Overall","Overall","base_id","2","age",NA,"numeric","iqr","34"
"97","Overall","Overall","base_id","2","age",NA,"numeric","min","1"
"98","Overall","Overall","base_id","2","age",NA,"numeric","max","84"
"99","Overall","Overall","base_id","2","future_observation",NA,"numeric","mean","223.294984488108"
"100","Overall","Overall","base_id","2","future_observation",NA,"numeric","median","205"
"101","Overall","Overall","base_id","2","future_observation",NA,"numeric","q25","163"
"102","Overall","Overall","base_id","2","future_observation",NA,"numeric","q75","271"
"103","Overall","Overall","base_id","2","future_observation",NA,"numeric","sd","79.4582159008112"
"104","Overall","Overall","base_id","2","future_observation",NA,"numeric","iqr","108"
"105","Overall","Overall","base_id","2","future_observation",NA,"numeric","min","0"
"106","Overall","Overall","base_id","2","future_observation",NA,"numeric","max","514"
"107","Overall","Overall","base_id","2","prior_history",NA,"numeric","mean","1239.0367114788"
"108","Overall","Overall","base_id","2","prior_history",NA,"numeric","median","1365"
"109","Overall","Overall","base_id","2","prior_history",NA,"numeric","q25","826"
"110","Overall","Overall","base_id","2","prior_history",NA,"numeric","q75","1666.25"
"111","Overall","Overall","base_id","2","prior_history",NA,"numeric","sd","452.12039950328"
"112","Overall","Overall","base_id","2","prior_history",NA,"numeric","iqr","840.25"
"113","Overall","Overall","base_id","2","prior_history",NA,"numeric","min","365"
"114","Overall","Overall","base_id","2","prior_history",NA,"numeric","max","1885"
"115","Overall","Overall","base_id","2","cohort_end_date",NA,"date","mean","2022-02-13"
"116","Overall","Overall","base_id","2","cohort_end_date",NA,"date","median","2022-03-31"
"117","Overall","Overall","base_id","2","cohort_end_date",NA,"date","q25","2021-12-31"
"118","Overall","Overall","base_id","2","cohort_end_date",NA,"date","q75","2022-03-31"
"119","Overall","Overall","base_id","2","cohort_end_date",NA,"date","min","2020-12-31"
"120","Overall","Overall","base_id","2","cohort_end_date",NA,"date","max","2022-06-30"
"121","Overall","Overall","base_id","2","cohort_start_date",NA,"date","mean","2021-06-23"
"122","Overall","Overall","base_id","2","cohort_start_date",NA,"date","median","2021-07-28"
"123","Overall","Overall","base_id","2","cohort_start_date",NA,"date","q25","2021-02-22"
"124","Overall","Overall","base_id","2","cohort_start_date",NA,"date","q75","2021-10-06"
"125","Overall","Overall","base_id","2","cohort_start_date",NA,"date","min","2020-09-02"
"126","Overall","Overall","base_id","2","cohort_start_date",NA,"date","max","2022-03-01"
"127","Overall","Overall","base_id","2","sex","Female","categorical","count","2115"
"128","Overall","Overall","base_id","2","sex","Female","categorical","%","54.6794208893485"
"129","Overall","Overall","base_id","2","sex","Male","categorical","count","1753"
"130","Overall","Overall","base_id","2","sex","Male","categorical","%","45.3205791106515"
"131","Overall","Overall","base_id","2","sex","None","categorical","count","0"
"132","Overall","Overall","base_id","2","sex","None","categorical","%","0"
