"","number_observations","reason","cohort_definition_id"
"1",24131,"Starting events",1
"2",14057,"Event washout",1
"3",14057,"In observation at cohort entry",1
"4",13532,"365 days of prior history",1
"5",13520,"Historical influenza",1
"6",11063,"Entry after 2020-09-01",1
"7",6416,"> 120 days follow-up",1
"8",6325,"First event only",1
"9",6121,"Historical COVID-19",1
"10",198397,"Starting events",3
"11",130482,"Event washout",3
"12",130482,"In observation at cohort entry",3
"13",128355,"365 days of prior history",3
"14",128290,"Historical influenza",3
"15",103608,"Entry after 2020-09-01",3
"16",91035,"> 120 days follow-up",3
"17",75308,"First event only",3
"18",73187,"Historical COVID-19",3
