"","analysis_id","n_persons","person_days","n_events","incidence_start_date","incidence_end_date","person_years","incidence_100000_pys","incidence_100000_pys_95CI_lower","incidence_100000_pys_95CI_upper","cohort_obscured","result_obscured","outcome_cohort_id","outcome_cohort_name","analysis_repeated_events","analysis_interval","analysis_complete_database_intervals","denominator_cohort_id","analysis_outcome_washout","analysis_min_cell_count","denominator_cohort_name","denominator_age_group","denominator_sex","denominator_days_prior_history","denominator_start_date","denominator_end_date","denominator_strata_cohort_definition_id","denominator_strata_cohort_name","denominator_closed_cohort","cdm_name"
"1","1",100519,10735259,10,2020-09-01,2020-12-31,29391.537303217,34.0233989696942,16.3155422823275,62.5702420812297,"FALSE","FALSE",1,"abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 6","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"2","1",94638,31895826,31,2021-01-01,2021-12-31,87326.0123203285,35.4991590435689,24.119956264439,50.3882226315807,"FALSE","FALSE",1,"abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 6","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"3","1",88134,29578893,42,2022-01-01,2022-12-31,80982.5954825462,51.8629956841184,37.3782854848134,70.1037036911547,"FALSE","FALSE",1,"abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 6","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"4","10",567836,68570673,32,2020-09-01,2020-12-31,187736.271047228,17.0451878166633,11.6588958485163,24.062719381518,"FALSE","FALSE",1,"abdominal_pain",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"5","10",580272,203548288,119,2021-01-01,2021-12-31,557284.840520192,21.3535325828926,17.6896312279394,25.552685362348,"FALSE","FALSE",1,"abdominal_pain",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"6","10",573648,201136128,114,2022-01-01,2022-12-31,550680.706365503,20.701651371155,17.0763095701306,24.8690070312974,"FALSE","FALSE",1,"abdominal_pain",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"7","100",570010,68832181,16,2020-09-01,2020-12-31,188452.240930869,8.4902147732323,4.85289132592292,13.7875768784795,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"8","100",582588,204366724,57,2021-01-01,2021-12-31,559525.596167009,10.1872015132953,7.71568694241449,13.1987011691454,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"9","100",576124,202006766,47,2022-01-01,2022-12-31,553064.38329911,8.49810644461285,6.24408897225787,11.3006800343615,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"10","101",564507,16935159,5,2020-09-01,2020-09-30,46365.9383983573,10.7837782922499,3.50146345830442,25.1657412367525,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"11","101",564352,17494855,NA,2020-10-01,2020-10-31,47898.302532512,NA,NA,NA,"FALSE","TRUE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"12","101",564119,16923524,NA,2020-11-01,2020-11-30,46334.083504449,NA,NA,NA,"FALSE","TRUE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"13","101",563830,17478643,7,2020-12-01,2020-12-31,47853.916495551,14.6278518303738,5.88115510207303,30.1389654555093,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"14","101",563205,17459247,NA,2021-01-01,2021-01-31,47800.8131416838,NA,NA,NA,"FALSE","TRUE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"15","101",562611,15752982,NA,2021-02-01,2021-02-28,43129.3141683778,NA,NA,NA,"FALSE","TRUE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"16","101",562088,17424588,7,2021-03-01,2021-03-31,47705.9219712526,14.6732307243075,5.89939977098816,30.2324633205778,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"17","101",561401,16841883,6,2021-04-01,2021-04-30,46110.5626283368,13.0122029704161,4.77524915763596,28.3220877779815,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"18","101",560632,17379474,NA,2021-05-01,2021-05-31,47582.4065708419,NA,NA,NA,"FALSE","TRUE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"19","101",560079,16802126,NA,2021-06-01,2021-06-30,46001.7138945927,NA,NA,NA,"FALSE","TRUE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"20","101",559456,17342976,NA,2021-07-01,2021-07-31,47482.4804928131,NA,NA,NA,"FALSE","TRUE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"21","101",558845,17324015,5,2021-08-01,2021-08-31,47430.5681040383,10.5417248830597,3.42286937520403,24.60086932488,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"22","101",558418,16752421,5,2021-09-01,2021-09-30,45865.6290212183,10.9014094141975,3.53965796341169,25.4402530355022,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"23","101",557895,17294586,5,2021-10-01,2021-10-31,47349.9958932238,10.5596630066773,3.42869383511553,24.64273092153,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"24","101",557483,16724331,6,2021-11-01,2021-11-30,45788.7227926078,13.1036631599793,4.80881343527304,28.5211581062642,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"25","101",557040,17268095,NA,2021-12-01,2021-12-31,47277.4674880219,NA,NA,NA,"FALSE","TRUE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"26","101",556610,17254762,5,2022-01-01,2022-01-31,47240.9637234771,10.5840347145907,3.43660726233577,24.6996063577846,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"27","101",556183,15572982,6,2022-02-01,2022-02-28,42636.501026694,14.0724493228079,5.16434088273866,30.6297977274035,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"28","101",555660,17225358,NA,2022-03-01,2022-03-31,47160.4599589322,NA,NA,NA,"FALSE","TRUE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"29","101",554999,16649909,NA,2022-04-01,2022-04-30,45584.9664613279,NA,NA,NA,"FALSE","TRUE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"30","101",554299,17183181,NA,2022-05-01,2022-05-31,47044.9856262834,NA,NA,NA,"FALSE","TRUE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"31","101",553754,16612463,6,2022-06-01,2022-06-30,45482.4449007529,13.1919029706793,4.84119589062461,28.7132190255289,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"32","101",552973,17142091,NA,2022-07-01,2022-07-31,46932.4873374401,NA,NA,NA,"FALSE","TRUE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"33","101",552401,17124291,NA,2022-08-01,2022-08-31,46883.7535934292,NA,NA,NA,"FALSE","TRUE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"34","101",551875,16556118,NA,2022-09-01,2022-09-30,45328.1806981519,NA,NA,NA,"FALSE","TRUE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"35","101",551380,17092664,5,2022-10-01,2022-10-31,46797.1635865845,10.6844082350183,3.46919827120426,24.9338446714485,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"36","101",550936,16527844,7,2022-11-01,2022-11-30,45250.7707049966,15.4693497833111,6.21948092302681,31.8727728544739,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"37","101",550491,17065103,NA,2022-12-01,2022-12-31,46721.7056810404,NA,NA,NA,"FALSE","TRUE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"38","102",612623,475205671,120,2020-09-01,2022-12-31,1301042.22039699,9.22337477744452,7.64709431148058,11.0288953824703,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"overall",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"39","103",534173,64500117,80,2020-09-01,2020-12-31,176591.696098563,45.3022434052329,35.9218615554747,56.3825633748182,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"years",FALSE,5,NA,5,"Denominator cohort 5","41 to 64","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"40","103",555022,194624000,207,2021-01-01,2021-12-31,532851.471594798,38.8475984462348,33.7354408069792,44.5155785977965,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"years",FALSE,5,NA,5,"Denominator cohort 5","41 to 64","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"41","103",562651,197348735,157,2022-01-01,2022-12-31,540311.389459274,29.0573182544089,24.6898638367974,33.974746163317,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"years",FALSE,5,NA,5,"Denominator cohort 5","41 to 64","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"42","104",528010,15839645,25,2020-09-01,2020-09-30,43366.5845311431,57.6480722894989,37.3067928284988,85.09992681353,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,5,NA,5,"Denominator cohort 5","41 to 64","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"43","104",528518,16383179,27,2020-10-01,2020-10-31,44854.6995208761,60.1943615460711,39.6684635541557,87.5796357232956,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,5,NA,5,"Denominator cohort 5","41 to 64","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"44","104",529010,15869789,12,2020-11-01,2020-11-30,43449.1143052704,27.6185146506989,14.2708895402503,48.2439869795788,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,5,NA,5,"Denominator cohort 5","41 to 64","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"45","104",529295,16407504,16,2020-12-01,2020-12-31,44921.2977412731,35.6178490037242,20.3586782071945,57.8411553183783,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,5,NA,5,"Denominator cohort 5","41 to 64","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
