"","analysis_id","n_persons","person_days","n_events","incidence_start_date","incidence_end_date","person_years","incidence_100000_pys","incidence_100000_pys_95CI_lower","incidence_100000_pys_95CI_upper","cohort_obscured","result_obscured","outcome_cohort_id","outcome_cohort_name","analysis_repeated_events","analysis_interval","analysis_complete_database_intervals","denominator_cohort_id","analysis_outcome_washout","analysis_min_cell_count","denominator_cohort_name","denominator_age_group","denominator_sex","denominator_days_prior_history","denominator_start_date","denominator_end_date","denominator_strata_cohort_definition_id","denominator_strata_cohort_name","denominator_closed_cohort","cdm_name"
"1","1",100634,10749338,NA,2020-09-01,2020-12-31,29430.083504449,NA,NA,NA,"FALSE","TRUE",1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 6","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"2","1",94746,31933935,8,2021-01-01,2021-12-31,87430.3490759754,9.15014075152342,3.95038131867366,18.0294250072082,"FALSE","FALSE",1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 6","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"3","1",88227,29610567,11,2022-01-01,2022-12-31,81069.3141683778,13.5686358184225,6.77341411305381,24.2780375228328,"FALSE","FALSE",1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 6","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"4","10",569623,68785885,17,2020-09-01,2020-12-31,188325.489390828,9.02692463722754,5.2585162537693,14.4529807961472,"FALSE","FALSE",1,"dysautonomia",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"5","10",582187,204212856,95,2021-01-01,2021-12-31,559104.328542094,16.9914620850315,13.7471074966903,20.7711812795976,"FALSE","FALSE",1,"dysautonomia",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"6","10",575641,201829854,74,2022-01-01,2022-12-31,552580.024640657,13.3917254877467,10.5153848587139,16.8120850119962,"FALSE","FALSE",1,"dysautonomia",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"7","100",570472,68888770,NA,2020-09-01,2020-12-31,188607.173169062,NA,NA,NA,"FALSE","TRUE",6,"mis",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"8","100",583068,204541114,NA,2021-01-01,2021-12-31,560003.049965777,NA,NA,NA,"FALSE","TRUE",6,"mis",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"9","100",576623,202188066,NA,2022-01-01,2022-12-31,553560.755646817,NA,NA,NA,"FALSE","TRUE",6,"mis",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"10","101",564967,16948990,NA,2020-09-01,2020-09-30,46403.8056125941,NA,NA,NA,"FALSE","TRUE",6,"mis",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"11","101",564814,17509195,NA,2020-10-01,2020-10-31,47937.5633127995,NA,NA,NA,"FALSE","TRUE",6,"mis",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"12","101",564582,16937453,NA,2020-11-01,2020-11-30,46372.219028063,NA,NA,NA,"FALSE","TRUE",6,"mis",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"13","101",564295,17493132,NA,2020-12-01,2020-12-31,47893.5852156058,NA,NA,NA,"FALSE","TRUE",6,"mis",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"14","101",563669,17473674,NA,2021-01-01,2021-01-31,47840.3121149897,NA,NA,NA,"FALSE","TRUE",6,"mis",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"15","101",563074,15766000,NA,2021-02-01,2021-02-28,43164.9555099247,NA,NA,NA,"FALSE","TRUE",6,"mis",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"16","101",562557,17439212,NA,2021-03-01,2021-03-31,47745.9603011636,NA,NA,NA,"FALSE","TRUE",6,"mis",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"17","101",561872,16856094,NA,2021-04-01,2021-04-30,46149.4702258727,NA,NA,NA,"FALSE","TRUE",6,"mis",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"18","101",561107,17394252,NA,2021-05-01,2021-05-31,47622.8665297741,NA,NA,NA,"FALSE","TRUE",6,"mis",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"19","101",560557,16816559,NA,2021-06-01,2021-06-30,46041.2292950034,NA,NA,NA,"FALSE","TRUE",6,"mis",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"20","101",559935,17357906,NA,2021-07-01,2021-07-31,47523.356605065,NA,NA,NA,"FALSE","TRUE",6,"mis",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"21","101",559319,17338801,NA,2021-08-01,2021-08-31,47471.0499657769,NA,NA,NA,"FALSE","TRUE",6,"mis",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"22","101",558894,16766767,NA,2021-09-01,2021-09-30,45904.9062286105,NA,NA,NA,"FALSE","TRUE",6,"mis",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"23","101",558375,17309557,NA,2021-10-01,2021-10-31,47390.984257358,NA,NA,NA,"FALSE","TRUE",6,"mis",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"24","101",557968,16738980,NA,2021-11-01,2021-11-30,45828.8295687885,NA,NA,NA,"FALSE","TRUE",6,"mis",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"25","101",557530,17283312,NA,2021-12-01,2021-12-31,47319.1293634497,NA,NA,NA,"FALSE","TRUE",6,"mis",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
