"","analysis_id","number_records","number_subjects","reason_id","reason","excluded_records","excluded_subjects","outcome_cohort_id","outcome_cohort_name","analysis_repeated_events","analysis_interval","analysis_complete_database_intervals","denominator_cohort_id","analysis_outcome_washout","analysis_min_cell_count","denominator_cohort_name","denominator_age_group","denominator_sex","denominator_days_prior_history","denominator_start_date","denominator_end_date","denominator_strata_cohort_definition_id","denominator_strata_cohort_name","denominator_closed_cohort","cdm_name"
"1","1",1951674,1951674,1,"Starting population",NA,NA,1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"2","1",1951674,1951674,2,"Missing year of birth",NA,NA,1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"3","1",1950995,1950995,3,"Missing sex",679,679,1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"4","1",1950990,1950990,4,"Cannot satisfy age criteria during the study period based on year of birth",5,5,1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"5","1",1917941,1917941,5,"No observation time available during study period",33049,33049,1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"6","1",1917941,1917941,6,"Doesn't satisfy age criteria during the study period",NA,NA,1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"7","1",1910472,1910472,7,"Prior history requirement not fulfilled during study period",7469,7469,1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"8","1",922325,922325,8,"Not Male",988147,988147,1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"9","1",922325,922325,10,"No observation time available after applying age, prior history and, if applicable, strata criteria",NA,NA,1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"10","1",926643,922325,11,"Starting analysis population",NA,NA,1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"11","1",918933,918933,12,"Excluded due to prior event (do not pass outcome washout during study period)",7710,3392,1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"12","1",918933,918933,14,"Not observed during the complete database interval",NA,NA,1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"13","10",1951674,1951674,1,"Starting population",NA,NA,2,"ibd",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"14","10",1951674,1951674,2,"Missing year of birth",NA,NA,2,"ibd",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"15","10",1950995,1950995,3,"Missing sex",679,679,2,"ibd",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"16","10",1950990,1950990,4,"Cannot satisfy age criteria during the study period based on year of birth",5,5,2,"ibd",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"17","10",1917941,1917941,5,"No observation time available during study period",33049,33049,2,"ibd",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"18","10",1917941,1917941,6,"Doesn't satisfy age criteria during the study period",NA,NA,2,"ibd",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"19","10",1910472,1910472,7,"Prior history requirement not fulfilled during study period",7469,7469,2,"ibd",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"20","10",922325,922325,8,"Not Male",988147,988147,2,"ibd",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"21","10",922325,922325,10,"No observation time available after applying age, prior history and, if applicable, strata criteria",NA,NA,2,"ibd",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"22","10",923947,922325,11,"Starting analysis population",NA,NA,2,"ibd",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"23","10",920984,920984,12,"Excluded due to prior event (do not pass outcome washout during study period)",2963,1341,2,"ibd",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"24","10",920984,920984,14,"Not observed during the complete database interval",NA,NA,2,"ibd",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
