"","analysis_id","n_persons","person_days","n_events","incidence_start_date","incidence_end_date","person_years","incidence_100000_pys","incidence_100000_pys_95CI_lower","incidence_100000_pys_95CI_upper","cohort_obscured","result_obscured","outcome_cohort_id","outcome_cohort_name","analysis_repeated_events","analysis_interval","analysis_complete_database_intervals","denominator_cohort_id","analysis_outcome_washout","analysis_min_cell_count","denominator_cohort_name","denominator_age_group","denominator_sex","denominator_days_prior_history","denominator_start_date","denominator_end_date","denominator_strata_cohort_definition_id","denominator_strata_cohort_name","denominator_closed_cohort","cdm_name"
"1","1",912872,110646500,201,2020-09-01,2020-12-31,302933.607118412,66.3511724275056,57.4949894321611,76.1853570339104,"FALSE","FALSE",1,"venous_thrombosembolism",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"2","1",912297,332647976,674,2021-01-01,2021-12-31,910740.5229295,74.0057110703719,68.5233645985782,79.8099760449887,"FALSE","FALSE",1,"venous_thrombosembolism",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"3","1",915675,333874923,613,2022-01-01,2022-12-31,914099.72073922,67.0605171506097,61.8562224359471,72.5857455997471,"FALSE","FALSE",1,"venous_thrombosembolism",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"4","10",914394,110837394,96,2020-09-01,2020-12-31,303456.246406571,31.6355326795215,25.624883038595,38.6324000206147,"FALSE","FALSE",2,"deep_vein_thrombosis",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"5","10",913893,333262839,426,2021-01-01,2021-12-31,912423.926078029,46.6888238925433,42.3599281788282,51.3400969996504,"FALSE","FALSE",2,"deep_vein_thrombosis",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"6","10",917451,334554242,408,2022-01-01,2022-12-31,915959.594798084,44.5434495492064,40.3255957245191,49.0825478083001,"FALSE","FALSE",2,"deep_vein_thrombosis",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"7","11",908695,27259606,15,2020-09-01,2020-09-30,74632.733744011,20.098419617657,11.2489328899292,33.1492866874532,"FALSE","FALSE",2,"deep_vein_thrombosis",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"8","11",908607,28164690,31,2020-10-01,2020-10-31,77110.7186858316,40.2019336978323,27.3152634784248,57.0634358661913,"FALSE","FALSE",2,"deep_vein_thrombosis",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"9","11",908452,27251608,23,2020-11-01,2020-11-30,74610.8364134155,30.8266213135019,19.5414335744172,46.2550677003638,"FALSE","FALSE",2,"deep_vein_thrombosis",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"10","11",914018,28161490,27,2020-12-01,2020-12-31,77101.9575633128,35.0185661341073,23.0774557405417,50.9501751792801,"FALSE","FALSE",2,"deep_vein_thrombosis",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"11","11",913893,28328729,26,2021-01-01,2021-01-31,77559.832991102,33.5225064280152,21.8980141661017,49.1182389310915,"FALSE","FALSE",2,"deep_vein_thrombosis",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
