"","analysis_id","n_persons","person_days","n_events","incidence_start_date","incidence_end_date","person_years","incidence_100000_pys","incidence_100000_pys_95CI_lower","incidence_100000_pys_95CI_upper","cohort_obscured","result_obscured","outcome_cohort_id","outcome_cohort_name","analysis_repeated_events","analysis_interval","analysis_complete_database_intervals","denominator_cohort_id","analysis_outcome_washout","analysis_min_cell_count","denominator_cohort_name","denominator_age_group","denominator_sex","denominator_days_prior_history","denominator_start_date","denominator_end_date","denominator_strata_cohort_definition_id","denominator_strata_cohort_name","denominator_closed_cohort","cdm_name"
"1","1",111,1821,NA,2020-12-01,2020-12-31,4.98562628336756,NA,NA,NA,"FALSE","TRUE",1,"inf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2022-12-31,1,"infection",FALSE,"ematch"
"2","1",1381,248952,NA,2021-01-01,2021-12-31,681.593429158111,NA,NA,NA,"FALSE","TRUE",1,"inf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2022-12-31,1,"infection",FALSE,"ematch"
"3","1",2146,374299,5,2022-01-01,2022-12-31,1024.77481177276,487.912070296741,158.423721140252,1138.62401234644,"FALSE","FALSE",1,"inf_abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2022-12-31,1,"infection",FALSE,"ematch"
"4","10",111,1821,NA,2020-12-01,2020-12-31,4.98562628336756,NA,NA,NA,"FALSE","TRUE",2,"inf_allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2022-12-31,1,"infection",FALSE,"ematch"
"5","10",1381,249065,NA,2021-01-01,2021-12-31,681.902806297057,NA,NA,NA,"FALSE","TRUE",2,"inf_allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2022-12-31,1,"infection",FALSE,"ematch"
"6","10",2147,374449,NA,2022-01-01,2022-12-31,1025.18548939083,NA,NA,NA,"FALSE","TRUE",2,"inf_allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2022-12-31,1,"infection",FALSE,"ematch"
"7","100",111,1821,NA,2020-12-01,2020-12-31,4.98562628336756,NA,NA,NA,"FALSE","TRUE",13,"inf_gastrointestinal_issues",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2022-12-31,1,"infection",FALSE,"ematch"
"8","100",1381,248319,NA,2021-01-01,2021-12-31,679.860369609856,NA,NA,NA,"FALSE","TRUE",13,"inf_gastrointestinal_issues",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2022-12-31,1,"infection",FALSE,"ematch"
"9","100",2147,374113,6,2022-01-01,2022-12-31,1024.26557152635,585.785578154194,214.972983052589,1275.0085901118,"FALSE","FALSE",13,"inf_gastrointestinal_issues",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2022-12-31,1,"infection",FALSE,"ematch"
"10","101",111,1821,NA,2020-12-01,2020-12-31,4.98562628336756,NA,NA,NA,"FALSE","TRUE",13,"inf_gastrointestinal_issues",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2022-12-31,1,"infection",FALSE,"ematch"
"11","101",321,5830,NA,2021-01-01,2021-01-31,15.9616700889802,NA,NA,NA,"FALSE","TRUE",13,"inf_gastrointestinal_issues",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2022-12-31,1,"infection",FALSE,"ematch"
"12","101",467,11476,NA,2021-02-01,2021-02-28,31.419575633128,NA,NA,NA,"FALSE","TRUE",13,"inf_gastrointestinal_issues",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2022-12-31,1,"infection",FALSE,"ematch"
"13","101",513,15178,NA,2021-03-01,2021-03-31,41.555099247091,NA,NA,NA,"FALSE","TRUE",13,"inf_gastrointestinal_issues",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2022-12-31,1,"infection",FALSE,"ematch"
"14","101",590,16457,NA,2021-04-01,2021-04-30,45.056810403833,NA,NA,NA,"FALSE","TRUE",13,"inf_gastrointestinal_issues",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2022-12-31,1,"infection",FALSE,"ematch"
"15","101",662,19190,NA,2021-05-01,2021-05-31,52.539356605065,NA,NA,NA,"FALSE","TRUE",13,"inf_gastrointestinal_issues",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2022-12-31,1,"infection",FALSE,"ematch"
"16","101",758,21185,NA,2021-06-01,2021-06-30,58.0013689253936,NA,NA,NA,"FALSE","TRUE",13,"inf_gastrointestinal_issues",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2022-12-31,1,"infection",FALSE,"ematch"
"17","101",940,26158,NA,2021-07-01,2021-07-31,71.6167008898015,NA,NA,NA,"FALSE","TRUE",13,"inf_gastrointestinal_issues",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2022-12-31,1,"infection",FALSE,"ematch"
"18","101",994,30192,NA,2021-08-01,2021-08-31,82.6611909650924,NA,NA,NA,"FALSE","TRUE",13,"inf_gastrointestinal_issues",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2022-12-31,1,"infection",FALSE,"ematch"
"19","101",1008,28498,NA,2021-09-01,2021-09-30,78.0232717316906,NA,NA,NA,"FALSE","TRUE",13,"inf_gastrointestinal_issues",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2022-12-31,1,"infection",FALSE,"ematch"
"20","101",976,26761,NA,2021-10-01,2021-10-31,73.2676249144422,NA,NA,NA,"FALSE","TRUE",13,"inf_gastrointestinal_issues",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2022-12-31,1,"infection",FALSE,"ematch"
"21","101",912,22591,NA,2021-11-01,2021-11-30,61.8507871321013,NA,NA,NA,"FALSE","TRUE",13,"inf_gastrointestinal_issues",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2022-12-31,1,"infection",FALSE,"ematch"
"22","101",904,24803,NA,2021-12-01,2021-12-31,67.9069130732375,NA,NA,NA,"FALSE","TRUE",13,"inf_gastrointestinal_issues",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2022-12-31,1,"infection",FALSE,"ematch"
"23","101",887,25798,NA,2022-01-01,2022-01-31,70.631074606434,NA,NA,NA,"FALSE","TRUE",13,"inf_gastrointestinal_issues",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2022-12-31,1,"infection",FALSE,"ematch"
"24","101",847,22131,NA,2022-02-01,2022-02-28,60.5913757700205,NA,NA,NA,"FALSE","TRUE",13,"inf_gastrointestinal_issues",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2022-12-31,1,"infection",FALSE,"ematch"
"25","101",912,24653,NA,2022-03-01,2022-03-31,67.4962354551677,NA,NA,NA,"FALSE","TRUE",13,"inf_gastrointestinal_issues",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2022-12-31,1,"infection",FALSE,"ematch"
"26","101",1061,25587,NA,2022-04-01,2022-04-30,70.0533880903491,NA,NA,NA,"FALSE","TRUE",13,"inf_gastrointestinal_issues",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2022-12-31,1,"infection",FALSE,"ematch"
"27","101",1108,30394,NA,2022-05-01,2022-05-31,83.2142368240931,NA,NA,NA,"FALSE","TRUE",13,"inf_gastrointestinal_issues",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2022-12-31,1,"infection",FALSE,"ematch"
"28","101",1160,32789,NA,2022-06-01,2022-06-30,89.7713894592745,NA,NA,NA,"FALSE","TRUE",13,"inf_gastrointestinal_issues",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2022-12-31,1,"infection",FALSE,"ematch"
"29","101",1279,36892,NA,2022-07-01,2022-07-31,101.004791238877,NA,NA,NA,"FALSE","TRUE",13,"inf_gastrointestinal_issues",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2022-12-31,1,"infection",FALSE,"ematch"
"30","101",1279,36517,NA,2022-08-01,2022-08-31,99.9780971937029,NA,NA,NA,"FALSE","TRUE",13,"inf_gastrointestinal_issues",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2022-12-31,1,"infection",FALSE,"ematch"
"31","101",1240,33006,NA,2022-09-01,2022-09-30,90.3655030800821,NA,NA,NA,"FALSE","TRUE",13,"inf_gastrointestinal_issues",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2022-12-31,1,"infection",FALSE,"ematch"
"32","101",1232,35423,NA,2022-10-01,2022-10-31,96.9828884325804,NA,NA,NA,"FALSE","TRUE",13,"inf_gastrointestinal_issues",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2022-12-31,1,"infection",FALSE,"ematch"
"33","101",1236,35879,NA,2022-11-01,2022-11-30,98.2313483915127,NA,NA,NA,"FALSE","TRUE",13,"inf_gastrointestinal_issues",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2022-12-31,1,"infection",FALSE,"ematch"
"34","101",1190,35044,NA,2022-12-01,2022-12-31,95.9452429842574,NA,NA,NA,"FALSE","TRUE",13,"inf_gastrointestinal_issues",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2022-12-31,1,"infection",FALSE,"ematch"
"35","102",2677,624253,10,2020-12-01,2022-12-31,1709.11156741958,585.099310696144,280.577862062717,1076.01846436413,"FALSE","FALSE",13,"inf_gastrointestinal_issues",FALSE,"overall",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",0,2020-09-01,2022-12-31,1,"infection",FALSE,"ematch"
"36","103",117,1872,NA,2020-12-01,2020-12-31,5.12525667351129,NA,NA,NA,"FALSE","TRUE",13,"inf_gastrointestinal_issues",FALSE,"years",FALSE,2,NA,5,"Denominator cohort 2","0 to 150","Female",0,2020-09-01,2022-12-31,1,"infection",FALSE,"ematch"
"37","103",1757,282870,NA,2021-01-01,2021-12-31,774.455852156058,NA,NA,NA,"FALSE","TRUE",13,"inf_gastrointestinal_issues",FALSE,"years",FALSE,2,NA,5,"Denominator cohort 2","0 to 150","Female",0,2020-09-01,2022-12-31,1,"infection",FALSE,"ematch"
"38","103",2837,527963,9,2022-01-01,2022-12-31,1445.48391512663,622.628858461673,284.705561529394,1181.9435188888,"FALSE","FALSE",13,"inf_gastrointestinal_issues",FALSE,"years",FALSE,2,NA,5,"Denominator cohort 2","0 to 150","Female",0,2020-09-01,2022-12-31,1,"infection",FALSE,"ematch"
"39","104",117,1872,NA,2020-12-01,2020-12-31,5.12525667351129,NA,NA,NA,"FALSE","TRUE",13,"inf_gastrointestinal_issues",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0 to 150","Female",0,2020-09-01,2022-12-31,1,"infection",FALSE,"ematch"
"40","104",373,7010,NA,2021-01-01,2021-01-31,19.192334017796,NA,NA,NA,"FALSE","TRUE",13,"inf_gastrointestinal_issues",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0 to 150","Female",0,2020-09-01,2022-12-31,1,"infection",FALSE,"ematch"
"41","104",542,13394,NA,2021-02-01,2021-02-28,36.6707734428474,NA,NA,NA,"FALSE","TRUE",13,"inf_gastrointestinal_issues",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0 to 150","Female",0,2020-09-01,2022-12-31,1,"infection",FALSE,"ematch"
"42","104",600,17730,NA,2021-03-01,2021-03-31,48.5420944558522,NA,NA,NA,"FALSE","TRUE",13,"inf_gastrointestinal_issues",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0 to 150","Female",0,2020-09-01,2022-12-31,1,"infection",FALSE,"ematch"
"43","104",685,19296,NA,2021-04-01,2021-04-30,52.829568788501,NA,NA,NA,"FALSE","TRUE",13,"inf_gastrointestinal_issues",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0 to 150","Female",0,2020-09-01,2022-12-31,1,"infection",FALSE,"ematch"
"44","104",766,22566,NA,2021-05-01,2021-05-31,61.782340862423,NA,NA,NA,"FALSE","TRUE",13,"inf_gastrointestinal_issues",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0 to 150","Female",0,2020-09-01,2022-12-31,1,"infection",FALSE,"ematch"
"45","104",858,24181,NA,2021-06-01,2021-06-30,66.2039698836413,NA,NA,NA,"FALSE","TRUE",13,"inf_gastrointestinal_issues",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0 to 150","Female",0,2020-09-01,2022-12-31,1,"infection",FALSE,"ematch"
"46","104",1029,29218,NA,2021-07-01,2021-07-31,79.9945242984257,NA,NA,NA,"FALSE","TRUE",13,"inf_gastrointestinal_issues",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0 to 150","Female",0,2020-09-01,2022-12-31,1,"infection",FALSE,"ematch"
"47","104",1095,33159,NA,2021-08-01,2021-08-31,90.7843942505133,NA,NA,NA,"FALSE","TRUE",13,"inf_gastrointestinal_issues",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0 to 150","Female",0,2020-09-01,2022-12-31,1,"infection",FALSE,"ematch"
"48","104",1113,31578,NA,2021-09-01,2021-09-30,86.4558521560575,NA,NA,NA,"FALSE","TRUE",13,"inf_gastrointestinal_issues",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0 to 150","Female",0,2020-09-01,2022-12-31,1,"infection",FALSE,"ematch"
"49","104",1098,29250,NA,2021-10-01,2021-10-31,80.082135523614,NA,NA,NA,"FALSE","TRUE",13,"inf_gastrointestinal_issues",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0 to 150","Female",0,2020-09-01,2022-12-31,1,"infection",FALSE,"ematch"
"50","104",1001,24786,NA,2021-11-01,2021-11-30,67.8603696098563,NA,NA,NA,"FALSE","TRUE",13,"inf_gastrointestinal_issues",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0 to 150","Female",0,2020-09-01,2022-12-31,1,"infection",FALSE,"ematch"
"51","104",1208,30702,NA,2021-12-01,2021-12-31,84.0574948665298,NA,NA,NA,"FALSE","TRUE",13,"inf_gastrointestinal_issues",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0 to 150","Female",0,2020-09-01,2022-12-31,1,"infection",FALSE,"ematch"
"52","104",1173,34620,NA,2022-01-01,2022-01-31,94.7843942505133,NA,NA,NA,"FALSE","TRUE",13,"inf_gastrointestinal_issues",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0 to 150","Female",0,2020-09-01,2022-12-31,1,"infection",FALSE,"ematch"
"53","104",1126,29551,NA,2022-02-01,2022-02-28,80.9062286105407,NA,NA,NA,"FALSE","TRUE",13,"inf_gastrointestinal_issues",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0 to 150","Female",0,2020-09-01,2022-12-31,1,"infection",FALSE,"ematch"
"54","104",1228,33516,NA,2022-03-01,2022-03-31,91.7618069815195,NA,NA,NA,"FALSE","TRUE",13,"inf_gastrointestinal_issues",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0 to 150","Female",0,2020-09-01,2022-12-31,1,"infection",FALSE,"ematch"
"55","104",1519,37226,NA,2022-04-01,2022-04-30,101.91923340178,NA,NA,NA,"FALSE","TRUE",13,"inf_gastrointestinal_issues",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0 to 150","Female",0,2020-09-01,2022-12-31,1,"infection",FALSE,"ematch"
"56","104",1608,45576,NA,2022-05-01,2022-05-31,124.780287474333,NA,NA,NA,"FALSE","TRUE",13,"inf_gastrointestinal_issues",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0 to 150","Female",0,2020-09-01,2022-12-31,1,"infection",FALSE,"ematch"
