"","analysis_id","number_records","number_subjects","reason_id","reason","excluded_records","excluded_subjects","outcome_cohort_id","outcome_cohort_name","analysis_repeated_events","analysis_interval","analysis_complete_database_intervals","denominator_cohort_id","analysis_outcome_washout","analysis_min_cell_count","denominator_cohort_name","denominator_age_group","denominator_sex","denominator_days_prior_history","denominator_start_date","denominator_end_date","denominator_strata_cohort_definition_id","denominator_strata_cohort_name","denominator_closed_cohort","cdm_name"
"1","1",91,88,1,"Starting population",NA,NA,4,"reinf_anxiety",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 6","Both",0,2020-09-01,2022-12-31,2,"reinfection",FALSE,"ematch"
"2","1",91,88,2,"Missing year of birth",NA,NA,4,"reinf_anxiety",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 6","Both",0,2020-09-01,2022-12-31,2,"reinfection",FALSE,"ematch"
"3","1",91,88,3,"Missing sex",NA,NA,4,"reinf_anxiety",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 6","Both",0,2020-09-01,2022-12-31,2,"reinfection",FALSE,"ematch"
"4","1",91,88,4,"Cannot satisfy age criteria during the study period based on year of birth",NA,NA,4,"reinf_anxiety",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 6","Both",0,2020-09-01,2022-12-31,2,"reinfection",FALSE,"ematch"
"5","1",91,88,5,"No observation time available during study period",NA,NA,4,"reinf_anxiety",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 6","Both",0,2020-09-01,2022-12-31,2,"reinfection",FALSE,"ematch"
"6","1",91,88,6,"Doesn't satisfy age criteria during the study period",NA,NA,4,"reinf_anxiety",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 6","Both",0,2020-09-01,2022-12-31,2,"reinfection",FALSE,"ematch"
"7","1",91,88,7,"Prior history requirement not fulfilled during study period",NA,NA,4,"reinf_anxiety",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 6","Both",0,2020-09-01,2022-12-31,2,"reinfection",FALSE,"ematch"
"8","1",NA,NA,10,"No observation time available after applying age, prior history and, if applicable, strata criteria",90,87,4,"reinf_anxiety",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 6","Both",0,2020-09-01,2022-12-31,2,"reinfection",FALSE,"ematch"
"9","1",NA,NA,11,"Starting analysis population",NA,NA,4,"reinf_anxiety",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 6","Both",0,2020-09-01,2022-12-31,2,"reinfection",FALSE,"ematch"
"10","1",NA,NA,12,"Excluded due to prior event (do not pass outcome washout during study period)",NA,NA,4,"reinf_anxiety",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 6","Both",0,2020-09-01,2022-12-31,2,"reinfection",FALSE,"ematch"
"11","1",NA,NA,14,"Not observed during the complete database interval",NA,NA,4,"reinf_anxiety",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 6","Both",0,2020-09-01,2022-12-31,2,"reinfection",FALSE,"ematch"
"12","10",91,88,1,"Starting population",NA,NA,4,"reinf_anxiety",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",0,2020-09-01,2022-12-31,2,"reinfection",FALSE,"ematch"
