"","table_name","cohort_definition_id","cohort_name"
"1","lcpasc_v1__basecohorts",1,"infection"
"2","lcpasc_v1__basecohorts",2,"reinfection"
"3","lcpasc_v1__basecohorts",3,"test_negative"
"4","lcpasc_v1__lccohorts",1,"abdominal_pain"
"5","lcpasc_v1__lccohorts",2,"allergy"
"6","lcpasc_v1__lccohorts",3,"altered_smell_taste"
"7","lcpasc_v1__lccohorts",4,"anxiety"
"8","lcpasc_v1__lccohorts",5,"blurred_vision"
"9","lcpasc_v1__lccohorts",6,"chest_pain_angina"
"10","lcpasc_v1__lccohorts",7,"cognitive_dysfunction_brain_fog"
"11","lcpasc_v1__lccohorts",8,"cough"
"12","lcpasc_v1__lccohorts",9,"depression_wo_recurrence"
"13","lcpasc_v1__lccohorts",10,"dizziness"
"14","lcpasc_v1__lccohorts",11,"dyspnea"
"15","lcpasc_v1__lccohorts",12,"fatigue_malaise"
"16","lcpasc_v1__lccohorts",13,"gastrointestinal_issues"
"17","lcpasc_v1__lccohorts",14,"headache"
"18","lcpasc_v1__lccohorts",15,"intermittent_fever"
"19","lcpasc_v1__lccohorts",16,"joint_pain"
"20","lcpasc_v1__lccohorts",17,"memory_issues"
"21","lcpasc_v1__lccohorts",18,"menstrual_problems"
"22","lcpasc_v1__lccohorts",19,"muscle_spasms_and_pain"
"23","lcpasc_v1__lccohorts",20,"neuralgia"
"24","lcpasc_v1__lccohorts",21,"pins_and_needles_sensation"
"25","lcpasc_v1__lccohorts",22,"postexertional_fatigue"
"26","lcpasc_v1__lccohorts",23,"sleep_disorder"
"27","lcpasc_v1__lccohorts",24,"tachycardia"
"28","lcpasc_v1__lccohorts",25,"tinnitus_hearing_problems"
"29","lcpasc_v1__lccohorts",26,"any_lc_symptom"
"30","lcpasc_v1__lccohorts",27,"lc_code"
"31","lcpasc_v1__pasccohorts",1,"venous_thrombosembolism"
"32","lcpasc_v1__pasccohorts",2,"deep_vein_thrombosis"
"33","lcpasc_v1__pasccohorts",3,"pulmonary_embolism"
"34","lcpasc_v1__pasccohorts",4,"haemorrhagic_stroke"
"35","lcpasc_v1__pasccohorts",5,"ischemic_stroke"
"36","lcpasc_v1__pasccohorts",6,"transient_ischemic_attack"
"37","lcpasc_v1__pasccohorts",7,"myocardial_infarction"
"38","lcpasc_v1__pasccohorts",8,"myocarditis_pericarditis"
"39","lcpasc_v1__pasccohorts",9,"ventricular_arrhythmia_cardiac_arrest"
"40","lcpasc_v1__pasccohorts",10,"heart_failure"
"41","lcpasc_v1__pasccohorts",11,"any_pasc_event"
"42","lcpasc_v1__mccohorts",1,"dysautonomia"
"43","lcpasc_v1__mccohorts",2,"ibd"
"44","lcpasc_v1__mccohorts",3,"juvenile_arthritis"
"45","lcpasc_v1__mccohorts",4,"me_cfs"
"46","lcpasc_v1__mccohorts",5,"me_cfs_symptoms"
"47","lcpasc_v1__mccohorts",6,"mis"
"48","lcpasc_v1__mccohorts",7,"pots"
"49","lcpasc_v1__mccohorts",8,"ra"
"50","lcpasc_v1__mccohorts",9,"sle"
"51","lcpasc_v1__mccohorts",10,"t1dm"
"52","lcpasc_v1__overlapinfcohorts",1,"inf_abdominal_pain"
"53","lcpasc_v1__overlapinfcohorts",2,"inf_allergy"
"54","lcpasc_v1__overlapinfcohorts",3,"inf_altered_smell_taste"
"55","lcpasc_v1__overlapinfcohorts",4,"inf_anxiety"
"56","lcpasc_v1__overlapinfcohorts",5,"inf_blurred_vision"
"57","lcpasc_v1__overlapinfcohorts",6,"inf_chest_pain_angina"
"58","lcpasc_v1__overlapinfcohorts",7,"inf_cognitive_dysfunction_brain_fog"
"59","lcpasc_v1__overlapinfcohorts",8,"inf_cough"
"60","lcpasc_v1__overlapinfcohorts",9,"inf_depression_wo_recurrence"
"61","lcpasc_v1__overlapinfcohorts",10,"inf_dizziness"
"62","lcpasc_v1__overlapinfcohorts",11,"inf_dyspnea"
"63","lcpasc_v1__overlapinfcohorts",12,"inf_fatigue_malaise"
"64","lcpasc_v1__overlapinfcohorts",13,"inf_gastrointestinal_issues"
"65","lcpasc_v1__overlapinfcohorts",14,"inf_headache"
"66","lcpasc_v1__overlapinfcohorts",15,"inf_intermittent_fever"
"67","lcpasc_v1__overlapinfcohorts",16,"inf_joint_pain"
"68","lcpasc_v1__overlapinfcohorts",17,"inf_memory_issues"
"69","lcpasc_v1__overlapinfcohorts",18,"inf_menstrual_problems"
"70","lcpasc_v1__overlapinfcohorts",19,"inf_muscle_spasms_and_pain"
"71","lcpasc_v1__overlapinfcohorts",20,"inf_neuralgia"
"72","lcpasc_v1__overlapinfcohorts",21,"inf_pins_and_needles_sensation"
"73","lcpasc_v1__overlapinfcohorts",22,"inf_postexertional_fatigue"
"74","lcpasc_v1__overlapinfcohorts",23,"inf_sleep_disorder"
"75","lcpasc_v1__overlapinfcohorts",24,"inf_tachycardia"
"76","lcpasc_v1__overlapinfcohorts",25,"inf_tinnitus_hearing_problems"
"77","lcpasc_v1__overlapinfcohorts",26,"inf_lc_code"
"78","lcpasc_v1__overlapinfcohorts",27,"inf_any_lc"
"79","lcpasc_v1__overlapinfcohorts",28,"inf_venous_thrombosembolism"
"80","lcpasc_v1__overlapinfcohorts",29,"inf_deep_vein_thrombosis"
"81","lcpasc_v1__overlapinfcohorts",30,"inf_pulmonary_embolism"
"82","lcpasc_v1__overlapinfcohorts",31,"inf_haemorrhagic_stroke"
"83","lcpasc_v1__overlapinfcohorts",32,"inf_ischemic_stroke"
"84","lcpasc_v1__overlapinfcohorts",33,"inf_transient_ischemic_attack"
"85","lcpasc_v1__overlapinfcohorts",34,"inf_myocardial_infarction"
"86","lcpasc_v1__overlapinfcohorts",35,"inf_myocarditis_pericarditis"
"87","lcpasc_v1__overlapinfcohorts",36,"inf_ventricular_arrhythmia_cardiac_arrest"
"88","lcpasc_v1__overlapinfcohorts",37,"inf_heart_failure"
"89","lcpasc_v1__overlapinfcohorts",38,"inf_any_pasc"
"90","lcpasc_v1__overlapinfcohorts",39,"inf_dysautonomia"
"91","lcpasc_v1__overlapinfcohorts",40,"inf_ibd"
"92","lcpasc_v1__overlapinfcohorts",41,"inf_juvenile_arthritis"
"93","lcpasc_v1__overlapinfcohorts",42,"inf_me_cfs"
"94","lcpasc_v1__overlapinfcohorts",43,"inf_me_cfs_symptoms"
"95","lcpasc_v1__overlapinfcohorts",44,"inf_mis"
"96","lcpasc_v1__overlapinfcohorts",45,"inf_pots"
"97","lcpasc_v1__overlapinfcohorts",46,"inf_ra"
"98","lcpasc_v1__overlapinfcohorts",47,"inf_sle"
"99","lcpasc_v1__overlapinfcohorts",48,"inf_t1dm"
"100","lcpasc_v1__overlapreinfcohorts",1,"reinf_abdominal_pain"
"101","lcpasc_v1__overlapreinfcohorts",2,"reinf_allergy"
"102","lcpasc_v1__overlapreinfcohorts",3,"reinf_altered_smell_taste"
"103","lcpasc_v1__overlapreinfcohorts",4,"reinf_anxiety"
"104","lcpasc_v1__overlapreinfcohorts",5,"reinf_blurred_vision"
"105","lcpasc_v1__overlapreinfcohorts",6,"reinf_chest_pain_angina"
"106","lcpasc_v1__overlapreinfcohorts",7,"reinf_cognitive_dysfunction_brain_fog"
"107","lcpasc_v1__overlapreinfcohorts",8,"reinf_cough"
"108","lcpasc_v1__overlapreinfcohorts",9,"reinf_depression_wo_recurrence"
"109","lcpasc_v1__overlapreinfcohorts",10,"reinf_dizziness"
"110","lcpasc_v1__overlapreinfcohorts",11,"reinf_dyspnea"
"111","lcpasc_v1__overlapreinfcohorts",12,"reinf_fatigue_malaise"
"112","lcpasc_v1__overlapreinfcohorts",13,"reinf_gastrointestinal_issues"
"113","lcpasc_v1__overlapreinfcohorts",14,"reinf_headache"
"114","lcpasc_v1__overlapreinfcohorts",15,"reinf_intermittent_fever"
"115","lcpasc_v1__overlapreinfcohorts",16,"reinf_joint_pain"
"116","lcpasc_v1__overlapreinfcohorts",17,"reinf_memory_issues"
"117","lcpasc_v1__overlapreinfcohorts",18,"reinf_menstrual_problems"
"118","lcpasc_v1__overlapreinfcohorts",19,"reinf_muscle_spasms_and_pain"
"119","lcpasc_v1__overlapreinfcohorts",20,"reinf_neuralgia"
"120","lcpasc_v1__overlapreinfcohorts",21,"reinf_pins_and_needles_sensation"
"121","lcpasc_v1__overlapreinfcohorts",22,"reinf_postexertional_fatigue"
"122","lcpasc_v1__overlapreinfcohorts",23,"reinf_sleep_disorder"
"123","lcpasc_v1__overlapreinfcohorts",24,"reinf_tachycardia"
"124","lcpasc_v1__overlapreinfcohorts",25,"reinf_tinnitus_hearing_problems"
"125","lcpasc_v1__overlapreinfcohorts",26,"reinf_lc_code"
"126","lcpasc_v1__overlapreinfcohorts",27,"reinf_any_lc"
"127","lcpasc_v1__overlapreinfcohorts",28,"reinf_venous_thrombosembolism"
"128","lcpasc_v1__overlapreinfcohorts",29,"reinf_deep_vein_thrombosis"
"129","lcpasc_v1__overlapreinfcohorts",30,"reinf_pulmonary_embolism"
"130","lcpasc_v1__overlapreinfcohorts",31,"reinf_haemorrhagic_stroke"
"131","lcpasc_v1__overlapreinfcohorts",32,"reinf_ischemic_stroke"
"132","lcpasc_v1__overlapreinfcohorts",33,"reinf_transient_ischemic_attack"
"133","lcpasc_v1__overlapreinfcohorts",34,"reinf_myocardial_infarction"
"134","lcpasc_v1__overlapreinfcohorts",35,"reinf_myocarditis_pericarditis"
"135","lcpasc_v1__overlapreinfcohorts",36,"reinf_ventricular_arrhythmia_cardiac_arrest"
"136","lcpasc_v1__overlapreinfcohorts",37,"reinf_heart_failure"
"137","lcpasc_v1__overlapreinfcohorts",38,"reinf_any_pasc"
"138","lcpasc_v1__overlapreinfcohorts",39,"reinf_dysautonomia"
"139","lcpasc_v1__overlapreinfcohorts",40,"reinf_ibd"
"140","lcpasc_v1__overlapreinfcohorts",41,"reinf_juvenile_arthritis"
"141","lcpasc_v1__overlapreinfcohorts",42,"reinf_me_cfs"
"142","lcpasc_v1__overlapreinfcohorts",43,"reinf_me_cfs_symptoms"
"143","lcpasc_v1__overlapreinfcohorts",44,"reinf_mis"
"144","lcpasc_v1__overlapreinfcohorts",45,"reinf_pots"
"145","lcpasc_v1__overlapreinfcohorts",46,"reinf_ra"
"146","lcpasc_v1__overlapreinfcohorts",47,"reinf_sle"
"147","lcpasc_v1__overlapreinfcohorts",48,"reinf_t1dm"
"148","lcpasc_v1__overlaptestnegcohorts",1,"testneg_abdominal_pain"
"149","lcpasc_v1__overlaptestnegcohorts",2,"testneg_allergy"
"150","lcpasc_v1__overlaptestnegcohorts",3,"testneg_altered_smell_taste"
"151","lcpasc_v1__overlaptestnegcohorts",4,"testneg_anxiety"
"152","lcpasc_v1__overlaptestnegcohorts",5,"testneg_blurred_vision"
"153","lcpasc_v1__overlaptestnegcohorts",6,"testneg_chest_pain_angina"
"154","lcpasc_v1__overlaptestnegcohorts",7,"testneg_cognitive_dysfunction_brain_fog"
"155","lcpasc_v1__overlaptestnegcohorts",8,"testneg_cough"
"156","lcpasc_v1__overlaptestnegcohorts",9,"testneg_depression_wo_recurrence"
"157","lcpasc_v1__overlaptestnegcohorts",10,"testneg_dizziness"
"158","lcpasc_v1__overlaptestnegcohorts",11,"testneg_dyspnea"
"159","lcpasc_v1__overlaptestnegcohorts",12,"testneg_fatigue_malaise"
"160","lcpasc_v1__overlaptestnegcohorts",13,"testneg_gastrointestinal_issues"
"161","lcpasc_v1__overlaptestnegcohorts",14,"testneg_headache"
"162","lcpasc_v1__overlaptestnegcohorts",15,"testneg_intermittent_fever"
"163","lcpasc_v1__overlaptestnegcohorts",16,"testneg_joint_pain"
"164","lcpasc_v1__overlaptestnegcohorts",17,"testneg_memory_issues"
"165","lcpasc_v1__overlaptestnegcohorts",18,"testneg_menstrual_problems"
"166","lcpasc_v1__overlaptestnegcohorts",19,"testneg_muscle_spasms_and_pain"
"167","lcpasc_v1__overlaptestnegcohorts",20,"testneg_neuralgia"
"168","lcpasc_v1__overlaptestnegcohorts",21,"testneg_pins_and_needles_sensation"
"169","lcpasc_v1__overlaptestnegcohorts",22,"testneg_postexertional_fatigue"
"170","lcpasc_v1__overlaptestnegcohorts",23,"testneg_sleep_disorder"
"171","lcpasc_v1__overlaptestnegcohorts",24,"testneg_tachycardia"
"172","lcpasc_v1__overlaptestnegcohorts",25,"testneg_tinnitus_hearing_problems"
"173","lcpasc_v1__overlaptestnegcohorts",26,"testneg_lc_code"
"174","lcpasc_v1__overlaptestnegcohorts",27,"testneg_any_lc"
"175","lcpasc_v1__overlaptestnegcohorts",28,"testneg_venous_thrombosembolism"
"176","lcpasc_v1__overlaptestnegcohorts",29,"testneg_deep_vein_thrombosis"
