"","cohort_name","n"
"1","test_negative",73187
"2","infection",6121
"3","reinfection",91
"4","abdominal_pain",19329
"5","allergy",5298
"6","altered_smell_taste",64
"7","anxiety",18149
"8","blurred_vision",2662
"9","chest_pain_angina",21027
"10","cognitive_dysfunction_brain_fog",7855
"11","cough",1580
"12","depression_wo_recurrence",49733
"13","dizziness",1171
"14","dyspnea",13858
"15","fatigue_malaise",5461
"16","gastrointestinal_issues",36973
"17","headache",6314
"18","intermittent_fever",16418
"19","joint_pain",5002
"20","memory_issues",1126
"21","menstrual_problems",621
"22","muscle_spasms_and_pain",5571
"23","neuralgia",7427
"24","pins_and_needles_sensation",534
"25","sleep_disorder",38735
"26","tachycardia",36090
"27","tinnitus_hearing_problems",6115
"28","any_lc_symptom",307113
"29","lc_code",110
"30","postexertional_fatigue",NA
"31","venous_thrombosembolism",13795
"32","deep_vein_thrombosis",8317
"33","pulmonary_embolism",6836
"34","haemorrhagic_stroke",5218
"35","ischemic_stroke",16300
"36","transient_ischemic_attack",3022
"37","myocardial_infarction",10537
"38","myocarditis_pericarditis",3263
"39","ventricular_arrhythmia_cardiac_arrest",6582
"40","heart_failure",32726
"41","any_pasc_event",106596
"42","ra",5933
"43","t1dm",3789
"44","sle",857
"45","pots",4501
"46","dysautonomia",9517
"47","me_cfs_symptoms",5901
"48","me_cfs",794
"49","ibd",3550
"50","mis",58
"51","juvenile_arthritis",443
"52","inf_ventricular_arrhythmia_cardiac_arrest",7
"53","inf_abdominal_pain",11
"54","inf_myocarditis_pericarditis",6
"55","inf_anxiety",36
"56","inf_pots",8
"57","inf_cough",NA
"58","inf_muscle_spasms_and_pain",NA
"59","inf_depression_wo_recurrence",90
"60","inf_gastrointestinal_issues",35
"61","inf_deep_vein_thrombosis",16
"62","inf_me_cfs_symptoms",NA
"63","inf_headache",NA
"64","inf_me_cfs",NA
"65","inf_cognitive_dysfunction_brain_fog",12
"66","inf_heart_failure",37
"67","inf_myocardial_infarction",7
"68","inf_dysautonomia",13
"69","inf_any_lc",178
"70","inf_neuralgia",NA
"71","inf_chest_pain_angina",10
"72","inf_blurred_vision",NA
"73","inf_venous_thrombosembolism",22
"74","inf_allergy",NA
"75","inf_dyspnea",21
"76","inf_haemorrhagic_stroke",NA
"77","inf_sleep_disorder",20
"78","inf_lc_code",NA
"79","inf_tachycardia",39
"80","inf_any_pasc",73
"81","inf_ischemic_stroke",9
"82","inf_pulmonary_embolism",6
"83","inf_sle",NA
"84","inf_t1dm",NA
"85","inf_intermittent_fever",13
"86","inf_joint_pain",NA
"87","inf_fatigue_malaise",NA
"88","inf_dizziness",NA
"89","inf_altered_smell_taste",NA
"90","inf_memory_issues",NA
"91","inf_menstrual_problems",NA
"92","inf_pins_and_needles_sensation",NA
"93","inf_postexertional_fatigue",NA
"94","inf_tinnitus_hearing_problems",NA
"95","inf_transient_ischemic_attack",NA
"96","inf_ibd",NA
"97","inf_juvenile_arthritis",NA
"98","inf_mis",NA
"99","inf_ra",NA
"100","reinf_heart_failure",NA
"101","reinf_tachycardia",NA
"102","reinf_anxiety",NA
"103","reinf_gastrointestinal_issues",NA
"104","reinf_any_lc",7
"105","reinf_chest_pain_angina",NA
"106","reinf_myocardial_infarction",NA
"107","reinf_dyspnea",NA
"108","reinf_intermittent_fever",NA
"109","reinf_any_pasc",NA
"110","reinf_abdominal_pain",NA
"111","reinf_allergy",NA
"112","reinf_altered_smell_taste",NA
"113","reinf_blurred_vision",NA
"114","reinf_cognitive_dysfunction_brain_fog",NA
"115","reinf_cough",NA
"116","reinf_depression_wo_recurrence",NA
"117","reinf_dizziness",NA
"118","reinf_fatigue_malaise",NA
"119","reinf_headache",NA
"120","reinf_joint_pain",NA
"121","reinf_memory_issues",NA
"122","reinf_menstrual_problems",NA
"123","reinf_muscle_spasms_and_pain",NA
"124","reinf_neuralgia",NA
"125","reinf_pins_and_needles_sensation",NA
"126","reinf_postexertional_fatigue",NA
"127","reinf_sleep_disorder",NA
"128","reinf_tinnitus_hearing_problems",NA
"129","reinf_lc_code",NA
"130","reinf_venous_thrombosembolism",NA
"131","reinf_deep_vein_thrombosis",NA
"132","reinf_pulmonary_embolism",NA
"133","reinf_haemorrhagic_stroke",NA
"134","reinf_ischemic_stroke",NA
"135","reinf_transient_ischemic_attack",NA
"136","reinf_myocarditis_pericarditis",NA
"137","reinf_ventricular_arrhythmia_cardiac_arrest",NA
"138","reinf_dysautonomia",NA
"139","reinf_ibd",NA
"140","reinf_juvenile_arthritis",NA
"141","reinf_me_cfs",NA
"142","reinf_me_cfs_symptoms",NA
"143","reinf_mis",NA
"144","reinf_pots",NA
"145","reinf_ra",NA
"146","reinf_sle",NA
"147","reinf_t1dm",NA
"148","testneg_deep_vein_thrombosis",211
"149","testneg_headache",31
"150","testneg_altered_smell_taste",NA
"151","testneg_heart_failure",525
"152","testneg_menstrual_problems",9
"153","testneg_pins_and_needles_sensation",12
"154","testneg_haemorrhagic_stroke",30
"155","testneg_sleep_disorder",278
"156","testneg_lc_code",NA
"157","testneg_tachycardia",639
"158","testneg_sle",NA
"159","testneg_t1dm",27
"160","testneg_abdominal_pain",149
"161","testneg_anxiety",384
"162","testneg_depression_wo_recurrence",1154
"163","testneg_gastrointestinal_issues",494
"164","testneg_any_lc",2469
"165","testneg_chest_pain_angina",122
"166","testneg_mis",NA
"167","testneg_ra",17
"168","testneg_joint_pain",67
"169","testneg_dizziness",11
"170","testneg_cough",25
"171","testneg_muscle_spasms_and_pain",67
"172","testneg_memory_issues",NA
"173","testneg_cognitive_dysfunction_brain_fog",144
"174","testneg_myocardial_infarction",72
"175","testneg_dysautonomia",155
"176","testneg_tinnitus_hearing_problems",37
"177","testneg_venous_thrombosembolism",297
"178","testneg_allergy",42
"179","testneg_dyspnea",239
"180","testneg_pulmonary_embolism",105
"181","testneg_intermittent_fever",163
"182","testneg_fatigue_malaise",65
"183","testneg_ibd",25
"184","testneg_pots",63
"185","testneg_me_cfs_symptoms",64
"186","testneg_me_cfs",NA
"187","testneg_neuralgia",82
"188","testneg_blurred_vision",6
"189","testneg_any_pasc",985
"190","testneg_ischemic_stroke",111
"191","testneg_ventricular_arrhythmia_cardiac_arrest",56
"192","testneg_myocarditis_pericarditis",44
"193","testneg_transient_ischemic_attack",7
"194","testneg_postexertional_fatigue",NA
"195","testneg_juvenile_arthritis",NA
