"","group_name","group_level","strata_name","strata_level","variable","variable_level","variable_type","estimate_type","estimate"
"1","Overall","Overall","Overall","Overall","number subjects",NA,NA,"count","78006"
"2","Overall","Overall","Overall","Overall","number records",NA,NA,"count","79399"
"3","Overall","Overall","Overall","Overall","age",NA,"numeric","mean","46.3967682212622"
"4","Overall","Overall","Overall","Overall","age",NA,"numeric","median","44"
"5","Overall","Overall","Overall","Overall","age",NA,"numeric","q25","29"
"6","Overall","Overall","Overall","Overall","age",NA,"numeric","q75","66"
"7","Overall","Overall","Overall","Overall","age",NA,"numeric","sd","23.9457122166817"
"8","Overall","Overall","Overall","Overall","age",NA,"numeric","iqr","37"
"9","Overall","Overall","Overall","Overall","age",NA,"numeric","min","0"
"10","Overall","Overall","Overall","Overall","age",NA,"numeric","max","104"
"11","Overall","Overall","Overall","Overall","future_observation",NA,"numeric","mean","637.628987770627"
"12","Overall","Overall","Overall","Overall","future_observation",NA,"numeric","median","647"
"13","Overall","Overall","Overall","Overall","future_observation",NA,"numeric","q25","463"
"14","Overall","Overall","Overall","Overall","future_observation",NA,"numeric","q75","822"
"15","Overall","Overall","Overall","Overall","future_observation",NA,"numeric","sd","209.381886420696"
"16","Overall","Overall","Overall","Overall","future_observation",NA,"numeric","iqr","359"
"17","Overall","Overall","Overall","Overall","future_observation",NA,"numeric","min","120"
"18","Overall","Overall","Overall","Overall","future_observation",NA,"numeric","max","966"
"19","Overall","Overall","Overall","Overall","prior_history",NA,"numeric","mean","10260.9234247283"
"20","Overall","Overall","Overall","Overall","prior_history",NA,"numeric","median","11380"
"21","Overall","Overall","Overall","Overall","prior_history",NA,"numeric","q25","10781"
"22","Overall","Overall","Overall","Overall","prior_history",NA,"numeric","q75","11623"
"23","Overall","Overall","Overall","Overall","prior_history",NA,"numeric","sd","2734.31502353532"
"24","Overall","Overall","Overall","Overall","prior_history",NA,"numeric","iqr","842"
"25","Overall","Overall","Overall","Overall","prior_history",NA,"numeric","min","365"
"26","Overall","Overall","Overall","Overall","prior_history",NA,"numeric","max","11932"
"27","Overall","Overall","Overall","Overall","cohort_end_date",NA,"date","mean","2022-06-21"
"28","Overall","Overall","Overall","Overall","cohort_end_date",NA,"date","median","2022-07-08"
"29","Overall","Overall","Overall","Overall","cohort_end_date",NA,"date","q25","2022-01-18"
"30","Overall","Overall","Overall","Overall","cohort_end_date",NA,"date","q75","2022-12-31"
"31","Overall","Overall","Overall","Overall","cohort_end_date",NA,"date","min","2021-01-11"
"32","Overall","Overall","Overall","Overall","cohort_end_date",NA,"date","max","2022-12-31"
"33","Overall","Overall","Overall","Overall","cohort_start_date",NA,"date","mean","2021-07-22"
"34","Overall","Overall","Overall","Overall","cohort_start_date",NA,"date","median","2021-07-12"
"35","Overall","Overall","Overall","Overall","cohort_start_date",NA,"date","q25","2021-01-20"
"36","Overall","Overall","Overall","Overall","cohort_start_date",NA,"date","q75","2022-01-12"
"37","Overall","Overall","Overall","Overall","cohort_start_date",NA,"date","min","2020-09-02"
"38","Overall","Overall","Overall","Overall","cohort_start_date",NA,"date","max","2022-09-02"
"39","Overall","Overall","Overall","Overall","sex","Female","categorical","count","44156"
"40","Overall","Overall","Overall","Overall","sex","Female","categorical","%","55.6127910930868"
"41","Overall","Overall","Overall","Overall","sex","Male","categorical","count","35243"
"42","Overall","Overall","Overall","Overall","sex","Male","categorical","%","44.3872089069132"
"43","Overall","Overall","base_id","1","number subjects",NA,NA,"count","6121"
"44","Overall","Overall","base_id","1","number records",NA,NA,"count","6121"
"45","Overall","Overall","base_id","1","age",NA,"numeric","mean","49.8503512497958"
"46","Overall","Overall","base_id","1","age",NA,"numeric","median","49"
"47","Overall","Overall","base_id","1","age",NA,"numeric","q25","30"
"48","Overall","Overall","base_id","1","age",NA,"numeric","q75","71"
"49","Overall","Overall","base_id","1","age",NA,"numeric","sd","25.3192844228227"
"50","Overall","Overall","base_id","1","age",NA,"numeric","iqr","41"
"51","Overall","Overall","base_id","1","age",NA,"numeric","min","0"
"52","Overall","Overall","base_id","1","age",NA,"numeric","max","103"
"53","Overall","Overall","base_id","1","future_observation",NA,"numeric","mean","586.386374775363"
"54","Overall","Overall","base_id","1","future_observation",NA,"numeric","median","572"
"55","Overall","Overall","base_id","1","future_observation",NA,"numeric","q25","431"
"56","Overall","Overall","base_id","1","future_observation",NA,"numeric","q75","762"
"57","Overall","Overall","base_id","1","future_observation",NA,"numeric","sd","210.342249594915"
"58","Overall","Overall","base_id","1","future_observation",NA,"numeric","iqr","331"
"59","Overall","Overall","base_id","1","future_observation",NA,"numeric","min","135"
"60","Overall","Overall","base_id","1","future_observation",NA,"numeric","max","966"
"61","Overall","Overall","base_id","1","prior_history",NA,"numeric","mean","10418.2339487012"
"62","Overall","Overall","base_id","1","prior_history",NA,"numeric","median","11438"
"63","Overall","Overall","base_id","1","prior_history",NA,"numeric","q25","11210"
"64","Overall","Overall","base_id","1","prior_history",NA,"numeric","q75","11700"
"65","Overall","Overall","base_id","1","prior_history",NA,"numeric","sd","2697.6872901655"
"66","Overall","Overall","base_id","1","prior_history",NA,"numeric","iqr","490"
"67","Overall","Overall","base_id","1","prior_history",NA,"numeric","min","365"
